date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_raw,away_team_raw,is_true_home,is_true_away,effective_neutral,tournament_tier,is_competitive,goal_diff,total_goals,outcome,outcome_label,year,has_fifa_rankings,has_fifa_video_game_ovr
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False,Scotland,England,True,False,False,4,False,0,0,1,D,1872,False,False
1873-03-08,England,Scotland,4,2,Friendly,London,England,False,England,Scotland,True,False,False,4,False,2,6,2,H,1873,False,False
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,Scotland,England,True,False,False,4,False,1,3,2,H,1874,False,False
1875-03-06,England,Scotland,2,2,Friendly,London,England,False,England,Scotland,True,False,False,4,False,0,4,1,D,1875,False,False
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,Scotland,England,True,False,False,4,False,3,3,2,H,1876,False,False
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,Scotland,Wales,True,False,False,4,False,4,4,2,H,1876,False,False
1877-03-03,England,Scotland,1,3,Friendly,London,England,False,England,Scotland,True,False,False,4,False,-2,4,0,A,1877,False,False
1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,Wales,Scotland,True,False,False,4,False,-2,2,0,A,1877,False,False
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,Scotland,England,True,False,False,4,False,5,9,2,H,1878,False,False
1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,Scotland,Wales,True,False,False,4,False,9,9,2,H,1878,False,False
1879-01-18,England,Wales,2,1,Friendly,London,England,False,England,Wales,True,False,False,4,False,1,3,2,H,1879,False,False
1879-04-05,England,Scotland,5,4,Friendly,London,England,False,England,Scotland,True,False,False,4,False,1,9,2,H,1879,False,False
1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Wales,Scotland,True,False,False,4,False,-3,3,0,A,1879,False,False
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,Scotland,England,True,False,False,4,False,1,9,2,H,1880,False,False
1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,False,Wales,England,True,False,False,4,False,-1,5,0,A,1880,False,False
1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,Scotland,Wales,True,False,False,4,False,4,6,2,H,1880,False,False
1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,False,England,Wales,True,False,False,4,False,-1,1,0,A,1881,False,False
1881-03-12,England,Scotland,1,6,Friendly,London,England,False,England,Scotland,True,False,False,4,False,-5,7,0,A,1881,False,False
1881-03-14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,Wales,Scotland,True,False,False,4,False,-4,6,0,A,1881,False,False
1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False,Northern Ireland,England,False,False,True,4,False,-13,13,0,A,1882,False,False
1882-02-25,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,Wales,Northern Ireland,True,False,False,4,False,6,8,2,H,1882,False,False
1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,Scotland,England,True,False,False,4,False,4,6,2,H,1882,False,False
1882-03-13,Wales,England,5,3,Friendly,Wrexham,Wales,False,Wales,England,True,False,False,4,False,2,8,2,H,1882,False,False
1882-03-25,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,Scotland,Wales,True,False,False,4,False,5,5,2,H,1882,False,False
1883-02-03,England,Wales,5,0,Friendly,London,England,False,England,Wales,True,False,False,4,False,5,5,2,H,1883,False,False
1883-02-24,England,Northern Ireland,7,0,Friendly,Liverpool,England,False,England,Northern Ireland,True,False,False,4,False,7,7,2,H,1883,False,False
1883-03-10,England,Scotland,2,3,Friendly,Sheffield,England,False,England,Scotland,True,False,False,4,False,-1,5,0,A,1883,False,False
1883-03-12,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Wales,Scotland,True,False,False,4,False,-3,3,0,A,1883,False,False
1883-03-17,Northern Ireland,Wales,1,1,Friendly,Belfast,Ireland,False,Northern Ireland,Wales,False,False,True,4,False,0,2,1,D,1883,False,False
1884-01-26,Northern Ireland,Scotland,0,5,British Home Championship,Belfast,Ireland,False,Northern Ireland,Scotland,False,False,True,3,True,-5,5,0,A,1884,False,False
1884-02-09,Wales,Northern Ireland,6,0,British Home Championship,Wrexham,Wales,False,Wales,Northern Ireland,True,False,False,3,True,6,6,2,H,1884,False,False
1884-02-23,Northern Ireland,England,1,8,British Home Championship,Belfast,Ireland,False,Northern Ireland,England,False,False,True,3,True,-7,9,0,A,1884,False,False
1884-03-15,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,False,Scotland,England,True,False,False,3,True,1,1,2,H,1884,False,False
1884-03-17,Wales,England,0,4,British Home Championship,Wrexham,Wales,False,Wales,England,True,False,False,3,True,-4,4,0,A,1884,False,False
1884-03-29,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,Scotland,Wales,True,False,False,3,True,3,5,2,H,1884,False,False
1885-02-28,England,Northern Ireland,4,0,British Home Championship,Manchester,England,False,England,Northern Ireland,True,False,False,3,True,4,4,2,H,1885,False,False
1885-03-14,England,Wales,1,1,British Home Championship,Blackburn,England,False,England,Wales,True,False,False,3,True,0,2,1,D,1885,False,False
1885-03-14,Scotland,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,False,Scotland,Northern Ireland,True,False,False,3,True,6,10,2,H,1885,False,False
1885-03-21,England,Scotland,1,1,British Home Championship,London,England,False,England,Scotland,True,False,False,3,True,0,2,1,D,1885,False,False
1885-03-23,Wales,Scotland,1,8,British Home Championship,Wrexham,Wales,False,Wales,Scotland,True,False,False,3,True,-7,9,0,A,1885,False,False
1885-04-11,Northern Ireland,Wales,2,8,British Home Championship,Belfast,Ireland,False,Northern Ireland,Wales,False,False,True,3,True,-6,10,0,A,1885,False,False
1885-11-28,United States,Canada,0,1,Friendly,Newark,United States,False,United States,Canada,True,False,False,4,False,-1,1,0,A,1885,False,False
1886-02-27,Wales,Northern Ireland,5,0,British Home Championship,Wrexham,Wales,False,Wales,Northern Ireland,True,False,False,3,True,5,5,2,H,1886,False,False
1886-03-13,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,False,Northern Ireland,England,False,False,True,3,True,-5,7,0,A,1886,False,False
1886-03-20,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Ireland,False,Northern Ireland,Scotland,False,False,True,3,True,-5,9,0,A,1886,False,False
1886-03-27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,Scotland,England,True,False,False,3,True,0,2,1,D,1886,False,False
1886-03-29,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,Wales,England,True,False,False,3,True,-2,4,0,A,1886,False,False
1886-04-10,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,Scotland,Wales,True,False,False,3,True,3,5,2,H,1886,False,False
