raw_name,standardized_name,is_standardized,first_match,last_match,match_count
Abkhazia,Abkhazia,False,2012-09-25,2019-06-08,33
Afghanistan,Afghanistan,False,1941-08-10,2026-06-10,147
Albania,Albania,False,1946-08-22,2026-06-06,398
Alderney,Alderney,False,1905-04-17,2022-04-23,135
Algeria,Algeria,False,1963-01-06,2026-07-02,621
Ambazonia,Ambazonia,False,2005-06-23,2007-06-07,6
American Samoa,American Samoa,False,1983-08-20,2026-03-28,55
Andalusia,Andalusia,False,1923-01-14,2013-06-07,13
Andorra,Andorra,False,1996-11-13,2026-06-07,229
Angola,Angola,False,1976-02-08,2026-06-09,415
Anguilla,Anguilla,False,1985-11-05,2026-03-29,91
Antigua and Barbuda,Antigua and Barbuda,False,1972-11-10,2025-11-18,231
Arameans Suryoye,Arameans Suryoye,False,2008-07-09,2014-06-08,10
Argentina,Argentina,False,1902-07-20,2026-07-19,1077
Armenia,Armenia,False,1979-07-21,2026-06-09,272
Artsakh,Artsakh,False,2012-09-25,2019-06-08,11
Aruba,Aruba,False,1924-04-06,2026-06-06,152
Asturias,Asturias,False,1923-02-25,1923-02-25,1
Australia,Australia,False,1922-06-17,2026-07-03,585
Austria,Austria,False,1902-10-12,2026-07-02,864
Aymara,Aymara,False,2022-06-18,2022-06-19,2
Azerbaijan,Azerbaijan,False,1979-07-24,2026-06-09,310
Bahamas,Bahamas,False,1971-04-14,2026-03-29,67
Bahrain,Bahrain,False,1966-04-02,2026-06-05,584
Bangladesh,Bangladesh,False,1973-07-27,2026-06-05,305
Barawa,Barawa,False,2016-08-25,2019-05-25,12
Barbados,Barbados,False,1929-04-20,2026-03-29,302
Basque Country,Basque Country,False,1915-01-03,2025-11-15,64
Belarus,Belarus,False,1928-08-17,2026-06-09,315
Belgium,Belgium,False,1904-05-01,2026-07-10,859
Belize,Belize,False,1983-12-08,2026-03-30,121
Benin,Benin,False,1959-11-08,2026-06-09,325
Bermuda,Bermuda,False,1964-08-10,2026-06-06,198
Bhutan,Bhutan,False,1982-04-01,2026-06-04,110
Biafra,Biafra,False,2022-05-22,2022-05-25,3
Bolivia,Bolivia,False,1926-10-12,2026-06-10,534
Bonaire,Bonaire,False,2010-10-29,2026-06-06,44
Bosnia and Herzegovina,Bosnia and Herzegovina,False,1995-11-30,2026-07-01,287
Botswana,Botswana,False,1968-07-13,2026-03-31,332
Brazil,Brazil,False,1914-09-20,2026-07-05,1064
British Virgin Islands,British Virgin Islands,False,1985-11-05,2026-06-06,123
Brittany,Brittany,False,1922-03-12,2013-05-28,12
Brunei,Brunei,False,1971-05-22,2025-11-18,137
Bulgaria,Bulgaria,False,1924-05-21,2026-06-05,736
Burkina Faso,Burkina Faso,False,1960-04-14,2026-06-09,464
Burundi,Burundi,False,1953-09-19,2026-05-26,218
Cambodia,Cambodia,False,1954-11-01,2026-06-09,295
Cameroon,Cameroon,False,1953-09-24,2026-03-31,616
Canada,Canada,False,1885-11-28,2026-07-04,474
Canary Islands,Canary Islands,False,1996-02-06,2007-12-29,4
Canton Ticino,Canton Ticino,False,2023-06-17,2026-06-06,5
Cape Verde,Cabo Verde,True,1959-12-20,2026-07-03,239
Cascadia,Cascadia,False,2018-05-31,2019-05-25,7
Catalonia,Catalonia,False,1912-02-10,2019-03-25,48
Cayman Islands,Cayman Islands,False,1985-03-03,2026-06-06,119
Central African Republic,Central African Republic,False,1960-04-14,2026-06-09,138
Central Spain,Central Spain,False,1922-11-19,1923-11-25,2
Chad,Chad,False,1961-12-25,2025-11-17,138
Chagos Islands,Chagos Islands,False,2011-12-04,2019-12-29,16
Chameria,Chameria,False,2019-06-02,2023-07-01,7
Chechnya,Chechnya,False,2005-05-03,2006-02-18,3
Chile,Chile,False,1910-05-27,2026-06-09,835
China,China,False,1913-02-04,2026-06-09,702
Cilento,Cilento,False,2011-12-29,2011-12-29,1
Colombia,Colombia,False,1938-02-10,2026-07-07,643
Comoros,Comoros,False,1979-08-26,2026-06-09,151
Congo,Republic of the Congo,True,1960-04-14,2025-10-14,406
Cook Islands,Cook Islands,False,1971-09-11,2024-09-06,53
Corsica,Corsica,False,1967-02-28,2017-05-26,9
Costa Rica,Costa Rica,False,1921-09-14,2026-06-10,724
County of Nice,County of Nice,False,2014-06-02,2015-06-21,9
Crimea,Crimea,False,2006-11-19,2006-11-25,5
Croatia,Croatia,False,1940-04-02,2026-07-02,400
Cuba,Cuba,False,1930-03-16,2026-03-29,397
Curaçao,Curacao,True,1924-04-06,2026-06-25,388
Cyprus,Cyprus,False,1949-07-30,2026-06-07,426
Czech Republic,Czech Republic,False,1994-02-23,2026-06-24,363
Czechoslovakia,Czechoslovakia,False,1903-04-05,1993-11-17,520
DR Congo,DR Congo,False,1948-05-25,2026-07-01,528
Darfur,Darfur,False,2012-06-04,2014-06-07,7
Denmark,Denmark,False,1908-10-22,2026-06-07,874
Djibouti,Djibouti,False,1947-12-05,2025-11-26,111
Dominica,Dominica,False,1932-03-23,2026-03-30,215
Dominican Republic,Dominican Republic,False,1949-05-14,2026-06-03,159
