feature,importance_gain
elo_ratio,667
h2h_matches,662
h2h_gd_home,512
away_surprise,488
h2h_win_rate_home,460
diff_opp_gd_20,412
elo_away,396
elo_diff_abs,379
elo_diff,378
away_rest_days,338
home_surprise,334
h2h_draw_rate,334
is_friendly,316
away_ewma_gd_0.5,308
expected_away_score,306
diff_opp_gd_3,300
home_opp_adj_ga_30,297
diff_pts_20,288
home_gf_30,286
elo_home,282
home_ewma_ga_0.5,276
away_ewma_gf_0.5,267
away_ewma_pts_0.1,266
diff_opp_gd_10,264
is_neutral,260
away_opp_adj_ga_15,260
diff_opp_gd_5,256
home_opp_adj_ga_3,251
away_consistency,247
home_ewma_pts_0.1,241
away_opp_adj_ga_30,238
rest_diff,234
away_ewma_ga_0.5,232
home_rest_days,229
away_opp_adj_gd_30,220
away_opp_adj_ga_10,218
home_opp_adj_gf_30,211
away_cap_pts,205
away_opp_adj_ga_5,202
home_opp_adj_gf_5,194
home_consistency,192
expected_home_score,190
away_opp_adj_ga_8,189
home_ewma_gf_0.5,187
away_opp_adj_gd_15,185
home_opp_adj_ga_20,184
home_opp_adj_gf_15,184
away_opp_adj_gf_30,183
away_draw_30,182
away_ewma_ga_0.1,179
away_opp_adj_gf_3,177
home_draw_30,175
away_opp_adj_ga_3,175
away_ewma_pts_0.2,174
home_opp_adj_ga_8,173
home_cap_pts,172
away_ewma_pts_0.5,172
home_ewma_gd_0.5,171
home_ewma_ga_0.1,171
home_opp_adj_gd_5,167
home_opp_adj_gd_3,163
home_opp_adj_gf_3,162
away_opp_adj_gd_3,160
home_ewma_pts_0.5,159
home_opp_adj_gf_20,157
away_opp_adj_gf_5,157
home_pts_30,157
away_opp_adj_ga_20,149
diff_gd_10,149
home_opp_adj_ga_10,146
home_opp_adj_gd_20,146
home_ewma_ga_0.2,144
home_opp_adj_gf_8,144
away_gd_30,143
away_gf_30,143
away_pts_30,143
away_opp_adj_gf_20,142
away_ewma_gd_0.1,141
home_ga_20,139
home_opp_adj_gf_10,136
home_gd_30,136
away_ewma_ga_0.2,133
away_ewma_gf_0.1,132
home_loss_30,132
home_ewma_pts_0.2,131
away_opp_adj_gd_20,131
home_ewma_ga_0.3,128
away_opp_adj_gf_10,128
away_loss_30,127
away_ewma_pts_0.3,126
home_ewma_pts_0.3,126
is_world_cup,125
away_opp_adj_gd_10,125
home_pts_15,124
home_opp_adj_gd_8,124
away_opp_adj_gd_5,122
diff_pts_10,120
home_ewma_gf_0.1,118
away_ewma_ga_0.3,116
home_ewma_gd_0.1,115
home_opp_adj_ga_15,115
home_opp_adj_gd_30,112
home_ewma_gf_0.3,112
home_draw_20,112
away_opp_adj_gf_15,111
home_ga_30,111
elo_raw_diff,111
home_draw_15,110
home_opp_adj_ga_5,107
diff_gd_20,107
away_ga_30,106
home_ewma_gd_0.2,106
away_ewma_gf_0.3,105
home_ewma_gf_0.2,104
away_gf_20,103
home_opp_adj_gd_10,103
home_win_30,100
away_pts_20,98
home_ewma_gd_0.3,96
away_pts_15,96
diff_pts_5,95
away_opp_adj_gd_8,93
home_opp_adj_gd_15,93
away_gd_20,91
away_ga_15,91
away_opp_adj_gf_8,90
home_gd_20,90
away_draw_20,89
away_ewma_gd_0.3,86
diff_gd_3,84
away_win_30,83
away_ewma_gd_0.2,81
away_win_20,81
away_ewma_gf_0.2,80
away_gd_10,80
away_draw_15,78
home_pts_20,78
home_gd_10,76
away_draw_10,75
away_gf_15,75
home_gf_20,74
home_gd_15,72
home_gf_15,72
away_gd_8,71
diff_gd_5,69
diff_pts_3,68
home_loss_20,67
home_win_15,67
away_gd_3,63
home_ga_8,63
away_loss_20,62
home_gd_5,60
home_gf_8,59
away_pts_10,58
home_gd_3,57
away_ga_20,57
away_gd_5,57
home_pts_10,57
home_loss_10,56
away_gf_10,55
away_win_15,54
home_draw_8,54
away_gd_15,52
away_pts_5,52
away_draw_8,47
home_ga_15,45
away_draw_3,44
home_gd_8,44
home_win_20,43
home_loss_8,43
away_draw_5,42
away_ga_5,42
away_loss_15,42
away_ga_10,41
home_pts_8,41
away_loss_10,40
home_draw_5,40
home_ga_10,40
away_pts_8,39
home_ga_3,39
home_loss_15,33
away_win_10,32
home_gf_10,32
home_draw_10,32
away_gf_5,30
away_ga_3,29
elo_diff_sq,29
home_win_8,28
away_loss_3,28
home_pts_3,28
away_loss_5,24
away_gf_3,21
away_gf_8,21
home_gf_5,20
home_pts_5,20
home_draw_3,20
away_win_8,20
away_win_5,19
home_win_10,19
home_gf_3,19
away_loss_8,16
home_ga_5,16
home_win_5,12
away_ga_8,12
home_loss_5,11
away_pts_3,8
away_win_3,8
is_euro,6
home_win_3,6
home_loss_3,3
