model_1,model_2,home_prob_correlation,prediction_agreement,both_wrong_rate,m1_wrong_m2_right
LightGBM,LightGBM,1.0,1.0,0.40478938257357183,0.0
LightGBM,XGBoost,0.9969881243890888,0.9762261973456434,0.395268320830929,0.009521061742642816
LightGBM,CatBoost,0.9900552425723462,0.96133871898442,0.3912867859203693,0.01350259665320254
LightGBM,HistGBDT,0.993858446697944,0.9649740334679746,0.39272937103289096,0.0120600115406809
LightGBM,Dixon_Coles,-0.9110148865459436,0.04777841892671668,0.245066358915176,0.15972302365839586
XGBoost,LightGBM,0.9969881243890888,0.9762261973456434,0.395268320830929,0.008713214079630698
XGBoost,XGBoost,1.0,1.0,0.4039815349105597,0.0
XGBoost,CatBoost,0.9934141898662628,0.969936526255049,0.39394114252740914,0.010040392383150605
XGBoost,HistGBDT,0.9956774741356839,0.9720138488170802,0.39469128678592036,0.009290248124639354
XGBoost,Dixon_Coles,-0.9146064702159697,0.0465666474321985,0.24408540103866128,0.15989613387189844
CatBoost,LightGBM,0.9900552425723462,0.96133871898442,0.3912867859203693,0.014425851125216388
CatBoost,XGBoost,0.9934141898662628,0.969936526255049,0.39394114252740914,0.011771494518176573
CatBoost,CatBoost,0.9999999999999999,1.0,0.4057126370455857,0.0
CatBoost,HistGBDT,0.9940115698637103,0.9752452394691287,0.39694171956145413,0.008770917484131564
CatBoost,Dixon_Coles,-0.9238291279369106,0.04102712060011541,0.2433929601846509,0.1623196768609348
HistGBDT,LightGBM,0.9938584466979441,0.9649740334679746,0.39272937103289096,0.013271783035199077
HistGBDT,XGBoost,0.9956774741356839,0.9720138488170802,0.39469128678592036,0.011309867282169648
HistGBDT,CatBoost,0.9940115698637104,0.9752452394691287,0.39694171956145413,0.009059434506635891
HistGBDT,HistGBDT,1.0,1.0,0.40600115406809,0.0
HistGBDT,Dixon_Coles,-0.9193263953458624,0.043046739757645704,0.24443162146566647,0.16156953260242354
Dixon_Coles,LightGBM,-0.9110148865459436,0.04777841892671668,0.245066358915176,0.5750721292556261
Dixon_Coles,XGBoost,-0.9146064702159697,0.0465666474321985,0.24408540103866128,0.5760530871321408
Dixon_Coles,CatBoost,-0.9238291279369107,0.04102712060011541,0.2433929601846509,0.5767455279861512
Dixon_Coles,HistGBDT,-0.9193263953458624,0.043046739757645704,0.24443162146566647,0.5757068667051356
Dixon_Coles,Dixon_Coles,1.0,1.0,0.820138488170802,0.0
