tournament,date,match,score,delta_classic,delta_adaptive
2018 FIFA World Cup,2018-06-14,Russia vs Saudi Arabia,5-0,14.01,10.9
2018 FIFA World Cup,2018-06-15,Egypt vs Uruguay,0-1,6.64,7.55
2018 FIFA World Cup,2018-06-15,Morocco vs Iran,0-1,10.01,9.0
2018 FIFA World Cup,2018-06-15,Portugal vs Spain,3-3,4.45,4.86
2018 FIFA World Cup,2018-06-16,France vs Australia,2-1,5.5,5.4
2018 FIFA World Cup,2018-06-16,Argentina vs Iceland,1-1,7.62,8.32
2018 FIFA World Cup,2018-06-16,Peru vs Denmark,0-1,15.22,14.0
2018 FIFA World Cup,2018-06-16,Croatia vs Nigeria,2-0,11.09,8.83
2018 FIFA World Cup,2018-06-17,Brazil vs Switzerland,1-1,7.86,8.92
2018 FIFA World Cup,2018-06-17,Germany vs Mexico,0-1,15.85,14.8
2018 FIFA World Cup,2018-06-17,Costa Rica vs Serbia,0-1,12.36,10.48
2018 FIFA World Cup,2018-06-18,Sweden vs South Korea,1-0,10.13,7.72
2018 FIFA World Cup,2018-06-18,Belgium vs Panama,3-0,8.76,8.16
2018 FIFA World Cup,2018-06-18,Tunisia vs England,1-2,4.89,5.0
2018 FIFA World Cup,2018-06-19,Poland vs Senegal,1-2,12.78,7.1
2018 FIFA World Cup,2018-06-19,Russia vs Egypt,3-1,12.8,8.98
2018 FIFA World Cup,2018-06-19,Colombia vs Japan,1-2,17.63,8.89
2018 FIFA World Cup,2018-06-20,Portugal vs Morocco,1-0,7.14,6.58
2018 FIFA World Cup,2018-06-20,Uruguay vs Saudi Arabia,1-0,4.41,4.89
2018 FIFA World Cup,2018-06-20,Iran vs Spain,0-1,5.83,5.64
2018 FIFA World Cup,2018-06-21,Argentina vs Croatia,0-3,27.36,9.95
2018 FIFA World Cup,2018-06-21,France vs Peru,1-0,8.92,5.79
2018 FIFA World Cup,2018-06-21,Denmark vs Australia,1-1,2.24,0.53
2018 FIFA World Cup,2018-06-22,Nigeria vs Iceland,2-0,19.35,6.04
2018 FIFA World Cup,2018-06-22,Brazil vs Costa Rica,2-0,3.94,3.17
2018 FIFA World Cup,2018-06-22,Serbia vs Switzerland,1-2,8.85,8.52
2018 FIFA World Cup,2018-06-23,Belgium vs Tunisia,5-2,8.99,10.26
2018 FIFA World Cup,2018-06-23,South Korea vs Mexico,1-2,6.45,6.66
2018 FIFA World Cup,2018-06-23,Germany vs Sweden,2-1,6.2,5.17
2018 FIFA World Cup,2018-06-24,England vs Panama,6-1,8.38,6.93
2018 FIFA World Cup,2018-06-24,Japan vs Senegal,2-2,1.16,1.19
2018 FIFA World Cup,2018-06-24,Poland vs Colombia,0-3,14.53,12.19
2018 FIFA World Cup,2018-06-25,Russia vs Uruguay,0-3,16.9,5.9
2018 FIFA World Cup,2018-06-25,Saudi Arabia vs Egypt,2-1,14.39,5.6
2018 FIFA World Cup,2018-06-25,Iran vs Portugal,1-1,2.85,2.64
2018 FIFA World Cup,2018-06-25,Spain vs Morocco,2-2,8.17,5.7
2018 FIFA World Cup,2018-06-26,Australia vs Peru,0-2,12.05,4.79
2018 FIFA World Cup,2018-06-26,Denmark vs France,0-0,5.37,6.46
2018 FIFA World Cup,2018-06-26,Nigeria vs Argentina,1-2,5.17,3.79
2018 FIFA World Cup,2018-06-26,Iceland vs Croatia,1-2,6.2,4.94
2018 FIFA World Cup,2018-06-27,South Korea vs Germany,2-0,29.74,15.23
2018 FIFA World Cup,2018-06-27,Mexico vs Sweden,0-3,27.54,6.34
2018 FIFA World Cup,2018-06-27,Serbia vs Brazil,0-2,3.97,2.79
2018 FIFA World Cup,2018-06-27,Switzerland vs Costa Rica,2-2,4.0,3.44
2018 FIFA World Cup,2018-06-28,England vs Belgium,0-1,12.69,13.45
2018 FIFA World Cup,2018-06-28,Panama vs Tunisia,1-2,11.22,9.82
2018 FIFA World Cup,2018-06-28,Japan vs Poland,0-1,11.48,8.13
2018 FIFA World Cup,2018-06-28,Senegal vs Colombia,0-1,7.9,4.35
2018 FIFA World Cup,2018-06-30,Uruguay vs Portugal,2-1,12.43,9.23
2018 FIFA World Cup,2018-06-30,France vs Argentina,4-3,10.58,9.54
2018 FIFA World Cup,2018-07-01,Russia vs Spain,1-1,7.06,7.35
2018 FIFA World Cup,2018-07-01,Croatia vs Denmark,1-1,2.14,2.73
2018 FIFA World Cup,2018-07-02,Brazil vs Mexico,2-0,6.51,7.2
2018 FIFA World Cup,2018-07-02,Belgium vs Japan,3-2,5.68,7.81
2018 FIFA World Cup,2018-07-03,Sweden vs Switzerland,1-0,14.04,6.86
2018 FIFA World Cup,2018-07-03,Colombia vs England,1-1,0.82,0.74
2018 FIFA World Cup,2018-07-05,Malaysia vs Fiji,1-0,18.66,14.58
2018 FIFA World Cup,2018-07-06,Uruguay vs France,0-2,13.78,14.32
2018 FIFA World Cup,2018-07-06,Brazil vs Belgium,1-2,17.6,10.37
2018 FIFA World Cup,2018-07-07,Russia vs Croatia,2-2,2.84,1.9
2018 FIFA World Cup,2018-07-07,Sweden vs England,0-2,11.82,10.0
2018 FIFA World Cup,2018-07-10,France vs Belgium,1-0,10.89,10.05
2018 FIFA World Cup,2018-07-11,Croatia vs England,2-1,14.51,11.96
2018 FIFA World Cup,2018-07-14,Belgium vs England,2-0,16.9,13.95
2018 FIFA World Cup,2018-07-15,France vs Croatia,4-2,12.03,11.14
UEFA Euro 2020,2021-06-11,DR Congo vs Mali,1-1,2.79,1.25
UEFA Euro 2020,2021-06-11,Philippines vs Guam,3-0,8.0,6.66
UEFA Euro 2020,2021-06-11,Nepal vs Australia,0-3,1.1,0.67
UEFA Euro 2020,2021-06-11,Kuwait vs Jordan,0-0,0.72,0.88
UEFA Euro 2020,2021-06-11,Cambodia vs Iran,0-10,0.64,0.43
UEFA Euro 2020,2021-06-11,Hong Kong vs Iraq,0-1,2.59,2.98
UEFA Euro 2020,2021-06-11,Yemen vs Uzbekistan,0-1,3.26,2.41
UEFA Euro 2020,2021-06-11,Afghanistan vs Oman,1-2,3.69,3.09
UEFA Euro 2020,2021-06-11,Myanmar vs Kyrgyzstan,1-8,15.83,4.38
UEFA Euro 2020,2021-06-11,Malaysia vs Vietnam,1-2,6.53,6.59
UEFA Euro 2020,2021-06-11,Japan vs Serbia,1-0,8.69,6.5
UEFA Euro 2020,2021-06-11,Guinea vs Niger,2-1,6.19,5.13
UEFA Euro 2020,2021-06-11,Kosovo vs Gambia,1-0,9.81,7.44
UEFA Euro 2020,2021-06-11,Mauritania vs Liberia,1-0,10.69,10.96
UEFA Euro 2020,2021-06-11,Tunisia vs Algeria,0-2,17.52,10.64
UEFA Euro 2020,2021-06-11,Italy vs Turkey,3-0,8.03,8.97
UEFA Euro 2020,2021-06-11,United Arab Emirates vs Indonesia,5-0,5.68,5.36
UEFA Euro 2020,2021-06-11,Saudi Arabia vs Singapore,3-0,3.63,2.99
UEFA Euro 2020,2021-06-11,China vs Maldives,5-0,3.53,2.68
UEFA Euro 2020,2021-06-12,Haiti vs Canada,0-1,11.39,4.94
UEFA Euro 2020,2021-06-12,Panama vs Curaçao,2-1,6.46,4.97
UEFA Euro 2020,2021-06-12,Ghana vs Ivory Coast,0-0,1.4,0.16
UEFA Euro 2020,2021-06-12,Saint Kitts and Nevis vs El Salvador,0-4,15.07,7.9
UEFA Euro 2020,2021-06-12,Denmark vs Finland,0-1,20.47,13.07
UEFA Euro 2020,2021-06-12,Wales vs Switzerland,1-1,1.17,2.86
UEFA Euro 2020,2021-06-12,Russia vs Belgium,0-3,9.24,8.95
UEFA Euro 2020,2021-06-12,Morocco vs Burkina Faso,1-0,5.97,5.91
UEFA Euro 2020,2021-06-12,Mexico vs Honduras,0-0,7.8,8.75
UEFA Euro 2020,2021-06-13,South Korea vs Lebanon,2-1,2.33,2.29
UEFA Euro 2020,2021-06-13,Sudan vs Zambia,0-1,9.57,8.92
UEFA Euro 2020,2021-06-13,Tanzania vs Malawi,2-0,15.59,9.84
UEFA Euro 2020,2021-06-13,Austria vs North Macedonia,3-1,11.52,10.56
UEFA Euro 2020,2021-06-13,Netherlands vs Ukraine,3-2,5.59,5.52
UEFA Euro 2020,2021-06-13,England vs Croatia,1-0,5.17,5.37
UEFA Euro 2020,2021-06-13,Brazil vs Venezuela,3-0,3.45,2.12
UEFA Euro 2020,2021-06-13,Colombia vs Ecuador,1-0,7.97,5.81
UEFA Euro 2020,2021-06-14,Poland vs Slovakia,1-2,15.47,16.66
UEFA Euro 2020,2021-06-14,Libya vs Liberia,0-1,14.83,16.14
UEFA Euro 2020,2021-06-14,Scotland vs Czech Republic,0-2,17.85,8.3
UEFA Euro 2020,2021-06-14,Argentina vs Chile,1-1,5.2,4.91
UEFA Euro 2020,2021-06-14,Paraguay vs Bolivia,3-1,10.86,8.17
UEFA Euro 2020,2021-06-14,Spain vs Sweden,0-0,7.88,8.69
UEFA Euro 2020,2021-06-15,Iran vs Iraq,1-0,5.17,4.28
UEFA Euro 2020,2021-06-15,Japan vs Kyrgyzstan,5-1,2.88,2.1
UEFA Euro 2020,2021-06-15,Philippines vs Maldives,1-1,5.94,6.32
UEFA Euro 2020,2021-06-15,China vs Syria,3-1,12.98,9.12
UEFA Euro 2020,2021-06-15,Australia vs Jordan,1-0,5.28,4.05
UEFA Euro 2020,2021-06-15,Bahrain vs Hong Kong,4-0,4.7,5.03
UEFA Euro 2020,2021-06-15,Palestine vs Yemen,3-0,10.77,8.51
UEFA Euro 2020,2021-06-15,Bangladesh vs Oman,0-3,2.3,2.26
UEFA Euro 2020,2021-06-15,Tajikistan vs Myanmar,4-0,12.22,10.67
UEFA Euro 2020,2021-06-15,India vs Afghanistan,1-1,2.52,2.98
UEFA Euro 2020,2021-06-15,Saudi Arabia vs Uzbekistan,3-0,17.01,6.05
UEFA Euro 2020,2021-06-15,Canada vs Haiti,3-0,14.82,11.56
UEFA Euro 2020,2021-06-15,Thailand vs Malaysia,0-1,15.94,10.89
UEFA Euro 2020,2021-06-15,Sierra Leone vs Benin,1-0,16.25,7.81
UEFA Euro 2020,2021-06-15,Kuwait vs Taiwan,2-1,2.64,2.28
UEFA Euro 2020,2021-06-15,Germany vs France,0-1,11.12,10.04
UEFA Euro 2020,2021-06-15,Hungary vs Portugal,0-3,9.25,7.6
UEFA Euro 2020,2021-06-15,United Arab Emirates vs Vietnam,3-2,8.1,6.31
UEFA Euro 2020,2021-06-15,Tunisia vs Mali,1-0,7.08,5.93
UEFA Euro 2020,2021-06-15,El Salvador vs Saint Kitts and Nevis,2-0,6.01,5.82
UEFA Euro 2020,2021-06-15,Curaçao vs Panama,0-0,1.93,3.78
UEFA Euro 2020,2021-06-15,Djibouti vs Somalia,1-0,9.75,10.48
UEFA Euro 2020,2021-06-16,Russia vs Finland,1-0,8.19,6.28
