team,p_winner,p_finalist,p_semi,p_qf,p_group_exit
Argentina,0.18,0.27,0.39,0.51,0.22
France,0.12,0.2,0.33,0.5,0.24
Netherlands,0.11,0.16,0.28,0.44,0.28
England,0.09,0.15,0.24,0.5,0.23
Brazil,0.08,0.15,0.2,0.38,0.26
Germany,0.07,0.15,0.32,0.52,0.15
Japan,0.06,0.08,0.12,0.25,0.41
Belgium,0.05,0.15,0.22,0.47,0.16
Côte d'Ivoire,0.04,0.08,0.16,0.33,0.43
Croatia,0.04,0.08,0.2,0.34,0.37
Morocco,0.04,0.08,0.2,0.38,0.37
Austria,0.03,0.03,0.07,0.22,0.6
Norway,0.02,0.06,0.19,0.36,0.34
Mexico,0.02,0.04,0.14,0.33,0.4
Colombia,0.02,0.12,0.29,0.5,0.26
Algeria,0.01,0.03,0.06,0.11,0.52
IR Iran,0.01,0.03,0.06,0.13,0.67
Canada,0.01,0.02,0.07,0.26,0.44
Curaçao,0.0,0.0,0.0,0.03,0.85
Czechia,0.0,0.03,0.1,0.2,0.51
Bosnia and Herzegovina,0.0,0.0,0.0,0.07,0.68
Australia,0.0,0.03,0.04,0.18,0.62
Cabo Verde,0.0,0.0,0.01,0.06,0.74
Congo DR,0.0,0.0,0.02,0.07,0.71
Ecuador,0.0,0.0,0.07,0.18,0.43
Haiti,0.0,0.0,0.0,0.03,0.89
Ghana,0.0,0.01,0.03,0.1,0.69
Egypt,0.0,0.02,0.07,0.12,0.6
Iraq,0.0,0.02,0.04,0.08,0.75
Jordan,0.0,0.0,0.03,0.14,0.69
New Zealand,0.0,0.0,0.01,0.09,0.81
Panama,0.0,0.01,0.04,0.12,0.68
