match_idx,date,tournament,favorite,underdog,score,p_fav_win,fav_won,fav_lost,elo_fav_pre,elo_und_pre,elo_diff,delta_classic,delta_fixed5,delta_adaptive,consistency,surprise,adaptive_cap,post_elo_classic,post_elo_fixed5,post_elo_adaptive
150,1903-03-21,British Home Championship,Scotland,Northern Ireland,0-2,0.9574699181913305,False,True,1723.1482326075013,1247.1766645750295,475.97156803247185,-34.468917054887896,-20.0,-30.0,1.0,0.12214476874955736,30.0,1688.6793155526134,1707.9149004900091,1685.6787279730652
168,1905-03-06,British Home Championship,Scotland,Wales,3-1,0.8576326241602472,False,True,1671.7359046100448,1294.7795793810697,376.9563252289752,-30.8747744697689,-20.0,-30.0,1.0,0.515122865095683,30.0,1640.861130140276,1668.552077604041,1638.6033066474627
182,1906-03-03,British Home Championship,Scotland,Wales,0-2,0.897814008818712,False,True,1637.9066963374785,1325.3886900670263,312.51800627045213,-32.32130431747363,-20.0,-30.0,0.8430499209114019,0.29446629596792284,30.0,1605.5853920200047,1643.5476488484162,1605.5624636939724
269,1910-03-19,British Home Championship,Scotland,Northern Ireland,1-0,0.8139383278994416,False,True,1612.3560777008279,1290.9822456661534,321.3738320346745,-19.5345198695866,-20.0,-11.284909446975412,0.08787484763663343,0.14698913796202628,11.284909446975412,1592.8215578312413,1617.1101669769153,1602.5756054339533
386,1913-02-15,British Home Championship,England,Northern Ireland,2-1,0.9273138408407764,False,True,1785.86832939578,1278.5583208858386,507.3100085099413,-22.255532180178633,-20.0,-14.545441789118449,0.23359778715538956,0.11738686217363764,14.545441789118449,1763.6127972156014,1769.1472751668534,1778.6182016853704
425,1914-02-14,British Home Championship,England,Northern Ireland,0-3,0.9529364605960731,False,True,1771.3734732571315,1313.821729719314,457.55174353781763,-40.02333134503507,-20.0,-22.255961145930627,0.5187164953169662,0.22584565729042994,22.255961145930627,1731.3501419120964,1757.0129711804786,1763.6899421808375
534,1918-06-16,Friendly,Denmark,Norway,3-1,0.8680248084711026,False,True,1705.4735466558188,1313.2576119724943,392.2159346833246,-31.248893104959695,-20.0,-30.0,1.0,0.21479134676920575,30.0,1674.224653550859,1671.7402384188895,1660.036773333561
600,1920-03-15,British Home Championship,England,Wales,1-2,0.9015369321257161,False,True,1708.2020085955921,1388.5179448398674,319.68406375572476,-21.636886371017184,-20.0,-22.07582913272804,0.755207440741555,0.3729216786345495,29.108352006873716,1686.565122224575,1712.977975665348,1717.3562632650471
606,1920-04-29,Muratti Vase,Guernsey,Alderney,1-0,0.8137375616496689,False,True,1632.6403928386014,1376.4967611352015,256.14363170339993,-19.529701479592056,-19.571758875888825,-19.278336598308872,1.0,0.23183094333066168,30.0,1613.1106913590095,1615.5954426518347,1607.72200408529
852,1923-10-20,British Home Championship,England,Northern Ireland,2-1,0.837701086621079,False,True,1713.1583999256782,1363.049013272945,350.10938665273306,-20.104826078905894,-20.0,-20.886031396877463,1.0,0.19594878490802664,30.0,1693.0535738467722,1706.7766804391733,1715.74794719052
882,1924-03-03,British Home Championship,England,Wales,1-2,0.8660616219494501,False,True,1691.4496814242164,1432.1921780103876,259.2575034138288,-20.7854789267868,-20.0,-20.93506857623365,0.6568993260146216,0.10567124283064255,24.61095376699606,1670.6642024974296,1684.4905250121951,1692.098227267198
895,1924-04-21,Peace Cup,Guernsey,Alderney,1-2,0.8866337980389415,False,True,1643.5483920952506,1351.2441179385014,292.3042741567492,-21.279211152934597,-20.0,-21.17618387515937,1.0,0.12238414875332937,30.0,1622.269180942316,1625.3474960325896,1618.8167668465749
1036,1925-07-14,Friendly,Uruguay,Paraguay,0-1,0.8303572251329885,False,True,1684.1987317931123,1473.3068912876752,210.89184050543713,-19.928573403191724,-20.0,-11.635972040738192,0.09033947291916777,0.18347808633477058,11.635972040738192,1664.2701583899207,1668.4269577606951,1677.880329975336
1081,1926-03-01,British Home Championship,England,Wales,1-3,0.8692000800525658,False,True,1676.965570040201,1412.960658257588,264.00491178261314,-31.291202881892367,-20.0,-26.360761156040553,0.6520508279398595,0.33894266068549056,26.360761156040553,1645.6743671583088,1667.3603822950522,1667.4522653086324
1223,1927-10-22,British Home Championship,England,Northern Ireland,2-0,0.8060490002199767,False,True,1695.5398179012836,1383.0720495040753,312.4677683972084,-29.017764007919162,-20.0,-29.744163733152025,1.0,0.1877549031037817,30.0,1666.5220538933645,1689.8746727661617,1675.4181543985778
1241,1927-11-28,British Home Championship,England,Wales,1-2,0.838446974749604,False,True,1666.5220538933645,1445.4578510888873,221.0642028044772,-20.122727393990495,-20.0,-20.240947353835946,0.29995796609796366,0.7779404844049138,21.42251506159044,1646.399326499374,1669.8746727661617,1655.1772070447419
1249,1928-02-25,British Home Championship,Scotland,Northern Ireland,0-1,0.9030009339058332,False,True,1702.490357939692,1379.9220993127174,322.56825862697474,-21.67202241374,-20.0,-21.873776877537907,0.705315420415995,0.24824933098427476,26.913564737858078,1680.818335525952,1691.4491787786048,1680.3136881998964
1313,1928-08-15,Friendly,Uruguay,Paraguay,3-1,0.808724079599888,False,True,1743.8219022465305,1428.3658726808908,315.4560295656397,-29.11406686559597,-20.0,-28.561428361825925,0.9379722027605233,0.44263966155407974,30.0,1714.7078353809345,1725.4137312385628,1724.4533492655412
1384,1929-06-23,Nordic Championship,Denmark,Norway,2-5,0.8215286920536753,False,True,1609.1875652274512,1408.9658334566448,200.2217317708064,-34.504205066254364,-20.0,-17.493657114529658,0.28774614097383866,0.3234687163946913,17.493657114529658,1574.6833601611968,1585.9970284719627,1581.8605704279478
1577,1931-05-14,Friendly,England,France,5-2,0.8354381655528316,False,True,1706.5503538339278,1359.3162772813737,347.23407655255414,-35.088402953218925,-20.0,-13.401070228725207,0.10351985460928363,0.36457421476279994,13.401070228725207,1671.4619508807089,1696.9859655536104,1686.9330345950575
1589,1931-06-14,Friendly,Denmark,Netherlands,0-2,0.8456870462479772,False,True,1632.2385445653995,1401.7156269410723,230.5229176243272,-30.444733664927178,-20.0,-10.546638684494384,0.029791292006535203,0.2289559595421924,10.546638684494384,1601.7938109004724,1615.8020484775968,1621.2730314203975
1624,1931-10-11,Nordic Championship,Denmark,Finland,2-3,0.8346753353626513,False,True,1570.5397866738656,1354.2678147169595,216.2719719569061,-20.03220804870363,-20.0,-20.344006766863544,1.0,0.4480124763070584,30.0,1550.507578625162,1562.8878341182815,1568.1031173718466
1659,1932-04-17,Central European International Cup,Czechoslovakia,Switzerland,5-1,0.8165326410773802,False,True,1657.2443542604274,1332.8784577578185,324.36589650260885,-36.74396884848211,-20.0,-30.0,0.7945315714760718,0.5962623802005593,30.0,1620.5003854119452,1636.8946532563314,1629.6044531209245
1722,1932-10-26,British Home Championship,Scotland,Wales,2-5,0.8976124645490933,False,True,1708.1982922976736,1396.0615781370423,312.1367141606313,-37.69972351106192,-20.0,-9.428399048543495,0.0016905199993225918,0.17347832106996913,9.428399048543495,1670.4985687866117,1688.7261417265895,1697.372538549958
1750,1933-04-09,Friendly,Austria,Czechoslovakia,1-2,0.8014419286132908,False,True,1802.1653781676343,1624.7715727221166,177.39380544551773,-19.23460628671898,-18.845898194132683,-15.441087182834304,0.2771795964383514,0.09859710853923392,15.441087182834304,1782.9307718809155,1779.380331226356,1783.3334584374752
1752,1933-04-23,Friendly,Spain,France,1-0,0.8094868994314657,False,True,1701.988383761801,1385.6743919764194,316.31399178538163,-19.427685586355175,-20.0,-19.983593034257446,1.0,0.15867268849549643,30.0,1682.5606981754459,1685.5888471619573,1692.4401717820003
1765,1933-06-04,Friendly,Poland,Belgium,0-1,0.8196798586269244,False,True,1596.9070498303072,1398.8670400567426,198.04000977356463,-19.672316607046184,-19.440146323323884,-19.353889136770253,1.0,0.44696225519888344,30.0,1577.234733223261,1566.2171195044236,1574.4836064808514
1794,1933-09-16,British Home Championship,Scotland,Northern Ireland,1-2,0.8922477080689015,False,True,1682.706151610088,1380.482581804238,302.22356980585005,-21.413944993653637,-20.0,-15.513223018579875,0.16235117157194728,0.4520993626066425,15.513223018579875,1661.2922066164344,1680.894876607574,1693.511141072893
1820,1933-11-15,British Home Championship,England,Wales,1-2,0.8775180998082064,False,True,1749.1467524473278,1472.0730853938996,277.07366705342815,-21.060434395396953,-20.0,-21.19663187818935,1.0,0.13587318335173248,30.0,1728.086318051931,1741.9616281462977,1736.9349114308593
2053,1935-11-17,Friendly,Sweden,Belgium,5-1,0.8085965377057424,False,True,1641.7568527170695,1326.4440175342645,315.312835182805,-36.3868441967584,-20.0,-15.718983003709877,0.08824011932009414,0.7001525175034522,15.718983003709877,1605.370008520311,1630.9651744917765,1633.803393629424
2066,1936-02-05,British Home Championship,England,Wales,1-2,0.8678458566356104,False,True,1752.300439316951,1490.35571513862,261.94472417833094,-20.82830055925465,-20.0,-20.873313219526686,1.0,0.33475165194132817,30.0,1731.4721387576965,1741.1260760772109,1734.8206538801094
2087,1936-05-09,Friendly,England,Belgium,3-2,0.8633322410102006,False,True,1716.7504721051366,1331.5457174079431,385.2047546971935,-20.719973784244814,-20.0,-20.86548123217102,1.0,0.41784413311315227,30.0,1696.0304983208919,1706.4330594218895,1699.6712940703078
2116,1936-09-06,Nordic Championship,Norway,Finland,0-2,0.8084106650180453,False,True,1534.5317099526985,1349.4274282012716,185.10428175142692,-29.10278394064963,-20.0,-17.030272015186092,0.13904540854387246,0.711647776266644,17.030272015186092,1505.4289260120488,1495.939676296551,1517.2113269218887
2138,1936-12-02,British Home Championship,Scotland,Wales,1-2,0.8137233288916886,False,True,1704.7796842054386,1513.6523646414964,191.12731956394214,-19.529359893400528,-20.0,-19.80825290912607,1.0,0.17250447530190288,30.0,1685.250324312038,1695.0671835895223,1696.7654931109728
2153,1937-01-10,Copa América,Uruguay,Chile,3-0,0.8434684697573877,False,True,1658.956863795106,1366.3700551210611,292.58680867404496,-35.42567572981028,-20.0,-9.678530022697492,0.008499905431645282,0.18431653654225086,9.678530022697492,1623.5311880652957,1651.6383024411605,1657.928081676222
2259,1937-11-28,Friendly,Spain,Portugal,1-2,0.859813443639733,False,True,1712.2935947472758,1462.2144492694538,250.07914547782207,-20.635522647353593,-20.0,-20.7310383045059,0.6733245974353131,0.22930969874523865,25.994267928409425,1691.6580720999223,1691.5583346829312,1696.860976001057
2271,1938-01-22,FIFA World Cup qualification,Israel,Greece,1-3,0.8132505890011177,False,True,1459.1099852678287,1268.5239269661695,190.58605830165925,-29.27702120404024,-20.0,-29.133131439104538,1.0,0.47984173171737043,30.0,1429.8329640637885,1440.0644216386604,1439.9488771177043
2320,1938-05-21,Friendly,England,Switzerland,2-1,0.8209611708980222,False,True,1760.5916217929948,1431.0414666813442,329.5501551116506,-19.70306810155253,-20.0,-16.218367421998202,0.1664614092158186,0.5279117001023195,16.218367421998202,1740.8885536914422,1742.232093231022,1733.0713836141906
2360,1938-07-16,Friendly,Trinidad and Tobago,Suriname,1-2,0.806787809594805,False,True,1668.0506960246548,1484.760774646057,183.2899213785979,-19.36290743027532,-19.324070435746638,-19.284823549888088,0.7487870814543354,0.3234154787495809,28.558213784900694,1648.6877885943795,1644.0606943686319,1644.4365934334471
2444,1939-03-26,Friendly,Germany,Luxembourg,2-1,0.8753204395635849,False,True,1688.0463831556,1284.497660238644,403.5487229169562,-21.007690549526036,-20.0,-15.137791175861215,0.22251074392709005,0.22469166520138173,15.137791175861215,1667.0386926060742,1680.577711252429,1681.7973038378425
2487,1939-09-02,Friendly,China,Japan,0-3,0.8581135031195426,False,True,1690.11432434597,1377.4728564585205,312.6414678874496,-36.040767131020786,-20.0,-30.0,1.0,0.15423996762940373,30.0,1654.0735572149492,1665.156117696885,1648.5573962371939
2500,1939-11-12,Friendly,Italy,Switzerland,3-1,0.8223469185674075,False,True,1869.4391101972728,1538.2461803646954,331.1929298325774,-29.60448906842667,-20.0,-30.0,1.0,0.06010753974003896,30.0,1839.8346211288463,1845.9653597431804,1832.8307324717973
2515,1940-03-10,Copa Roca,Argentina,Brazil,2-3,0.8303390966379411,False,True,1821.8276892703802,1610.958204412548,210.86948485783228,-19.928138319310587,-19.97159178439424,-19.90946752649356,1.0,0.054197470624960165,30.0,1801.8995509510696,1809.1316724012304,1804.714556409133
2522,1940-03-31,Friendly,Netherlands,Luxembourg,4-5,0.8248777501275854,False,True,1502.9037644250209,1298.6844599710112,204.21930445400972,-19.79706600306205,-19.594244233903165,-19.487185866752895,0.6590782191538896,0.5764307700872984,28.42932342039174,1483.1066984219588,1486.5132580652003,1482.242907232396
2527,1940-04-14,Friendly,Germany,Yugoslavia,1-2,0.8456564718159587,False,True,1700.9918022154457,1470.5095809418879,230.4822212735578,-20.29575532358301,-20.0,-20.570280391270767,0.6426465339071556,0.15367413974455246,24.652909931728153,1680.6960468918626,1689.8385461794442,1694.5962490033787
2577,1941-02-22,Friendly,Uganda,Kenya,3-4,0.8573556414982272,False,True,1623.2812819315468,1376.7187180684532,246.5625638630936,-20.576535395957453,-20.0,-20.273252468083328,1.0,0.2798055450965405,30.0,1602.7047465355893,1602.1730297027943,1594.3454387864108
2635,1942-02-01,Friendly,Germany,Switzerland,1-2,0.8319427333542395,False,True,1712.0879147031417,1499.233459898393,212.85445480474868,-19.96662560050175,-20.0,-17.14320896133211,0.2758565845176744,0.31533136661349054,17.14320896133211,1692.1212891026398,1703.2750710196551,1699.1874876466823
2682,1943-07-11,Copa Chevallier Boutell,Argentina,Paraguay,2-1,0.8399088203724174,False,True,1837.7774621049014,1484.8315671674445,352.94589493745684,-20.15781168893802,-20.0,-20.056520451585815,0.44871837106220863,0.1609099432616012,20.056520451585815,1817.6196504159634,1824.5143289697003,1826.0348169396054
