upset_match_idx,favorite,upset_date,recovery_step,subsequent_match_idx,opponent,fav_won_subsequent
150,Scotland,1903-03-21,1,152,England,True
150,Scotland,1903-03-21,3,161,Northern Ireland,False
150,Scotland,1903-03-21,5,168,Wales,False
168,Scotland,1905-03-06,1,169,Northern Ireland,True
168,Scotland,1905-03-06,3,182,Wales,False
168,Scotland,1905-03-06,5,189,England,True
182,Scotland,1906-03-03,1,183,Northern Ireland,True
182,Scotland,1906-03-03,3,200,Wales,False
182,Scotland,1906-03-03,5,205,England,False
269,Scotland,1910-03-19,1,270,England,True
269,Scotland,1910-03-19,3,302,Northern Ireland,True
269,Scotland,1910-03-19,5,335,Wales,True
386,England,1913-02-15,1,392,Wales,True
386,England,1913-02-15,3,425,Northern Ireland,False
386,England,1913-02-15,5,433,Scotland,False
425,England,1914-02-14,1,430,Wales,True
425,England,1914-02-14,3,592,Northern Ireland,False
425,England,1914-02-14,5,604,Scotland,True
534,Denmark,1918-06-16,1,543,Norway,True
534,Denmark,1918-06-16,3,564,Sweden,True
534,Denmark,1918-06-16,5,587,Norway,False
600,England,1920-03-15,1,604,Scotland,True
600,England,1920-03-15,3,655,Wales,False
600,England,1920-03-15,5,672,Belgium,True
606,Guernsey,1920-04-29,1,657,Alderney,True
606,Guernsey,1920-04-29,3,718,Alderney,True
606,Guernsey,1920-04-29,5,724,Jersey,True
852,England,1923-10-20,1,858,Belgium,False
852,England,1923-10-20,3,892,Scotland,False
852,England,1923-10-20,5,972,Northern Ireland,True
882,England,1924-03-03,1,892,Scotland,False
882,England,1924-03-03,3,972,Northern Ireland,True
882,England,1924-03-03,5,988,Wales,True
895,Guernsey,1924-04-21,1,897,Jersey,False
895,Guernsey,1924-04-21,3,999,Alderney,True
895,Guernsey,1924-04-21,5,1066,Alderney,True
1036,Uruguay,1925-07-14,1,1037,Paraguay,False
1036,Uruguay,1925-07-14,3,1041,Paraguay,True
1036,Uruguay,1925-07-14,5,1142,Chile,True
1081,England,1926-03-01,1,1089,Scotland,False
1081,England,1926-03-01,3,1144,Northern Ireland,False
1081,England,1926-03-01,5,1169,Scotland,True
1223,England,1927-10-22,1,1241,Wales,False
1223,England,1927-10-22,3,1275,France,True
1223,England,1927-10-22,5,1331,Northern Ireland,True
1241,England,1927-11-28,1,1254,Scotland,False
1241,England,1927-11-28,3,1276,Belgium,True
1241,England,1927-11-28,5,1339,Wales,True
1249,Scotland,1928-02-25,1,1254,England,True
1249,Scotland,1928-02-25,3,1344,Northern Ireland,True
1249,Scotland,1928-02-25,5,1373,Norway,True
1313,Uruguay,1928-08-15,1,1315,Paraguay,False
1313,Uruguay,1928-08-15,3,1323,Argentina,False
1313,Uruguay,1928-08-15,5,1382,Argentina,False
1384,Denmark,1929-06-23,1,1406,Finland,True
1384,Denmark,1929-06-23,3,1486,Sweden,True
1384,Denmark,1929-06-23,5,1521,Norway,False
1577,England,1931-05-14,1,1579,Belgium,True
1577,England,1931-05-14,3,1632,Wales,True
1577,England,1931-05-14,5,1653,Scotland,True
1589,Denmark,1931-06-14,1,1595,Sweden,False
1589,Denmark,1931-06-14,3,1624,Finland,False
1589,Denmark,1931-06-14,5,1687,Sweden,True
1624,Denmark,1931-10-11,1,1680,Belgium,False
1624,Denmark,1931-10-11,3,1708,Finland,False
1624,Denmark,1931-10-11,5,1772,Norway,False
1659,Czechoslovakia,1932-04-17,1,1675,Austria,False
1659,Czechoslovakia,1932-04-17,3,1712,Hungary,False
1659,Czechoslovakia,1932-04-17,5,1723,Italy,True
1722,Scotland,1932-10-26,1,1746,England,True
1722,Scotland,1932-10-26,3,1801,Wales,False
1722,Scotland,1932-10-26,5,1856,England,False
1750,Austria,1933-04-09,1,1753,Hungary,False
1750,Austria,1933-04-09,3,1795,Czechoslovakia,False
1750,Austria,1933-04-09,5,1823,Scotland,False
1752,Spain,1933-04-23,1,1754,Yugoslavia,False
1752,Spain,1933-04-23,3,1833,Catalonia,True
1752,Spain,1933-04-23,5,1845,Portugal,True
1765,Poland,1933-06-04,1,1793,Yugoslavia,True
1765,Poland,1933-06-04,3,1806,Czechoslovakia,False
1765,Poland,1933-06-04,5,1874,Denmark,False
1794,Scotland,1933-09-16,1,1801,Wales,False
1794,Scotland,1933-09-16,3,1856,England,False
1794,Scotland,1933-09-16,5,1932,Wales,True
1820,England,1933-11-15,1,1826,France,True
1820,England,1933-11-15,3,1865,Hungary,False
1820,England,1933-11-15,5,1922,Wales,True
2053,Sweden,1935-11-17,1,2097,Denmark,False
2053,Sweden,1935-11-17,3,2105,Norway,True
2053,Sweden,1935-11-17,5,2122,Finland,True
2066,England,1936-02-05,1,2078,Scotland,False
2066,England,1936-02-05,3,2087,Belgium,False
2066,England,1936-02-05,5,2136,Northern Ireland,True
2087,England,1936-05-09,1,2129,Wales,False
2087,England,1936-05-09,3,2137,Hungary,True
2087,England,1936-05-09,5,2188,Norway,True
2116,Norway,1936-09-06,1,2119,Denmark,False
2116,Norway,1936-09-06,3,2188,England,False
2116,Norway,1936-09-06,5,2204,Denmark,False
2138,Scotland,1936-12-02,1,2175,England,True
2138,Scotland,1936-12-02,3,2247,Wales,False
2138,Scotland,1936-12-02,5,2263,Czechoslovakia,True
2153,Uruguay,1937-01-10,1,2158,Brazil,False
2153,Uruguay,1937-01-10,3,2235,Argentina,False
2153,Uruguay,1937-01-10,5,2348,Argentina,False
2259,Spain,1937-11-28,1,2272,Portugal,False
2259,Spain,1937-11-28,3,2583,Portugal,True
2259,Spain,1937-11-28,5,2641,France,True
2271,Israel,1938-01-22,1,2285,Greece,False
2271,Israel,1938-01-22,3,3149,United States,False
2271,Israel,1938-01-22,5,3282,Yugoslavia,False
2320,England,1938-05-21,1,2324,France,True
2320,England,1938-05-21,3,2409,Norway,True
2320,England,1938-05-21,5,2446,Scotland,True
2360,Trinidad and Tobago,1938-07-16,1,2361,Suriname,False
2360,Trinidad and Tobago,1938-07-16,3,2643,Barbados,False
2360,Trinidad and Tobago,1938-07-16,5,2724,Guyana,False
2444,Germany,1939-03-26,1,2460,Republic of Ireland,False
2444,Germany,1939-03-26,3,2475,Denmark,True
2444,Germany,1939-03-26,5,2486,Slovakia,False
2487,China,1939-09-02,1,2536,Japan,False
2487,China,1939-09-02,3,3185,South Korea,True
2487,China,1939-09-02,5,3652,Silesia,False
2500,Italy,1939-11-12,1,2502,Germany,False
2500,Italy,1939-11-12,3,2526,Romania,True
2500,Italy,1939-11-12,5,2560,Hungary,False
2515,Argentina,1940-03-10,1,2517,Brazil,True
2515,Argentina,1940-03-10,3,2542,Uruguay,True
2515,Argentina,1940-03-10,5,2563,Chile,True
2522,Netherlands,1940-03-31,1,2528,Belgium,True
2522,Netherlands,1940-03-31,3,2846,Belgium,True
2522,Netherlands,1940-03-31,5,2892,England,False
2527,Germany,1940-04-14,1,2532,Italy,False
2527,Germany,1940-04-14,3,2544,Finland,True
2527,Germany,1940-04-14,5,2552,Hungary,False
2577,Uganda,1941-02-22,1,2652,Kenya,False
2577,Uganda,1941-02-22,3,2734,Kenya,False
2577,Uganda,1941-02-22,5,2762,Kenya,True
2635,Germany,1942-02-01,1,2644,Spain,False
2635,Germany,1942-02-01,3,2653,Bulgaria,True
2635,Germany,1942-02-01,5,2663,Sweden,False
2682,Argentina,1943-07-11,1,2736,Paraguay,True
2682,Argentina,1943-07-11,3,2739,Bolivia,True
2682,Argentina,1943-07-11,5,2747,Colombia,True
2695,Costa Rica,1943-12-07,1,2696,El Salvador,False
2695,Costa Rica,1943-12-07,3,2703,Guatemala,False
2695,Costa Rica,1943-12-07,5,2822,Nicaragua,True
2703,Costa Rica,1943-12-16,1,2705,El Salvador,True
2703,Costa Rica,1943-12-16,3,2823,Panama,True
2703,Costa Rica,1943-12-16,5,2829,Guatemala,False
2716,Curaçao,1944-07-29,1,2717,Aruba,False
2716,Curaçao,1944-07-29,3,2720,Aruba,True
2716,Curaçao,1944-07-29,5,2722,Aruba,True
2768,Latvia,1945-06-30,1,2999,Lithuania,True
2768,Latvia,1945-06-30,3,3148,Lithuania,False
2768,Latvia,1945-06-30,5,3312,Estonia,True
2770,Argentina,1945-07-07,1,2771,Paraguay,True
2770,Argentina,1945-07-07,3,2774,Uruguay,True
2770,Argentina,1945-07-07,5,2799,Brazil,False
2829,Costa Rica,1946-03-10,1,2833,El Salvador,True
2829,Costa Rica,1946-03-10,3,2901,Venezuela,True
2829,Costa Rica,1946-03-10,5,2909,Colombia,False
2947,Scotland,1947-05-18,1,2948,Luxembourg,True
2947,Scotland,1947-05-18,3,3021,Wales,False
2947,Scotland,1947-05-18,5,3094,Belgium,True
3000,Scotland,1947-10-04,1,3021,Wales,False
3000,Scotland,1947-10-04,3,3094,Belgium,True
3000,Scotland,1947-10-04,5,3101,France,False
3015,Trinidad and Tobago,1947-11-05,1,3017,Jamaica,True
3015,Trinidad and Tobago,1947-11-05,3,3022,Guyana,True
3015,Trinidad and Tobago,1947-11-05,5,3073,Suriname,False
3171,Hungary,1948-11-07,1,3204,Czechoslovakia,False
3171,Hungary,1948-11-07,3,3261,Italy,False
3171,Hungary,1948-11-07,5,3274,Poland,True
3201,England,1949-04-09,1,3247,Sweden,False
3201,England,1949-04-09,3,3255,France,True
3201,England,1949-04-09,5,3307,Wales,True
3209,Uruguay,1949-04-17,1,3212,Paraguay,True
3209,Uruguay,1949-04-17,3,3228,Brazil,False
3209,Uruguay,1949-04-17,5,3239,Chile,False
3283,Czechoslovakia,1949-09-04,1,3295,Austria,False
3283,Czechoslovakia,1949-09-04,3,3322,France,False
3283,Czechoslovakia,1949-09-04,5,3377,Romania,False
3288,Denmark,1949-09-11,1,3311,Sweden,True
3288,Denmark,1949-09-11,3,3379,Yugoslavia,False
3288,Denmark,1949-09-11,5,3396,Norway,False
3293,England,1949-09-21,1,3307,Wales,True
3293,England,1949-09-21,3,3330,Italy,True
3293,England,1949-09-21,5,3371,Portugal,True
3401,England,1950-06-29,1,3407,Spain,False
3401,England,1950-06-29,3,3459,Wales,True
3401,England,1950-06-29,5,3495,Scotland,False
3430,Yugoslavia,1950-09-07,1,3432,Denmark,True
3430,Yugoslavia,1950-09-07,3,3454,Norway,True
3430,Yugoslavia,1950-09-07,5,3473,France,False
3522,Germany,1951-06-17,1,3541,Austria,True
3522,Germany,1951-06-17,3,3568,Turkey,True
3522,Germany,1951-06-17,5,3611,Luxembourg,True
3540,New Caledonia,1951-09-22,1,3542,New Zealand,True
3540,New Caledonia,1951-09-22,3,3818,Tahiti,True
3540,New Caledonia,1951-09-22,5,3824,Tahiti,True
3547,New Caledonia,1951-09-30,1,3818,Tahiti,True
3547,New Caledonia,1951-09-30,3,3824,Tahiti,True
3547,New Caledonia,1951-09-30,5,4556,Tahiti,False
3548,Sweden,1951-09-30,1,3559,Denmark,False
3548,Sweden,1951-09-30,3,3564,Turkey,False
3548,Sweden,1951-09-30,5,3619,Netherlands,False
3566,Scotland,1951-11-14,1,3601,England,False
3566,Scotland,1951-11-14,3,3626,Denmark,True
3566,Scotland,1951-11-14,5,3675,Wales,True
3628,Hungary,1952-05-27,1,3637,Poland,True
3628,Hungary,1952-05-27,3,3660,Switzerland,True
3628,Hungary,1952-05-27,5,3760,Austria,False
3634,Norway,1952-06-10,1,3641,Yugoslavia,False
3634,Norway,1952-06-10,3,3672,Sweden,False
3634,Norway,1952-06-10,5,3788,Saarland,False
3636,Sweden,1952-06-13,1,3639,Denmark,True
3636,Sweden,1952-06-13,3,3672,Norway,True
3636,Sweden,1952-06-13,5,3764,Scotland,True
3699,Peru,1953-02-22,1,3702,Ecuador,True
3699,Peru,1953-02-22,3,3708,Paraguay,False
3699,Peru,1953-02-22,5,3745,Uruguay,False
3934,Yugoslavia,1954-05-09,1,3936,England,True
3934,Yugoslavia,1954-05-09,3,3965,Brazil,False
3934,Yugoslavia,1954-05-09,5,4005,Wales,True
3989,Suriname,1954-08-01,1,3990,Netherlands,False
3989,Suriname,1954-08-01,3,4187,Trinidad and Tobago,True
3989,Suriname,1954-08-01,5,4339,Guyana,False
4018,Germany,1954-10-16,1,4035,England,False
4018,Germany,1954-10-16,3,4066,Italy,False
4018,Germany,1954-10-16,5,4127,Russia,False
4089,England,1955-05-22,1,4154,Denmark,True
4089,England,1955-05-22,3,4170,Northern Ireland,True
4089,England,1955-05-22,5,4251,Scotland,False
4111,Mauritius,1955-07-14,1,4293,Réunion,True
4111,Mauritius,1955-07-14,3,4443,Réunion,True
4111,Mauritius,1955-07-14,5,4587,Réunion,True
4202,Brazil,1956-01-24,1,4204,Paraguay,False
4202,Brazil,1956-01-24,3,4208,Argentina,True
4202,Brazil,1956-01-24,5,4221,Chile,True
4216,Hungary,1956-02-19,1,4220,Lebanon,True
4216,Hungary,1956-02-19,3,4271,Czechoslovakia,False
4216,Hungary,1956-02-19,5,4279,Portugal,False
4235,Germany,1956-03-14,1,4274,England,False
4235,Germany,1956-03-14,3,4294,Sweden,False
4235,Germany,1956-03-14,5,4376,Switzerland,False
4255,Yugoslavia,1956-04-22,1,4259,Hungary,False
4255,Yugoslavia,1956-04-22,3,4310,China,True
4255,Yugoslavia,1956-04-22,5,4335,Hungary,False
4271,Hungary,1956-05-20,1,4277,Belgium,False
4271,Hungary,1956-05-20,3,4302,Poland,True
4271,Hungary,1956-05-20,5,4338,Russia,True
4277,Hungary,1956-06-03,1,4279,Portugal,False
4277,Hungary,1956-06-03,3,4335,Yugoslavia,True
4277,Hungary,1956-06-03,5,4349,France,True
4306,Brazil,1956-08-05,1,4308,Czechoslovakia,True
4306,Brazil,1956-08-05,3,4421,Ecuador,True
4306,Brazil,1956-08-05,5,4428,Uruguay,False
4376,Germany,1956-11-21,1,4379,Republic of Ireland,False
4376,Germany,1956-11-21,3,4411,Austria,True
4376,Germany,1956-11-21,5,4465,Scotland,False
4418,Uruguay,1957-03-17,1,4419,Argentina,False
4418,Uruguay,1957-03-17,3,4428,Brazil,True
4418,Uruguay,1957-03-17,5,4467,Argentina,False
4437,Argentina,1957-04-06,1,4439,Peru,True
4437,Argentina,1957-04-06,3,4479,Uruguay,False
4437,Argentina,1957-04-06,5,4510,Brazil,False
4483,Hungary,1957-06-12,1,4489,Sweden,False
4483,Hungary,1957-06-12,3,4557,Bulgaria,True
4483,Hungary,1957-06-12,5,4576,France,True
4484,Paraguay,1957-06-13,1,4494,Colombia,True
4484,Paraguay,1957-06-13,3,4507,Colombia,True
4484,Paraguay,1957-06-13,5,4517,Uruguay,False
4564,Hungary,1957-09-22,1,4576,France,True
4564,Hungary,1957-09-22,3,4611,Germany,False
