date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,date_parsed,_pair_key
1916-08-15,Argentina,Uruguay,3,1,Copa Newton,Avellaneda,Argentina,False,1916-08-15,"('1916-08-15', 'Argentina', 'Uruguay')"
1916-08-15,Uruguay,Argentina,1,2,Copa Lipton,Montevideo,Uruguay,False,1916-08-15,"('1916-08-15', 'Argentina', 'Uruguay')"
1916-10-01,Argentina,Uruguay,7,2,Friendly,Avellaneda,Argentina,False,1916-10-01,"('1916-10-01', 'Argentina', 'Uruguay')"
1916-10-01,Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,1916-10-01,"('1916-10-01', 'Argentina', 'Uruguay')"
1921-05-30,Japan,Philippines,0,3,Friendly,Shanghai,China,True,1921-05-30,"('1921-05-30', 'Japan', 'Philippines')"
1921-05-30,Philippines,Japan,3,1,Far Eastern Championship Games,Shanghai,China,True,1921-05-30,"('1921-05-30', 'Japan', 'Philippines')"
1924-05-25,Argentina,Uruguay,4,0,Copa Newton,Buenos Aires,Argentina,False,1924-05-25,"('1924-05-25', 'Argentina', 'Uruguay')"
1924-05-25,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False,1924-05-25,"('1924-05-25', 'Argentina', 'Uruguay')"
1925-05-20,China,Japan,2,0,Friendly,Manila,Philippines,True,1925-05-20,"('1925-05-20', 'China', 'Japan')"
1925-05-20,Japan,China,0,2,Far Eastern Championship Games,Manila,Philippines,True,1925-05-20,"('1925-05-20', 'China', 'Japan')"
1929-06-16,Argentina,Uruguay,2,0,Friendly,Buenos Aires,Argentina,False,1929-06-16,"('1929-06-16', 'Argentina', 'Uruguay')"
1929-06-16,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,False,1929-06-16,"('1929-06-16', 'Argentina', 'Uruguay')"
1969-02-02,Uganda,Cameroon,2,1,African Cup of Nations qualification,Kampala,Uganda,False,1969-02-02,"('1969-02-02', 'Cameroon', 'Uganda')"
1969-02-02,Cameroon,Uganda,2,0,African Cup of Nations qualification,Yaoundé,Cameroon,False,1969-02-02,"('1969-02-02', 'Cameroon', 'Uganda')"
1969-06-29,Zambia,Cameroon,2,2,African Cup of Nations qualification,Ndola,Zambia,False,1969-06-29,"('1969-06-29', 'Cameroon', 'Zambia')"
1969-06-29,Cameroon,Zambia,2,1,African Cup of Nations qualification,Yaoundé,Cameroon,False,1969-06-29,"('1969-06-29', 'Cameroon', 'Zambia')"
1971-10-06,Bermuda,Mexico,0,2,CONCACAF Championship qualification,Hamilton,Bermuda,False,1971-10-06,"('1971-10-06', 'Bermuda', 'Mexico')"
1971-10-06,Mexico,Bermuda,4,0,CONCACAF Championship qualification,Mexico City,Mexico,False,1971-10-06,"('1971-10-06', 'Bermuda', 'Mexico')"
1973-04-08,Ethiopia,Tanzania,2,1,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,1973-04-08,"('1973-04-08', 'Ethiopia', 'Tanzania')"
1973-04-08,Tanzania,Ethiopia,3,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False,1973-04-08,"('1973-04-08', 'Ethiopia', 'Tanzania')"
1973-06-05,Zambia,Madagascar,3,1,African Cup of Nations qualification,Ndola,Zambia,False,1973-06-05,"('1973-06-05', 'Madagascar', 'Zambia')"
1973-06-05,Madagascar,Zambia,2,1,African Cup of Nations qualification,Antananarivo,Madagascar,False,1973-06-05,"('1973-06-05', 'Madagascar', 'Zambia')"
1973-07-15,Zambia,Nigeria,5,1,African Cup of Nations qualification,Lusaka,Zambia,False,1973-07-15,"('1973-07-15', 'Nigeria', 'Zambia')"
1973-07-15,Nigeria,Zambia,3,2,African Cup of Nations qualification,Lagos,Nigeria,False,1973-07-15,"('1973-07-15', 'Nigeria', 'Zambia')"
1974-02-17,Tahiti,New Caledonia,2,1,Friendly,Papeete,Tahiti,False,1974-02-17,"('1974-02-17', 'New Caledonia', 'Tahiti')"
1974-02-17,Tahiti,New Caledonia,1,2,Friendly,Papeete,Tahiti,False,1974-02-17,"('1974-02-17', 'New Caledonia', 'Tahiti')"
1975-03-22,Morocco,Senegal,4,0,African Cup of Nations qualification,Fez,Morocco,False,1975-03-22,"('1975-03-22', 'Morocco', 'Senegal')"
1975-03-22,Senegal,Morocco,2,1,African Cup of Nations qualification,Kaolack,Senegal,False,1975-03-22,"('1975-03-22', 'Morocco', 'Senegal')"
1975-03-23,Sudan,Kenya,1,0,African Cup of Nations qualification,Khartoum,Sudan,False,1975-03-23,"('1975-03-23', 'Kenya', 'Sudan')"
1975-03-23,Kenya,Sudan,0,2,African Cup of Nations qualification,Nairobi,Kenya,False,1975-03-23,"('1975-03-23', 'Kenya', 'Sudan')"
1979-10-22,Guadeloupe,Saint Vincent and the Grenadines,1,3,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False,1979-10-22,"('1979-10-22', 'Guadeloupe', 'Saint Vincent and the Grenadines')"
1979-10-22,Saint Vincent and the Grenadines,Guadeloupe,0,0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,1979-10-22,"('1979-10-22', 'Guadeloupe', 'Saint Vincent and the Grenadines')"
