Feature_Layer,N_Features,Val_Accuracy,Val_LogLoss,Val_NormRPS,Val_Brier,Val_ECE,Away_Recall,Draw_Recall,Home_Recall
F0_BaseM0,43,59.45,0.8807,0.1733,0.518,0.0089,59.28,1.25,87.66
F1_CleanIdentities,45,59.34,0.8807,0.1734,0.518,0.0095,58.96,0.8,87.85
F2_FIFARankings,47,59.36,0.8805,0.1733,0.5179,0.0086,59.67,1.2,87.26
F3_AdaptiveElo,51,59.22,0.8808,0.1733,0.5182,0.0093,59.61,1.12,87.04
F4_MultiScaleForm,70,59.3,0.8809,0.1732,0.518,0.0081,59.77,1.22,87.06
F5_OpponentAdjusted_DC,73,59.38,0.8811,0.1734,0.5182,0.0097,60.07,0.97,87.16
F6_H2H_Bayesian,75,59.29,0.8809,0.1733,0.518,0.0097,59.46,1.72,86.99
F7_SquadContinuity,77,59.36,0.8807,0.1733,0.518,0.0066,59.77,1.65,86.98
F8_PlayerOVRMask,79,59.38,0.881,0.1733,0.5181,0.0057,60.17,1.55,86.84
F9_ContextualStakes,83,59.2,0.8805,0.1734,0.5179,0.0111,59.79,1.35,86.78
