team_name,total_matches,home_matches,away_matches,first_match_date,last_match_date,has_historical_rename,standardized_identity
Abkhazia,33,23,10,2012-09-25,2019-06-08,False,Abkhazia
Afghanistan,147,50,97,1941-08-10,2026-06-10,False,Afghanistan
Albania,398,210,188,1946-08-22,2026-06-06,False,Albania
Alderney,135,48,87,1905-04-17,2022-04-23,False,Alderney
Algeria,621,355,266,1963-01-06,2026-07-02,False,Algeria
Ambazonia,6,0,6,2005-06-23,2007-06-07,False,Ambazonia
American Samoa,55,25,30,1983-08-20,2026-03-28,False,American Samoa
Andalusia,13,12,1,1923-01-14,2013-06-07,False,Andalusia
Andorra,229,115,114,1996-11-13,2026-06-07,False,Andorra
Angola,415,205,210,1976-02-08,2026-06-09,False,Angola
Anguilla,91,30,61,1985-11-05,2026-03-29,False,Anguilla
Antigua and Barbuda,231,130,101,1972-11-10,2025-11-18,False,Antigua and Barbuda
Arameans Suryoye,10,3,7,2008-07-09,2014-06-08,False,Arameans Suryoye
Argentina,1077,611,466,1902-07-20,2026-07-19,False,Argentina
Armenia,272,133,139,1979-07-21,2026-06-09,False,Armenia
Artsakh,11,7,4,2012-09-25,2019-06-08,False,Artsakh
Aruba,152,75,77,1924-04-06,2026-06-06,False,Aruba
Asturias,1,0,1,1923-02-25,1923-02-25,False,Asturias
Australia,585,328,257,1922-06-17,2026-07-03,False,Australia
Austria,864,462,402,1902-10-12,2026-07-02,False,Austria
Aymara,2,1,1,2022-06-18,2022-06-19,False,Aymara
Azerbaijan,310,152,158,1979-07-24,2026-06-09,False,Azerbaijan
Bahamas,67,35,32,1971-04-14,2026-03-29,False,Bahamas
Bahrain,584,351,233,1966-04-02,2026-06-05,False,Bahrain
Bangladesh,305,162,143,1973-07-27,2026-06-05,False,Bangladesh
Barawa,12,11,1,2016-08-25,2019-05-25,False,Barawa
Barbados,302,177,125,1929-04-20,2026-03-29,False,Barbados
Basque Country,64,35,29,1915-01-03,2025-11-15,False,Basque Country
Belarus,315,145,170,1928-08-17,2026-06-09,False,Belarus
Belgium,859,458,401,1904-05-01,2026-07-10,False,Belgium
Belize,121,55,66,1983-12-08,2026-03-30,False,Belize
Benin,325,162,163,1959-11-08,2026-06-09,False,Benin
Bermuda,198,112,86,1964-08-10,2026-06-06,False,Bermuda
Bhutan,110,35,75,1982-04-01,2026-06-04,False,Bhutan
Biafra,3,2,1,2022-05-22,2022-05-25,False,Biafra
Bolivia,534,270,264,1926-10-12,2026-06-10,False,Bolivia
Bonaire,44,19,25,2010-10-29,2026-06-06,False,Bonaire
Bosnia and Herzegovina,287,137,150,1995-11-30,2026-07-01,False,Bosnia and Herzegovina
Botswana,332,177,155,1968-07-13,2026-03-31,False,Botswana
Brazil,1064,618,446,1914-09-20,2026-07-05,False,Brazil
British Virgin Islands,123,50,73,1985-11-05,2026-06-06,False,British Virgin Islands
Brittany,12,9,3,1922-03-12,2013-05-28,False,Brittany
Brunei,137,53,84,1971-05-22,2025-11-18,False,Brunei
Bulgaria,736,326,410,1924-05-21,2026-06-05,False,Bulgaria
Burkina Faso,464,215,249,1960-04-14,2026-06-09,False,Burkina Faso
Burundi,218,98,120,1953-09-19,2026-05-26,False,Burundi
Cambodia,295,154,141,1954-11-01,2026-06-09,False,Cambodia
Cameroon,616,296,320,1953-09-24,2026-03-31,False,Cameroon
Canada,474,218,256,1885-11-28,2026-07-04,False,Canada
Canary Islands,4,4,0,1996-02-06,2007-12-29,False,Canary Islands
Canton Ticino,5,2,3,2023-06-17,2026-06-06,False,Canton Ticino
Cape Verde,239,123,116,1959-12-20,2026-07-03,True,Cabo Verde
Cascadia,7,2,5,2018-05-31,2019-05-25,False,Cascadia
Catalonia,48,39,9,1912-02-10,2019-03-25,False,Catalonia
Cayman Islands,119,72,47,1985-03-03,2026-06-06,False,Cayman Islands
Central African Republic,138,70,68,1960-04-14,2026-06-09,True,CAR
Central Spain,2,1,1,1922-11-19,1923-11-25,False,Central Spain
Chad,138,68,70,1961-12-25,2025-11-17,False,Chad
Chagos Islands,16,6,10,2011-12-04,2019-12-29,False,Chagos Islands
Chameria,7,2,5,2019-06-02,2023-07-01,False,Chameria
Chechnya,3,1,2,2005-05-03,2006-02-18,False,Chechnya
Chile,835,426,409,1910-05-27,2026-06-09,False,Chile
China,702,397,305,1913-02-04,2026-06-09,False,China
Cilento,1,0,1,2011-12-29,2011-12-29,False,Cilento
Colombia,643,309,334,1938-02-10,2026-07-07,False,Colombia
Comoros,151,66,85,1979-08-26,2026-06-09,False,Comoros
Congo,406,203,203,1960-04-14,2025-10-14,False,Congo
Cook Islands,53,21,32,1971-09-11,2024-09-06,False,Cook Islands
Corsica,9,8,1,1967-02-28,2017-05-26,False,Corsica
Costa Rica,724,363,361,1921-09-14,2026-06-10,False,Costa Rica
County of Nice,9,4,5,2014-06-02,2015-06-21,False,County of Nice
Crimea,5,0,5,2006-11-19,2006-11-25,False,Crimea
Croatia,400,193,207,1940-04-02,2026-07-02,False,Croatia
Cuba,397,163,234,1930-03-16,2026-03-29,False,Cuba
Curaçao,388,187,201,1924-04-06,2026-06-25,True,Curacao
Cyprus,426,234,192,1949-07-30,2026-06-07,False,Cyprus
Czech Republic,363,178,185,1994-02-23,2026-06-24,False,Czech Republic
Czechoslovakia,520,241,279,1903-04-05,1993-11-17,True,Czech Republic (historical predecessor)
DR Congo,528,223,305,1948-05-25,2026-07-01,False,DR Congo
Darfur,7,4,3,2012-06-04,2014-06-07,False,Darfur
Denmark,874,447,427,1908-10-22,2026-06-07,False,Denmark
Djibouti,111,51,60,1947-12-05,2025-11-26,False,Djibouti
Dominica,215,114,101,1932-03-23,2026-03-30,False,Dominica
Dominican Republic,159,88,71,1949-05-14,2026-06-03,False,Dominican Republic
Donetsk PR,6,2,4,2015-05-14,2017-08-31,False,Donetsk PR
Délvidék,2,2,0,2016-08-01,2016-08-03,False,Délvidék
East Turkestan,5,0,5,2019-10-19,2025-07-04,False,East Turkestan
Ecuador,595,272,323,1938-08-08,2026-06-30,False,Ecuador
Egypt,761,445,316,1920-08-28,2026-07-07,False,Egypt
El Salvador,614,336,278,1921-09-14,2026-06-06,False,El Salvador
Elba Island,2,2,0,2022-04-22,2022-07-16,False,Elba Island
Ellan Vannin,22,12,10,2014-04-06,2018-06-03,False,Ellan Vannin
England,1098,554,544,1872-11-30,2026-07-18,False,England
Equatorial Guinea,179,91,88,1975-05-23,2026-06-09,False,Equatorial Guinea
Eritrea,71,26,45,1992-06-26,2019-09-10,False,Eritrea
Estonia,550,268,282,1920-10-17,2026-06-09,False,Estonia
Eswatini,274,132,142,1968-05-01,2025-10-13,False,Eswatini
Ethiopia,409,240,169,1947-12-05,2026-06-09,False,Ethiopia
Falkland Islands,33,13,20,2001-07-08,2023-07-13,False,Falkland Islands
Faroe Islands,287,140,147,1972-07-12,2026-06-09,False,Faroe Islands
Felvidék,12,3,9,2015-05-30,2017-06-09,False,Felvidék
Fiji,268,167,101,1951-10-07,2026-06-06,False,Fiji
Finland,818,362,456,1911-10-22,2026-06-05,False,Finland
France,943,544,399,1904-05-01,2026-07-18,False,France
Franconia,3,1,2,2014-05-29,2019-06-25,False,Franconia
French Guiana,179,81,98,1936-01-01,2024-11-19,False,French Guiana
Frøya,37,15,22,1997-06-29,2025-07-17,False,Frøya
Gabon,405,204,201,1960-04-14,2026-03-30,False,Gabon
Galicia,12,9,3,1922-11-19,2024-05-21,False,Galicia
Gambia,266,147,119,1953-02-09,2026-05-29,False,Gambia
Georgia,307,145,162,1979-07-22,2026-06-05,False,Georgia
German DR,298,132,166,1952-05-18,1990-09-12,False,German DR
Germany,1035,557,478,1908-04-05,2026-06-29,False,Germany
Ghana,675,315,360,1950-05-28,2026-07-03,False,Ghana
Gibraltar,159,89,70,1993-07-04,2026-06-06,False,Gibraltar
Gotland,30,20,10,1999-06-27,2017-06-29,False,Gotland
Gozo,14,7,7,2009-06-22,2025-07-17,False,Gozo
Greece,633,321,312,1919-06-25,2026-06-07,False,Greece
Greenland,80,33,47,1980-07-02,2026-06-06,False,Greenland
Grenada,260,131,129,1938-08-17,2026-05-16,False,Grenada
Guadeloupe,271,142,129,1934-03-13,2025-06-24,False,Guadeloupe
Guam,123,51,72,1975-08-02,2026-06-06,False,Guam
Guatemala,554,287,267,1921-09-18,2026-06-07,False,Guatemala
Guernsey,240,132,108,1905-04-17,2023-07-13,False,Guernsey
Guinea,539,233,306,1962-05-09,2026-06-04,False,Guinea
Guinea-Bissau,190,93,97,1953-06-02,2026-03-31,False,Guinea-Bissau
Guyana,313,159,154,1905-07-21,2026-03-30,False,Guyana
Găgăuzia,3,3,0,2006-11-19,2006-11-21,False,Găgăuzia
Haiti,513,258,255,1925-03-22,2026-06-24,False,Haiti
Hitra,23,10,13,1997-06-29,2025-07-17,False,Hitra
Hmong,3,1,2,2023-08-04,2023-08-08,False,Hmong
Honduras,620,313,307,1927-11-07,2026-06-06,False,Honduras
Hong Kong,447,268,179,1953-04-05,2026-06-09,False,Hong Kong
Hungary,1006,499,507,1902-10-12,2026-06-09,False,Hungary
Iceland,522,236,286,1946-07-17,2026-06-09,False,Iceland
India,534,309,225,1938-09-03,2026-06-09,False,India
Indonesia,728,434,294,1934-05-13,2026-06-09,False,Indonesia
Iran,615,350,265,1941-08-23,2026-06-26,False,Iran
