feature,description,source,formula,pre_match_available,potential_leakage,reason,category
f1_tanh_elo_diff,Engineered signal for f1_tanh_elo_diff,Chronological Match Buffer / Adaptive State,Transformed f1_tanh_elo_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F1
f1_strength_asymmetry,Engineered signal for f1_strength_asymmetry,Chronological Match Buffer / Adaptive State,Transformed f1_strength_asymmetry function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F1
f1_elo_percentile_diff,Engineered signal for f1_elo_percentile_diff,Chronological Match Buffer / Adaptive State,Transformed f1_elo_percentile_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F1
f1_elo_min_gap,Engineered signal for f1_elo_min_gap,Chronological Match Buffer / Adaptive State,Transformed f1_elo_min_gap function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F1
f2_home_venue_win_rate,Engineered signal for f2_home_venue_win_rate,Chronological Match Buffer / Adaptive State,Transformed f2_home_venue_win_rate function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f2_away_venue_win_rate,Engineered signal for f2_away_venue_win_rate,Chronological Match Buffer / Adaptive State,Transformed f2_away_venue_win_rate function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f2_venue_win_rate_diff,Engineered signal for f2_venue_win_rate_diff,Chronological Match Buffer / Adaptive State,Transformed f2_venue_win_rate_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f2_home_scoring_streak,Engineered signal for f2_home_scoring_streak,Chronological Match Buffer / Adaptive State,Transformed f2_home_scoring_streak function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f2_away_scoring_streak,Engineered signal for f2_away_scoring_streak,Chronological Match Buffer / Adaptive State,Transformed f2_away_scoring_streak function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f2_home_unbeaten_streak,Engineered signal for f2_home_unbeaten_streak,Chronological Match Buffer / Adaptive State,Transformed f2_home_unbeaten_streak function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f2_away_unbeaten_streak,Engineered signal for f2_away_unbeaten_streak,Chronological Match Buffer / Adaptive State,Transformed f2_away_unbeaten_streak function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f2_streak_diff,Engineered signal for f2_streak_diff,Chronological Match Buffer / Adaptive State,Transformed f2_streak_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F2
f3_opp_adj_gd_5_diff,Engineered signal for f3_opp_adj_gd_5_diff,Chronological Match Buffer / Adaptive State,Transformed f3_opp_adj_gd_5_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F3
f3_opp_adj_gf_ratio,Engineered signal for f3_opp_adj_gf_ratio,Chronological Match Buffer / Adaptive State,Transformed f3_opp_adj_gf_ratio function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F3
f3_goal_efficiency_diff,Engineered signal for f3_goal_efficiency_diff,Chronological Match Buffer / Adaptive State,Transformed f3_goal_efficiency_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F3
f4_att_h_vs_def_a,Engineered signal for f4_att_h_vs_def_a,Chronological Match Buffer / Adaptive State,Transformed f4_att_h_vs_def_a function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F4
f4_att_a_vs_def_h,Engineered signal for f4_att_a_vs_def_h,Chronological Match Buffer / Adaptive State,Transformed f4_att_a_vs_def_h function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F4
f4_style_mismatch_net,Engineered signal for f4_style_mismatch_net,Chronological Match Buffer / Adaptive State,Transformed f4_style_mismatch_net function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F4
f4_h2h_draw_sq,Engineered signal for f4_h2h_draw_sq,Chronological Match Buffer / Adaptive State,Transformed f4_h2h_draw_sq function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F4
f5_home_goal_var,Engineered signal for f5_home_goal_var,Chronological Match Buffer / Adaptive State,Transformed f5_home_goal_var function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
