feature_name,category,source,temporal_availability,leakage_risk
elo_home,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
elo_away,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
elo_diff,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
elo_raw_diff,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
elo_ratio,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
elo_diff_abs,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
elo_diff_sq,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
expected_home_score,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
expected_away_score,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
home_consistency,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
away_consistency,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
home_surprise,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
away_surprise,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
home_cap_pts,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
away_cap_pts,Elo & Team Strength,Adaptive Elo Tracker,Strictly Pre-Match,None (Verified)
dc_xg_home,Poisson / Goal Intensities,Dixon-Coles Intensities,Strictly Pre-Match,None (Verified)
dc_xg_away,Poisson / Goal Intensities,Dixon-Coles Intensities,Strictly Pre-Match,None (Verified)
dc_xg_diff,Poisson / Goal Intensities,Dixon-Coles Intensities,Strictly Pre-Match,None (Verified)
dc_xg_total,Poisson / Goal Intensities,Dixon-Coles Intensities,Strictly Pre-Match,None (Verified)
dc_p_home,Poisson / Goal Intensities,Dixon-Coles Intensities,Strictly Pre-Match,None (Verified)
dc_p_draw,Poisson / Goal Intensities,Dixon-Coles Intensities,Strictly Pre-Match,None (Verified)
dc_p_away,Poisson / Goal Intensities,Dixon-Coles Intensities,Strictly Pre-Match,None (Verified)
is_neutral,Match Context,Match Metadata & Schedule,Strictly Pre-Match,None (Verified)
is_friendly,Match Context,Match Metadata & Schedule,Strictly Pre-Match,None (Verified)
is_world_cup,Match Context,Match Metadata & Schedule,Strictly Pre-Match,None (Verified)
is_euro,Match Context,Match Metadata & Schedule,Strictly Pre-Match,None (Verified)
home_rest_days,Match Context,Match Metadata & Schedule,Strictly Pre-Match,None (Verified)
away_rest_days,Match Context,Match Metadata & Schedule,Strictly Pre-Match,None (Verified)
rest_diff,Match Context,Match Metadata & Schedule,Strictly Pre-Match,None (Verified)
home_gf_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ga_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gd_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_win_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_draw_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
