feature_name,val_accuracy_pct,val_log_loss,val_normalized_rps,delta_accuracy_pct,delta_log_loss,delta_rps,n_folds_improved,stability_status
f6_month_sin,59.29,0.8809,0.174,0.18,-0.0001,0.0,4,STRONG
f1_elo_min_gap,59.27,0.8807,0.1739,0.16,0.0001,0.0001,3,STRONG
f6_away_congestion_14d,59.27,0.881,0.174,0.16,-0.0002,0.0,4,STRONG
f2_away_unbeaten_streak,59.26,0.8805,0.1739,0.15,0.0003,0.0001,3,STRONG
f4_att_a_vs_def_h,59.24,0.8807,0.1739,0.13,0.0001,0.0001,3,STRONG
f5_home_fts_rate,59.24,0.8806,0.1739,0.13,0.0002,0.0001,4,STRONG
f4_att_h_vs_def_a,59.24,0.8808,0.174,0.13,0.0,0.0,3,STRONG
f5_home_goal_var,59.24,0.8804,0.1739,0.13,0.0004,0.0001,4,STRONG
f5_goal_var_diff,59.23,0.881,0.174,0.12,-0.0002,0.0,3,STRONG
f7_squad_experience_proxy,59.23,0.8808,0.174,0.12,0.0,0.0,3,STRONG
f2_streak_diff,59.23,0.8809,0.174,0.12,-0.0001,0.0,3,STRONG
f6_month_cos,59.22,0.8809,0.174,0.11,-0.0001,0.0,2,WEAK
f4_h2h_draw_sq,59.22,0.8806,0.1739,0.11,0.0002,0.0001,3,STRONG
f3_opp_adj_gd_5_diff,59.21,0.8808,0.174,0.1,0.0,0.0,3,STRONG
f1_tanh_elo_diff,59.2,0.8809,0.174,0.09,-0.0001,0.0,2,WEAK
f5_away_goal_var,59.2,0.8809,0.174,0.09,-0.0001,0.0,3,STRONG
f3_opp_adj_gf_ratio,59.2,0.8805,0.1739,0.09,0.0003,0.0001,3,STRONG
f2_venue_win_rate_diff,59.19,0.8805,0.1739,0.08,0.0003,0.0001,2,WEAK
f5_blowout_potential,59.19,0.8806,0.174,0.08,0.0002,0.0,3,STRONG
f1_elo_percentile_diff,59.18,0.8807,0.1739,0.07,0.0001,0.0001,3,STRONG
f5_away_clean_sheet_rate,59.18,0.8809,0.1739,0.07,-0.0001,0.0001,3,STRONG
f5_home_clean_sheet_rate,59.18,0.8806,0.1739,0.07,0.0002,0.0001,2,WEAK
f5_clean_sheet_diff,59.17,0.8809,0.174,0.06,-0.0001,0.0,2,WEAK
f6_home_congestion_14d,59.16,0.8811,0.174,0.05,-0.0003,0.0,2,WEAK
f2_home_scoring_streak,59.16,0.8808,0.174,0.05,0.0,0.0,2,WEAK
f5_away_fts_rate,59.16,0.8807,0.174,0.05,0.0001,0.0,2,WEAK
f3_goal_efficiency_diff,59.15,0.8808,0.174,0.04,0.0,0.0,3,STRONG
f1_strength_asymmetry,59.14,0.8806,0.1739,0.03,0.0002,0.0001,2,WEAK
f2_home_unbeaten_streak,59.13,0.8806,0.1739,0.02,0.0002,0.0001,3,STRONG
f6_competition_weight,59.13,0.8807,0.1739,0.02,0.0001,0.0001,2,WEAK
f6_congestion_diff,59.12,0.8809,0.174,0.01,-0.0001,0.0,2,WEAK
f2_away_scoring_streak,59.12,0.8808,0.1739,0.01,0.0,0.0001,2,WEAK
f7_age_balance_proxy,59.11,0.8813,0.1741,0.0,-0.0005,-0.0001,3,STRONG
f4_style_mismatch_net,59.1,0.8809,0.174,-0.01,-0.0001,0.0,2,WEAK
f2_home_venue_win_rate,59.09,0.8807,0.1739,-0.02,0.0001,0.0001,2,WEAK
f2_away_venue_win_rate,59.08,0.8804,0.1739,-0.03,0.0004,0.0001,3,WEAK
