date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,winner_pred,category,champ_p_away,champ_p_draw,champ_p_home,winner_p_away,winner_p_draw,winner_p_home
2016-05-30,United Koreans in Japan,Székely Land,1,0,CONIFA World Football Cup,Sukhumi,Georgia,True,0,0,0,2,B_Regression_Candidate_Wrong,0.45064926583099657,0.1438117328783059,0.40553900129069753,0.39334744466604527,0.136982918015855,0.4696696373180999
2016-08-01,Délvidék,Székely Land,3,1,Hungary Heritage Cup,Szarvas,Hungary,True,0,0,0,2,B_Regression_Candidate_Wrong,0.44824306564537747,0.15378598925679712,0.3979709450978253,0.4143586200606934,0.14380622747710695,0.44183515246219957
2016-10-04,Togo,Uganda,1,0,Friendly,Lomé,Togo,False,0,0,0,1,B_Regression_Candidate_Wrong,0.3713801607383698,0.3602316589871216,0.26838818027450856,0.37071803304962603,0.3797840433734174,0.2494979235769567
2017-01-29,Egypt,Morocco,1,0,African Cup of Nations,Port-Gentil,Gabon,True,0,0,0,1,B_Regression_Candidate_Wrong,0.4006291510944301,0.38096533948787714,0.2184055094176928,0.37643490958721065,0.39818566576323394,0.22537942464955546
2017-02-02,Cameroon,Ghana,2,0,African Cup of Nations,Franceville,Gabon,True,0,0,0,1,B_Regression_Candidate_Wrong,0.34275471183821815,0.32372192117372456,0.3335233669880572,0.3308597481281432,0.3377720866938354,0.3313681651780213
2017-03-23,Afghanistan,Singapore,2,1,Friendly,Al Wakrah,Qatar,True,0,0,0,1,B_Regression_Candidate_Wrong,0.3660095632065898,0.29986666501381587,0.3341237717795943,0.335321190356749,0.34437531238618063,0.3203034972570704
2017-03-23,Nigeria,Senegal,1,1,Friendly,London,England,True,1,1,1,2,B_Regression_Candidate_Wrong,0.2960077953657679,0.36314782204579177,0.34084438258844024,0.2928372582644404,0.34857661016378416,0.3585861315717754
2017-03-24,Mauritania,Benin,1,0,Friendly,Nouakchott,Mauritania,False,0,0,0,1,B_Regression_Candidate_Wrong,0.35981372379784315,0.3165689606003672,0.32361731560178963,0.342371958021609,0.375631778631133,0.281996263347258
2017-09-05,Turkey,Croatia,1,0,FIFA World Cup qualification,Eskişehir,Turkey,False,0,0,0,1,B_Regression_Candidate_Wrong,0.3854468925983843,0.3539096631551109,0.26064344424650476,0.3637113508480517,0.3762862707445242,0.2600023784074242
2017-10-10,Estonia,Bosnia and Herzegovina,1,2,FIFA World Cup qualification,Tallinn,Estonia,False,2,2,2,0,B_Regression_Candidate_Wrong,0.3485550827506371,0.2950545705185687,0.3563903467307941,0.3659159971255717,0.2798815934928889,0.3542024093815394
2017-11-09,Northern Ireland,Switzerland,0,1,FIFA World Cup qualification,Belfast,Northern Ireland,False,2,2,2,0,B_Regression_Candidate_Wrong,0.31082400852146347,0.3323953744901943,0.3567806169883421,0.33846633551279864,0.3323692239137018,0.3291644405734996
2017-11-09,Singapore,Lebanon,0,1,Friendly,Kallang,Singapore,False,2,2,2,0,B_Regression_Candidate_Wrong,0.3425017822239569,0.2651780116794023,0.3923202060966408,0.36999838986065076,0.2749568836960625,0.3550447264432867
2017-11-10,South Korea,Colombia,2,1,Friendly,Suwon,South Korea,False,0,0,0,2,B_Regression_Candidate_Wrong,0.3499836470734443,0.3073196931457863,0.3426966597807694,0.338540001808056,0.3117464223189119,0.34971357587303203
