date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,winner_pred,category,champ_p_away,champ_p_draw,champ_p_home,winner_p_away,winner_p_draw,winner_p_home
2016-08-25,Barawa,Tamil Eelam,0,5,World Unity Cup,London,England,False,2,2,0,2,C_Rescued_Candidate_Correct,0.4565731284788273,0.10650256910643666,0.4369243024147361,0.41373347235741487,0.11715685321307961,0.4691096744295055
2016-11-13,Solomon Islands,Tahiti,1,0,FIFA World Cup qualification,Honiara,Solomon Islands,False,0,0,2,0,C_Rescued_Candidate_Correct,0.3614610901121073,0.269216465162349,0.36932244472554365,0.376878835860079,0.28348539956930185,0.3396357645706192
2017-03-27,Central African Republic,Gambia,1,2,Friendly,Rabat,Morocco,True,2,2,0,2,C_Rescued_Candidate_Correct,0.37696926641500295,0.27417042181021833,0.3488603117747787,0.34945537031872,0.2942174297765318,0.35632719990474826
2017-03-28,Honduras,Costa Rica,1,1,FIFA World Cup qualification,San Pedro Sula,Honduras,False,1,1,2,1,C_Rescued_Candidate_Correct,0.28458691312522943,0.3548380283519295,0.36057505852284105,0.29389680095792053,0.3592766874736027,0.3468265115684768
2017-06-02,Nicaragua,Bolivia,0,1,Friendly,Managua,Nicaragua,False,2,2,0,2,C_Rescued_Candidate_Correct,0.3871064603041835,0.2264736985317247,0.3864198411640919,0.3848693162414434,0.22978323604819054,0.38534744771036605
2017-06-30,Greenland,Isle of Man,0,6,Island Games,Visby,Sweden,True,2,2,0,2,C_Rescued_Candidate_Correct,0.40089388033466505,0.19826447956642074,0.4008416400989142,0.3548839660094388,0.2228663487672137,0.4222496852233475
2017-08-31,South Korea,Iran,0,0,FIFA World Cup qualification,Seoul,South Korea,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3906561583650261,0.34100708884368847,0.26833675279128544,0.33645356567897167,0.3743546880919759,0.28919174622905236
2017-09-04,Cameroon,Nigeria,1,1,FIFA World Cup qualification,Yaoundé,Cameroon,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3541560775043121,0.3383432247468432,0.30750069774884475,0.33340944246280996,0.35628861924721233,0.3103019382899776
2017-10-06,Austria,Serbia,3,2,FIFA World Cup qualification,Vienna,Austria,False,0,0,2,0,C_Rescued_Candidate_Correct,0.3370313897956808,0.31057895562074095,0.3523896545835783,0.350053846869678,0.3093320074180853,0.3406141457122367
2017-12-03,Taiwan,Philippines,3,0,Friendly,Taipei,Taiwan,False,0,0,2,0,C_Rescued_Candidate_Correct,0.3442331181764351,0.2927443559183431,0.3630225259052219,0.3562501465162514,0.2947542719543278,0.3489955815294208
2018-06-25,Russia,Uruguay,0,3,FIFA World Cup,Samara,Russia,False,2,2,0,2,C_Rescued_Candidate_Correct,0.35402320258871883,0.29812694703193093,0.34784985037935034,0.33611512509174263,0.2959268749837337,0.3679579999245237
2018-09-08,Namibia,Zambia,1,1,African Cup of Nations qualification,Windhoek,Namibia,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3548715484477445,0.3394518067577852,0.3056766447944704,0.35333744645479376,0.35334446314639645,0.29331809039880974
2018-09-11,Panama,Venezuela,0,2,Friendly,Panama City,Panama,False,2,2,0,2,C_Rescued_Candidate_Correct,0.3478942689273384,0.3264003249135584,0.3257054061591032,0.3352873647470181,0.3245326823193676,0.3401799529336142
2018-10-12,Croatia,England,0,0,UEFA Nations League,Rijeka,Croatia,False,1,1,0,1,C_Rescued_Candidate_Correct,0.35122199983943353,0.34584512268820067,0.30293287747236575,0.3336971050414802,0.36957285206281065,0.2967300428957092
2018-10-16,United Arab Emirates,Venezuela,0,2,Friendly,Barcelona,Spain,True,2,2,0,2,C_Rescued_Candidate_Correct,0.37192829825200135,0.27218167868004806,0.35589002306795053,0.3392802016199505,0.2731065466710289,0.3876132517090207
2018-11-18,Guinea,Ivory Coast,1,1,African Cup of Nations qualification,Conakry,Guinea,False,1,1,2,1,C_Rescued_Candidate_Correct,0.33248961923980214,0.33094233985964633,0.33656804090055153,0.3318967151960683,0.3387442179116617,0.32935906689227
2019-06-03,Székely Land,Western Armenia,0,5,CONIFA European Football Cup,Askeran,Azerbaijan,True,2,2,0,2,C_Rescued_Candidate_Correct,0.41780483277372144,0.20598951978962193,0.37620564743665663,0.38482810320342664,0.20325650218008073,0.4119153946164926
2019-06-11,South Korea,Iran,1,1,Friendly,Seoul,South Korea,False,1,1,0,1,C_Rescued_Candidate_Correct,0.36542347289770605,0.3561092329028006,0.2784672941994934,0.35347998444126394,0.37221889270767083,0.2743011228510653
2019-07-08,Tahiti,Fiji,1,2,Pacific Games,Apia,Samoa,True,2,2,0,2,C_Rescued_Candidate_Correct,0.3690457850675643,0.26449936579840955,0.3664548491340262,0.36291708014610996,0.2622157664766237,0.37486715337726634
2019-07-17,Tunisia,Nigeria,0,1,African Cup of Nations,Cairo,Egypt,True,2,2,0,2,C_Rescued_Candidate_Correct,0.34156457494715853,0.3232535974444131,0.33518182760842846,0.3398904038299979,0.3185448230787828,0.3415647730912193
2019-09-04,São Tomé and Príncipe,Guinea-Bissau,0,1,FIFA World Cup qualification,São Tomé,São Tomé and Príncipe,False,2,2,0,2,C_Rescued_Candidate_Correct,0.3721705947734453,0.2681496228490415,0.35967978237751325,0.3664229106630055,0.2605565514573447,0.37302053787964984
2019-09-09,Hungary,Slovakia,1,2,UEFA Euro qualification,Budapest,Hungary,False,2,2,0,2,C_Rescued_Candidate_Correct,0.35139608982352116,0.2981021122323273,0.3505017979441516,0.3348460933989611,0.3127890963273164,0.35236481027372246
2020-01-15,Canada,Iceland,0,1,Friendly,Irvine,United States,True,2,2,0,2,C_Rescued_Candidate_Correct,0.39411012774847504,0.26882681148336623,0.3370630607681587,0.3509960159123241,0.2763750138000398,0.37262897028763603
2020-09-05,Cyprus,Montenegro,0,2,UEFA Nations League,Nicosia,Cyprus,False,2,2,0,2,C_Rescued_Candidate_Correct,0.368039890326967,0.28791226227763556,0.3440478473953975,0.3446036708016302,0.29982755100023967,0.3555687781981301
2020-11-16,Jordan,Syria,1,0,Friendly,Sharjah,United Arab Emirates,True,0,0,2,0,C_Rescued_Candidate_Correct,0.32685114577362545,0.32357884395584124,0.3495700102705333,0.3351715598769089,0.32999086698706726,0.33483757313602386
