home_style_possession_5,home_style_pressing_5,home_style_directness_5,home_style_progression_5,home_style_tempo_5,home_style_crossing_5,home_style_def_compact_5,home_style_possession_10,home_style_directness_10,away_style_possession_5,away_style_pressing_5,away_style_directness_5,away_style_progression_5,away_style_tempo_5,away_style_crossing_5,away_style_def_compact_5,away_style_possession_10,away_style_directness_10
52.0,45.0,50.0,50.0,50.0,45.0,55.0,52.0,50.0,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
52.0,45.0,50.0,50.0,50.0,45.0,55.0,52.0,50.0,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
52.0,45.0,50.0,50.0,50.0,45.0,55.0,52.0,50.0,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
50.0,51.666666666666664,46.0,57.0,56.0,48.333333333333336,48.333333333333336,50.0,46.0,50.0,48.333333333333336,45.0,56.0,56.0,47.666666666666664,46.666666666666664,50.0,45.0
50.0,48.75,45.0,56.5,56.5,48.0,46.25,50.0,45.0,50.0,51.25,45.75,57.25,56.5,48.5,47.5,50.0,45.75
51.0,52.0,45.6,57.4,56.4,48.6,48.0,51.0,45.6,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
49.0,48.0,45.6,56.2,56.4,47.8,46.0,49.0,45.6,52.0,56.0,46.2,59.8,58.0,50.2,48.0,51.666666666666664,46.0
52.0,45.0,50.0,50.0,50.0,45.0,55.0,52.0,50.0,54.0,60.0,46.8,60.4,57.2,50.6,51.0,52.142857142857146,46.285714285714285
54.0,61.0,46.8,60.4,56.8,50.6,52.0,52.5,46.125,48.0,46.0,45.6,56.8,58.0,48.2,43.0,48.333333333333336,45.5
55.0,66.0,47.4,63.4,58.8,52.6,52.0,52.77777777777778,46.333333333333336,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
46.0,39.0,45.0,55.6,59.2,47.4,38.0,47.857142857142854,45.42857142857143,45.0,25.0,45.0,52.0,60.0,45.0,30.0,45.0,45.0
48.0,41.0,45.0,56.2,59.2,47.8,39.0,48.75,45.375,55.0,72.0,47.4,67.0,61.2,55.0,52.0,53.0,46.5
45.0,30.0,45.0,52.75,59.0,45.5,33.75,45.0,45.0,53.0,67.0,47.4,67.0,63.2,55.0,47.0,52.5,46.8
53.0,68.0,47.4,67.0,62.8,55.0,48.0,53.5,47.1,49.0,42.0,45.6,58.0,61.2,49.0,37.0,49.44444444444444,45.666666666666664
45.0,31.0,45.0,52.6,58.4,45.4,35.0,45.0,45.0,49.0,44.0,46.2,60.4,63.6,50.6,35.0,49.0,45.9
53.0,67.0,48.0,68.8,65.6,56.2,44.0,53.5,47.4,45.0,34.0,45.0,53.8,58.8,46.2,36.0,45.0,45.0
51.0,47.0,46.8,61.6,64.0,51.4,36.0,49.5,46.2,45.0,32.0,45.0,54.4,60.4,46.6,33.0,45.0,45.0
51.0,51.0,46.8,60.4,60.8,50.6,42.0,48.5,45.9,53.0,66.0,48.0,67.6,64.4,55.4,45.0,54.0,47.7
47.0,42.0,45.0,55.0,57.2,47.0,42.0,46.25,45.0,53.0,62.0,48.0,65.8,63.6,54.2,44.0,54.0,47.7
52.0,45.0,50.0,50.0,50.0,45.0,55.0,52.0,50.0,49.0,45.0,46.8,59.8,62.4,50.2,37.0,48.5,45.9
47.0,39.0,45.0,55.0,58.4,47.0,39.0,46.111111111111114,45.0,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
55.0,67.0,48.0,66.4,62.4,54.6,48.0,54.0,47.7,49.0,57.0,46.8,64.6,64.0,53.4,41.0,49.0,46.2
49.0,48.0,45.6,59.2,60.4,49.8,41.0,47.0,45.3,49.0,54.0,46.2,62.8,62.8,52.2,41.0,49.0,46.2
55.0,68.0,48.0,67.6,63.6,55.4,47.0,54.0,47.7,51.0,51.0,46.2,61.0,61.6,51.0,41.0,48.0,45.6
47.0,51.0,46.2,62.8,64.0,52.2,38.0,49.0,46.5,51.0,50.0,46.2,60.4,61.2,50.6,41.0,48.0,45.6
49.0,57.0,46.8,65.8,65.6,54.2,39.0,50.0,46.8,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
51.0,69.0,47.4,69.4,65.6,56.6,45.0,50.0,47.1,55.0,72.0,48.0,67.6,62.0,55.4,51.0,54.0,48.0
49.0,44.0,46.2,59.8,62.8,50.2,36.0,48.0,45.6,55.0,69.0,48.0,66.4,61.6,54.6,50.0,54.0,48.0
45.0,6.666666666666667,45.0,53.0,68.66666666666667,45.666666666666664,10.0,45.0,45.0,49.0,45.0,46.2,59.2,61.6,49.8,38.0,48.0,45.6
46.25,17.5,45.0,53.5,65.0,46.0,20.0,46.25,45.0,55.0,67.0,48.0,64.6,60.0,53.4,51.0,54.0,48.0
48.0,39.0,45.6,55.6,59.2,47.4,38.0,48.5,45.6,46.0,19.0,45.0,53.2,64.0,45.8,22.0,46.0,45.0
46.0,26.0,45.0,53.2,61.2,45.8,29.0,45.833333333333336,45.0,49.0,55.0,46.8,62.8,62.4,52.2,42.0,49.0,46.8
55.0,68.0,48.0,64.6,59.6,53.4,52.0,55.0,48.0,51.0,66.0,47.4,67.0,63.6,55.0,46.0,50.0,46.8
48.0,43.0,45.6,56.2,58.4,47.8,41.0,49.5,45.9,51.0,67.0,46.8,65.2,60.8,53.8,50.0,49.0,46.5
55.0,65.0,47.4,62.2,57.6,51.8,53.0,55.0,47.7,48.0,44.0,45.6,56.2,58.0,47.8,42.0,49.5,45.9
51.0,66.0,46.8,64.6,60.4,53.4,50.0,50.0,46.8,46.0,25.0,45.0,53.2,61.6,45.8,28.0,45.714285714285715,45.0
51.0,63.0,46.8,62.8,59.2,52.2,50.0,51.0,47.1,48.0,46.0,45.6,56.8,58.0,48.2,43.0,48.5,45.9
55.0,63.0,47.4,61.6,57.6,51.4,52.0,55.0,47.7,46.0,28.0,45.0,53.2,60.4,45.8,31.0,45.625,45.0
52.0,64.0,46.8,62.2,58.0,51.8,52.0,50.5,46.8,55.0,68.0,47.4,64.6,59.6,53.4,52.0,55.0,47.7
49.0,49.0,45.6,57.4,57.6,48.6,45.0,49.0,45.9,54.0,65.0,46.8,63.4,59.2,52.6,51.0,54.5,47.4
45.0,22.0,45.0,53.8,63.6,46.2,24.0,45.55555555555556,45.0,48.0,42.0,45.6,57.4,60.4,48.6,38.0,48.0,45.6
52.0,45.0,50.0,50.0,50.0,45.0,55.0,52.0,50.0,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
48.0,42.0,45.6,58.6,62.0,49.4,36.0,48.0,45.6,45.0,21.0,45.0,55.0,65.6,47.0,21.0,45.5,45.0
45.0,22.0,45.0,55.0,65.2,47.0,22.0,45.5,45.0,51.0,57.0,46.2,58.0,55.2,49.0,52.0,51.0,46.8
45.0,24.0,45.0,55.0,64.4,47.0,24.0,45.5,45.0,54.0,67.0,46.8,65.2,60.8,53.8,50.0,54.5,47.4
54.0,71.0,47.4,68.8,64.0,56.2,48.0,54.5,47.4,53.0,63.0,46.8,61.6,57.6,51.4,52.0,52.0,46.8
50.0,51.0,46.2,61.6,62.4,51.4,40.0,49.0,45.9,52.0,59.0,46.2,59.8,56.8,50.2,51.0,51.5,46.5
53.0,68.0,46.8,67.0,62.8,55.0,48.0,54.0,47.1,50.0,52.0,46.2,61.6,62.0,51.4,41.0,49.0,45.9
52.0,45.0,50.0,50.0,50.0,45.0,55.0,52.0,50.0,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
52.0,57.0,46.2,59.2,56.8,49.8,50.0,51.5,46.5,45.0,23.0,45.0,56.2,66.4,47.8,21.0,45.5,45.0
53.0,65.0,46.8,64.6,60.8,53.4,49.0,54.0,47.1,45.0,22.0,45.0,55.0,65.2,47.0,22.0,45.0,45.0
53.0,64.0,46.8,62.8,58.8,52.2,51.0,52.5,46.8,49.0,49.0,46.2,61.6,63.2,51.4,38.0,49.0,45.9
45.0,25.0,45.0,54.4,63.2,46.6,26.0,45.0,45.0,49.0,52.0,46.2,61.0,61.2,51.0,42.0,48.5,45.9
54.0,68.0,47.4,64.6,59.6,53.4,52.0,52.5,46.8,54.0,68.0,47.4,66.4,62.0,54.6,49.0,54.0,47.1
47.0,43.0,45.6,56.8,59.2,48.2,40.0,47.5,45.6,54.0,62.0,47.4,63.4,60.4,52.6,48.0,54.0,47.1
52.0,62.0,46.8,62.2,58.8,51.8,50.0,52.5,46.8,45.0,36.0,45.0,53.8,58.0,46.2,38.0,47.5,45.6
45.0,34.0,45.0,53.8,58.8,46.2,36.0,47.5,45.6,47.0,33.0,45.6,56.8,63.2,48.2,30.0,46.0,45.3
54.0,59.0,46.8,60.4,57.6,50.6,50.0,54.0,47.1,47.0,48.0,45.6,59.8,61.2,50.2,40.0,48.0,45.9
55.0,63.0,47.4,62.8,59.2,52.2,50.0,54.0,47.1,53.0,66.0,47.4,64.6,60.4,53.4,50.0,52.5,46.8
47.0,27.0,45.6,56.2,64.8,47.8,25.0,46.0,45.3,53.0,55.0,46.8,60.4,59.2,50.6,46.0,53.0,46.8
47.0,24.0,45.6,56.2,66.0,47.8,22.0,46.0,45.3,53.0,69.0,47.4,65.8,60.8,54.2,51.0,52.5,46.8
53.0,60.0,46.8,64.0,62.0,53.0,45.0,53.5,47.1,48.0,45.0,50.0,50.0,50.0,45.0,55.0,48.0,50.0
53.0,66.0,47.4,64.6,60.4,53.4,50.0,53.0,47.1,47.0,48.0,45.6,60.4,62.0,50.6,39.0,48.0,45.9
53.0,65.0,47.4,64.6,60.8,53.4,49.0,53.5,47.4,47.0,27.0,45.6,56.8,65.6,48.2,24.0,46.0,45.3
53.0,63.0,46.8,64.6,61.6,53.4,47.0,53.5,47.1,47.0,25.0,45.6,56.8,66.4,48.2,22.0,46.0,45.3
55.0,71.0,48.0,67.0,61.6,55.0,51.0,53.5,47.4,53.0,68.0,47.4,67.6,63.6,55.4,47.0,53.5,47.1
47.0,48.0,45.6,60.4,62.0,50.6,39.0,47.0,45.6,53.0,65.0,47.4,66.4,63.2,54.6,46.0,54.0,47.4
45.0,15.0,45.0,54.4,67.2,46.6,16.0,46.0,45.3,48.0,50.0,45.6,60.4,61.2,50.6,41.0,46.5,45.3
50.0,56.0,46.2,61.6,60.4,51.4,45.0,47.5,45.6,45.0,24.0,45.0,55.0,64.4,47.0,24.0,46.0,45.3
45.0,29.0,45.0,55.0,62.4,47.0,29.0,46.0,45.3,53.0,66.0,47.4,65.2,61.2,53.8,49.0,53.0,47.4
50.0,48.0,46.2,58.0,58.8,49.0,43.0,48.5,45.9,53.0,69.0,47.4,67.6,63.2,55.4,48.0,53.0,47.4
54.0,70.0,47.4,66.4,61.2,54.6,51.0,53.5,47.1,50.0,50.0,46.2,58.0,58.0,49.0,45.0,48.5,45.9
45.0,25.0,45.0,55.0,64.0,47.0,25.0,46.0,45.3,54.0,67.0,47.4,63.4,58.4,52.6,53.0,53.5,47.1
54.0,66.0,47.4,63.4,58.8,52.6,52.0,53.5,47.1,53.0,67.0,47.4,66.4,62.4,54.6,48.0,53.0,47.4
45.0,27.0,45.0,55.0,63.2,47.0,27.0,46.0,45.3,50.0,48.0,46.2,57.4,58.0,48.6,44.0,48.5,45.9
52.0,64.0,46.8,64.6,61.2,53.4,48.0,52.5,47.1,49.0,43.0,46.2,58.6,61.6,49.4,37.0,48.5,45.9
52.0,62.0,46.8,63.4,60.4,52.6,48.0,53.5,47.4,47.0,39.0,45.6,59.2,64.0,49.8,32.0,46.0,45.3
47.0,38.0,45.6,57.4,62.0,48.6,34.0,48.5,45.9,53.0,59.0,46.8,59.8,56.8,50.2,51.0,53.0,47.1
53.0,59.0,46.8,60.4,57.6,50.6,50.0,53.0,47.1,47.0,36.0,45.6,59.2,65.2,49.8,29.0,46.0,45.3
54.0,68.0,47.4,65.8,61.2,54.2,50.0,53.5,47.4,54.0,60.0,46.8,61.6,58.8,51.4,49.0,54.0,47.1
45.0,34.0,45.6,56.2,62.0,47.8,32.0,47.5,45.9,47.0,38.0,45.6,58.6,63.6,49.4,32.0,46.0,45.3
48.0,46.0,45.6,58.6,60.4,49.4,40.0,46.5,45.3,54.0,61.0,46.8,61.6,58.4,51.4,50.0,53.5,47.1
46.0,36.0,45.6,56.2,61.2,47.8,34.0,48.0,45.9,54.0,61.0,46.2,61.0,57.6,51.0,51.0,53.5,46.8
48.0,47.0,45.6,58.0,59.2,49.0,42.0,46.5,45.3,52.0,54.0,46.2,59.2,58.0,49.8,47.0,53.0,46.8
52.0,52.0,46.2,58.6,58.0,49.4,46.0,53.0,46.8,46.0,39.0,45.6,56.2,60.0,47.8,37.0,48.0,45.9
53.0,57.0,46.8,61.6,60.0,51.4,46.0,53.0,46.8,55.0,63.0,46.2,61.6,57.6,51.4,52.0,53.5,46.5
55.0,63.0,46.2,61.6,57.6,51.4,52.0,53.5,46.5,46.0,41.0,45.0,55.0,57.6,47.0,41.0,46.5,45.3
55.0,63.0,46.2,61.6,57.6,51.4,52.0,54.5,46.8,46.0,39.0,45.6,55.6,59.2,47.4,38.0,47.5,45.9
46.0,36.0,45.6,55.0,59.6,47.0,36.0,46.5,45.6,51.0,53.0,46.2,59.8,59.2,50.2,45.0,52.0,46.5
51.0,60.0,46.8,63.4,61.2,52.6,46.0,52.5,46.8,46.0,41.0,45.0,55.0,57.6,47.0,41.0,46.5,45.3
55.0,68.0,46.8,64.0,58.8,53.0,53.0,54.5,46.8,53.0,66.0,47.4,66.4,62.8,54.6,47.0,52.5,46.8
46.0,29.0,45.0,53.2,60.0,45.8,32.0,45.5,45.3,46.0,37.0,45.0,55.0,59.2,47.0,37.0,46.5,45.3
45.0,34.0,45.0,55.0,60.4,47.0,34.0,46.5,45.3,55.0,69.0,47.4,65.8,60.8,54.2,51.0,54.5,46.8
47.0,32.0,45.6,55.0,61.2,47.0,32.0,46.5,45.6,54.0,67.0,47.4,65.8,61.6,54.2,49.0,54.5,46.8
51.0,62.0,46.8,65.8,63.6,54.2,44.0,51.5,46.5,47.0,30.0,45.6,55.6,62.8,47.4,29.0,46.5,45.6
46.0,36.0,45.0,56.2,61.2,47.8,34.0,47.0,45.3,51.0,60.0,46.8,65.2,63.6,53.8,43.0,52.0,46.8
53.0,64.0,46.8,65.8,62.8,54.2,46.0,52.0,46.5,54.0,68.0,47.4,66.4,62.0,54.6,49.0,54.5,46.8
53.0,63.0,46.8,64.0,60.8,53.0,48.0,54.0,46.5,46.0,36.0,45.0,55.6,60.4,47.4,35.0,46.0,45.0
46.0,32.0,45.0,55.0,61.2,47.0,32.0,46.0,45.0,47.0,32.0,45.6,56.2,62.8,47.8,30.0,46.5,45.6
53.0,66.0,46.8,65.8,62.0,54.2,48.0,54.0,46.8,48.0,38.0,45.6,57.4,62.0,48.6,34.0,47.0,45.6
