matchup_possession_diff,matchup_directness_diff,matchup_pressing_diff,matchup_tempo_diff,matchup_width_diff,tactical_h_press_vs_a_possession,tactical_a_press_vs_h_possession,tactical_h_direct_vs_a_compact,tactical_a_direct_vs_h_compact,tactical_width_vs_backline_diff,inter_continuity_x_tactical_stab,inter_replacement_x_formation_changed,inter_star_reliance_x_possession
4.0,0.0,0.0,0.0,0.0,0.864,0.936,1.1,1.1,-0.44999999999999996,0.82,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.864,0.936,1.1,1.1,-0.44999999999999996,0.82,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.864,0.936,1.1,1.1,-0.44999999999999996,0.41,0.0,0.0
0.0,1.0,3.3333333333333286,0.0,0.0,1.0333333333333332,0.9666666666666667,0.8586666666666666,0.87,-0.44999999999999996,0.2733333333333333,0.0,0.0
0.0,-0.75,-2.5,0.0,0.0,0.975,1.025,0.855,0.8463750000000001,-0.44999999999999996,0.41,0.0,0.0
3.0,-4.399999999999999,7.0,6.399999999999999,0.0,0.9984,0.918,1.0032,0.96,-0.44999999999999996,0.328,0.0,0.0
-3.0,-0.6000000000000014,-8.0,-1.6000000000000014,0.0,0.9984,1.0976000000000001,0.87552,0.8500800000000001,-0.44999999999999996,0.328,0.0,0.0
-2.0,3.200000000000003,-15.0,-7.200000000000003,0.0,0.9720000000000001,1.248,1.02,1.0296,-0.44999999999999996,0.0,0.0,0.0
6.0,1.1999999999999957,15.0,-1.2000000000000028,0.0,1.1712,0.9936000000000001,0.8049599999999999,0.9484800000000001,-0.15000000000000002,0.656,0.0,0.0
7.0,-2.6000000000000014,21.0,8.799999999999997,0.0,1.2672,0.9900000000000001,1.0428,1.04,-0.15000000000000002,0.82,0.0,0.0
1.0,0.0,14.0,-0.7999999999999972,0.0,0.7020000000000001,0.46,0.54,0.684,-0.44999999999999996,0.164,0.0,0.0
-7.0,-2.3999999999999986,-31.0,-2.0,0.0,0.902,1.3823999999999999,0.936,0.73944,-0.30000000000000004,0.49199999999999994,0.0,0.0
-8.0,-2.3999999999999986,-37.0,-4.200000000000003,0.0,0.636,1.2060000000000002,0.846,0.6399,-0.30000000000000004,0.82,0.0,0.0
4.0,1.7999999999999972,26.0,1.5999999999999943,0.0,1.3328,0.8904,0.7015199999999999,0.87552,-0.15000000000000002,0.656,0.0,0.0
-4.0,-1.2000000000000028,-13.0,-5.200000000000003,0.0,0.6076,0.792,0.63,0.6468,-0.44999999999999996,0.0,0.0,0.0
8.0,3.0,33.0,6.799999999999997,0.0,1.2060000000000002,0.7208000000000001,0.6911999999999999,0.792,-0.15000000000000002,0.656,0.0,0.0
6.0,1.7999999999999972,15.0,3.6000000000000014,0.0,0.846,0.6528,0.61776,0.648,-0.15000000000000002,0.49199999999999994,0.0,0.0
-2.0,-1.2000000000000028,-15.0,-3.6000000000000085,0.0,1.0812000000000002,1.3464,0.8423999999999999,0.8063999999999999,-0.30000000000000004,0.328,0.0,0.0
-6.0,-3.0,-20.0,-6.399999999999999,0.0,0.8904,1.1656,0.792,0.8063999999999999,-0.7,0.0,0.0,0.0
3.0,3.200000000000003,0.0,-12.399999999999999,0.0,0.882,0.936,0.74,1.0296,-0.44999999999999996,0.82,0.0,0.0
-1.0,-5.0,-6.0,8.399999999999999,0.0,0.7488,0.846,0.9900000000000001,0.78,-0.30000000000000004,0.656,0.0,0.0
6.0,1.2000000000000028,10.0,-1.6000000000000014,0.0,1.3132000000000001,1.254,0.7871999999999999,0.8985599999999999,-0.15000000000000002,0.82,0.0,0.0
0.0,-0.6000000000000014,-6.0,-2.3999999999999986,0.0,0.9408,1.0584,0.74784,0.75768,-0.44999999999999996,0.0,0.0,0.0
4.0,1.7999999999999972,17.0,2.0,0.0,1.3872000000000002,1.122,0.7871999999999999,0.86856,-0.15000000000000002,0.82,0.0,0.0
-4.0,0.0,1.0,2.799999999999997,0.0,1.0404,0.94,0.75768,0.7022400000000001,-0.15000000000000002,0.164,0.0,0.0
1.0,-3.200000000000003,12.0,15.599999999999994,0.0,1.0943999999999998,0.882,1.0296,0.78,-0.44999999999999996,0.0,0.0,0.0
-4.0,-0.6000000000000014,-3.0,3.5999999999999943,0.0,1.518,1.4687999999999999,0.9669599999999999,0.864,-0.30000000000000004,0.328,0.0,0.0
-6.0,-1.7999999999999972,-25.0,1.1999999999999957,0.0,0.9680000000000001,1.3523999999999998,0.924,0.6911999999999999,-0.7,0.0,0.0,0.0
-4.0,-1.2000000000000028,-38.333333333333336,7.06666666666667,0.0,0.13066666666666665,0.81,0.684,0.18480000000000002,-0.15000000000000002,0.0,0.0,0.0
-8.75,-3.0,-49.5,5.0,0.0,0.385,1.2395,0.918,0.384,-0.7,0.0,0.0,0.0
2.0,0.6000000000000014,20.0,-4.799999999999997,0.0,0.7176,0.3648,0.40128,0.684,-0.44999999999999996,0.164,0.0,0.0
-3.0,-1.7999999999999972,-29.0,-1.1999999999999957,0.0,0.5096,1.0120000000000002,0.756,0.5428799999999999,-0.44999999999999996,0.164,0.0,0.0
4.0,0.6000000000000014,2.0,-4.0,0.0,1.3872000000000002,1.4520000000000002,0.8832,0.98592,-0.15000000000000002,0.82,0.0,0.0
-3.0,-1.1999999999999957,-24.0,-2.3999999999999986,0.0,0.8772,1.2864,0.912,0.7675199999999999,-0.44999999999999996,0.164,0.0,0.0
7.0,1.7999999999999972,21.0,-0.3999999999999986,0.0,1.248,0.9680000000000001,0.7963199999999999,0.9667200000000001,-0.15000000000000002,0.82,0.0,0.0
5.0,1.7999999999999972,41.0,-1.2000000000000028,0.0,1.2144000000000001,0.51,0.5241600000000001,0.9,-0.15000000000000002,0.49199999999999994,0.0,0.0
