date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2016-03-29,Switzerland,Bosnia and Herzegovina,0,2,Friendly,Zürich,Switzerland,False,2,2,0,0,D_Both_Wrong,0.49203993217668285,0.29730874164602444,0.21065132617729274,0.5269222678084863,0.2762026477175837,0.19687508447392996
2016-03-29,Sweden,Czech Republic,1,1,Friendly,Solna,Sweden,False,1,1,0,0,D_Both_Wrong,0.5073404847849264,0.29570926981354295,0.19695024540153072,0.5221365095516968,0.3049280791960582,0.172935411252245
2016-03-29,Suriname,Guadeloupe,3,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,False,0,0,0,2,B_Regression_R4_Wrong,0.36813619549306525,0.26550351897007357,0.3663602855368611,0.3145911327912018,0.25968484245564616,0.4257240247531521
2016-03-29,Sudan,Ivory Coast,1,1,African Cup of Nations qualification,Omdurman,Sudan,False,1,1,2,2,D_Both_Wrong,0.10347946403195879,0.238775615581908,0.6577449203861333,0.10737726630690418,0.2554243675261851,0.6371983661669107
2016-03-29,Uganda,Burkina Faso,0,0,African Cup of Nations qualification,Kampala,Uganda,False,1,1,0,0,D_Both_Wrong,0.5539932737884062,0.3191768796152559,0.12682984659633786,0.5467906838688148,0.3313556556254708,0.12185366050571443
2016-03-29,Malawi,Guinea,1,2,African Cup of Nations qualification,Blantyre,Malawi,False,2,2,2,2,A_Both_Correct,0.2513061561498499,0.30963289478194156,0.4390609490682086,0.28674919964286444,0.32779477625530323,0.3854560241018323
2016-03-29,Liberia,Djibouti,5,0,African Cup of Nations qualification,Monrovia,Liberia,False,0,0,0,0,A_Both_Correct,0.9530186744600986,0.03392005274223638,0.01306127279766492,0.9424211552414392,0.036456184613012,0.021122660145548703
2016-03-29,Luxembourg,Albania,0,2,Friendly,Luxembourg,Luxembourg,False,2,2,2,2,A_Both_Correct,0.13416354817842557,0.25749061259687883,0.6083458392246957,0.15786991530431047,0.26177872348845427,0.5803513612072353
2016-03-29,Afghanistan,Singapore,2,1,FIFA World Cup qualification,Tehran,Iran,True,0,0,2,2,D_Both_Wrong,0.2813938811990107,0.22976013316571672,0.48884598563527243,0.23707862290423942,0.22467863993951112,0.5382427371562495
2016-03-29,Angola,DR Congo,0,2,African Cup of Nations qualification,Luanda,Angola,False,2,2,0,0,D_Both_Wrong,0.4001966865639988,0.33392154567441734,0.2658817677615837,0.41780228958947396,0.3259181794417931,0.2562795309687329
2016-03-29,Argentina,Bolivia,2,0,FIFA World Cup qualification,Córdoba,Argentina,False,0,0,0,0,A_Both_Correct,0.8615328803224765,0.11091237632320972,0.027554743354313647,0.8104864304897282,0.14442852600787073,0.045085043502401105
2016-03-29,Australia,Jordan,5,1,FIFA World Cup qualification,Sydney,Australia,False,0,0,0,0,A_Both_Correct,0.6678429180606048,0.21908031272507017,0.11307676921432502,0.6737674480955608,0.22524949399577834,0.10098305790866101
2016-03-29,North Macedonia,Bulgaria,0,2,Friendly,Skopje,North Macedonia,False,2,2,0,0,D_Both_Wrong,0.36849897287908995,0.32689275071389245,0.30460827640701765,0.3662980966087307,0.340234677131848,0.2934672262594213
2016-03-29,China,Qatar,2,0,FIFA World Cup qualification,Xi'an,China,False,0,0,0,0,A_Both_Correct,0.49279478232670615,0.31199993741673143,0.19520528025656245,0.5271399106702814,0.2875214345832664,0.1853386547464522
2016-03-29,Colombia,Ecuador,3,1,FIFA World Cup qualification,Barranquilla,Colombia,False,0,0,0,0,A_Both_Correct,0.5446665022001529,0.29775781027946996,0.15757568752037718,0.5037389979300768,0.29694140197333735,0.19931960009658595
2016-03-29,Costa Rica,Jamaica,3,0,FIFA World Cup qualification,San José,Costa Rica,False,0,0,0,0,A_Both_Correct,0.6691624323375654,0.23674752977795482,0.09409003788447963,0.6399917698812259,0.24666651315491547,0.11334171696385867
2016-03-29,Dominica,Martinique,1,4,CFU Caribbean Cup qualification,Roseau,Dominica,False,2,2,2,2,A_Both_Correct,0.11265808136636157,0.20883751366512307,0.6785044049685153,0.06893992658958364,0.19151097115424454,0.7395491022561719
2016-03-29,Dominican Republic,Barbados,2,0,CFU Caribbean Cup qualification,Santo Domingo,Dominican Republic,False,0,0,0,0,A_Both_Correct,0.5697963321953429,0.2188884415532016,0.21131522625145555,0.5979952937865265,0.23387015475256367,0.1681345514609099
