regime_name,match_count,champion_accuracy,r4_accuracy,accuracy_difference,champion_correct,r4_correct,correct_diff,champion_log_loss,r4_log_loss,log_loss_difference
1. Stable Favorite,3263,0.8099908060067422,0.8099908060067422,0.0,2643,2643,0,0.5701421067806639,0.5670046727914684,0.003137433989195526
2. Stable Underdog,422,0.43601895734597157,0.45023696682464454,0.014218009478672966,184,190,6,1.0748668896588576,1.0720407060956503,0.0028261835632072962
3. Rapidly Improving Team,2943,0.6119605844376487,0.6072035338090384,-0.004757050628610315,1801,1787,-14,0.8430343526058367,0.8479570117559605,-0.004922659150123798
4. Rapidly Declining Team,3223,0.6490847036922123,0.6506360533664288,0.0015513496742165511,2092,2097,5,0.7982203441618732,0.7929273605464666,0.005292983615406532
5. High-Volatility Team,3468,0.6101499423298731,0.6118800461361015,0.0017301038062284002,2116,2122,6,0.8443268513089924,0.8425117959700078,0.001815055338984628
6. Low-Volatility Team,2476,0.6001615508885298,0.6021809369951535,0.0020193861066236662,1486,1491,5,0.8787124104274671,0.8734490244674454,0.005263385960021627
7. Congested Schedule (<4d rest),3081,0.6092177864329763,0.6095423563777994,0.0003245699448231054,1877,1878,1,0.8665446221738287,0.8668025709528616,-0.0002579487790329571
8. Long-Rest Schedule (>14d rest),3862,0.6048679440704299,0.6048679440704299,0.0,2336,2336,0,0.8542581684633235,0.8516962545858052,0.0025619138775182515
9. Closely Matched Teams (|dElo|<50),1724,0.45185614849187933,0.45359628770301624,0.0017401392111369152,779,782,3,1.051219948071032,1.050661706147917,0.0005582419231149327
10. Large Elo Mismatch (|dElo|>250),2804,0.8038516405135521,0.8034950071326676,-0.0003566333808844302,2254,2253,-1,0.5721656317267912,0.5694499207150836,0.0027157110117076444
