date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2016-03-29,Suriname,Guadeloupe,3,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,False,0,0,0,2,B_Regression_R4_Wrong,0.36813619549306525,0.26550351897007357,0.3663602855368611,0.3145911327912018,0.25968484245564616,0.4257240247531521
2016-05-20,Hungary,Ivory Coast,0,0,Friendly,Budapest,Hungary,False,1,1,1,0,B_Regression_R4_Wrong,0.3543773999094851,0.3553698044224616,0.29025279566805334,0.35956673724893545,0.32509413680854427,0.3153391259425203
2016-06-21,Czech Republic,Turkey,0,2,UEFA Euro,Lens,France,True,2,2,2,0,B_Regression_R4_Wrong,0.35560003627631515,0.27600848421165025,0.36839147951203466,0.3762817826169648,0.28869636704392887,0.33502185033910636
2016-08-01,Délvidék,Székely Land,3,1,Hungary Heritage Cup,Szarvas,Hungary,True,0,0,0,2,B_Regression_R4_Wrong,0.485082360504043,0.1479940308765464,0.3669236086194107,0.4008115102934638,0.16399359704243258,0.4351948926641036
2016-09-06,South Africa,Egypt,1,0,Friendly,Johannesburg,South Africa,False,0,0,0,2,B_Regression_R4_Wrong,0.3766978332174978,0.3591206483631582,0.26418151841934395,0.32329993597456175,0.3374050988765914,0.3392949651488469
2016-10-06,Uzbekistan,Iran,0,1,FIFA World Cup qualification,Tashkent,Uzbekistan,False,2,2,2,1,B_Regression_R4_Wrong,0.29141127239047526,0.353875534909112,0.3547131927004127,0.3085388267950435,0.34602818628679183,0.34543298691816465
2016-10-06,Italy,Spain,1,1,FIFA World Cup qualification,Turin,Italy,False,1,1,1,2,B_Regression_R4_Wrong,0.30094198516698384,0.352019996819099,0.34703801801391726,0.3117850430145072,0.33994795582470483,0.34826700116078796
2016-10-08,Solomon Islands,New Caledonia,0,1,Friendly,Honiara,Solomon Islands,False,2,2,2,0,B_Regression_R4_Wrong,0.30808143331094345,0.2204212455153645,0.47149732117369214,0.3735523051855761,0.259072707802261,0.367374987012163
2016-10-08,Armenia,Romania,0,5,FIFA World Cup qualification,Yerevan,Armenia,False,2,2,2,0,B_Regression_R4_Wrong,0.23159120799688013,0.3125056890810552,0.45590310292206465,0.3748506488586058,0.2798609001906242,0.34528845095076993
2016-10-09,Iceland,Turkey,2,0,FIFA World Cup qualification,Reykjavík,Iceland,False,0,0,0,2,B_Regression_R4_Wrong,0.4011724807865957,0.2799319069518182,0.318895612261586,0.3444671260394907,0.3088032499187091,0.34672962404180024
2016-11-10,Qatar,Russia,2,1,Friendly,Doha,Qatar,False,0,0,0,2,B_Regression_R4_Wrong,0.35392826034600755,0.31495534448582035,0.33111639516817204,0.33826355166886335,0.2976686348118725,0.3640678135192642
2016-11-12,Morocco,Ivory Coast,0,0,FIFA World Cup qualification,Marrakesh,Morocco,False,1,1,1,0,B_Regression_R4_Wrong,0.3145562862893607,0.40868272036084946,0.2767609933497899,0.38113111632137886,0.3784651172107272,0.24040376646789408
2016-11-15,England,Spain,2,2,Friendly,London,England,False,1,1,1,0,B_Regression_R4_Wrong,0.31754924175992627,0.3770417001022703,0.30540905813780345,0.34063349262689535,0.3267237348153831,0.33264277255772157
2016-11-25,Singapore,Indonesia,1,2,AFF Championship,Manila,Philippines,True,2,2,2,1,B_Regression_R4_Wrong,0.2747082545300197,0.306354821532512,0.4189369239374684,0.33125529881159416,0.3385478213050263,0.3301968798833795
2017-01-22,Panama,Costa Rica,1,0,UNCAF Cup,Panama City,Panama,False,0,0,0,2,B_Regression_R4_Wrong,0.35989937811714234,0.30911298538374804,0.3309876364991097,0.3433976637292537,0.28733367861307674,0.36926865765766964
2017-03-23,Thailand,Saudi Arabia,0,3,FIFA World Cup qualification,Bangkok,Thailand,False,2,2,2,0,B_Regression_R4_Wrong,0.3514738030443927,0.2721113258325675,0.3764148711230398,0.3846614339754069,0.27738581659877953,0.3379527494258136
2017-03-23,Papua New Guinea,Tahiti,1,3,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False,2,2,2,0,B_Regression_R4_Wrong,0.3784498691593225,0.21922790494039854,0.402322225900279,0.435942408305109,0.2586154596170183,0.30544213207787274
2017-03-23,Afghanistan,Singapore,2,1,Friendly,Al Wakrah,Qatar,True,0,0,0,2,B_Regression_R4_Wrong,0.35932215626107,0.30593510829762616,0.3347427354413039,0.30614435949775587,0.2624363292335744,0.43141931126866967
2017-03-28,Peru,Uruguay,2,1,FIFA World Cup qualification,Lima,Peru,False,0,0,0,2,B_Regression_R4_Wrong,0.36653863240901374,0.3215327890889125,0.3119285785020738,0.3232028648195312,0.32561735991246454,0.35117977526800426
2017-06-25,Tanzania,Malawi,2,0,COSAFA Cup,Saulspoort,South Africa,True,0,0,0,2,B_Regression_R4_Wrong,0.34134631238571234,0.3185277570816679,0.34012593053261975,0.32672176881226583,0.3122281604666399,0.3610500707210942
2017-09-02,Zambia,Algeria,3,1,FIFA World Cup qualification,Lusaka,Zambia,False,0,0,0,2,B_Regression_R4_Wrong,0.37249153984979855,0.28258797076727266,0.3449204893829289,0.35383346731659404,0.2791855113429682,0.3669810213404378
2017-09-02,Finland,Iceland,1,0,FIFA World Cup qualification,Tampere,Finland,False,0,0,0,2,B_Regression_R4_Wrong,0.36062850947187935,0.3059850778892964,0.3333864126388243,0.3321813937501901,0.3163326590242331,0.3514859472255768
