date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2016-03-29,Estonia,Serbia,0,1,Friendly,Tallinn,Estonia,False,2,2,0,2,C_Rescued_R4_Correct,0.35871518150600196,0.2888013877390177,0.35248343075498023,0.299585316079694,0.3227775695054993,0.37763711441480674
2016-03-29,India,Turkmenistan,1,2,FIFA World Cup qualification,Kochi,India,False,2,2,0,2,C_Rescued_R4_Correct,0.396767563740578,0.2916572567505291,0.31157517950889285,0.3473562313604434,0.29262973314778046,0.3600140354917761
2016-06-01,Curaçao,Guyana,5,2,CFU Caribbean Cup qualification,Willemstad,Curaçao,False,0,0,2,0,C_Rescued_R4_Correct,0.3450429514944108,0.29279527743921163,0.3621617710663776,0.35523008565252256,0.3366309630325611,0.30813895131491637
2016-06-03,United Koreans in Japan,Sápmi,1,2,CONIFA World Football Cup,Sukhumi,Georgia,True,2,2,0,2,C_Rescued_R4_Correct,0.44203871192727817,0.23891346052054024,0.31904782755218164,0.36928116540776923,0.1822775678806518,0.44844126671157897
2016-06-25,United States,Colombia,0,1,Copa América,Glendale,United States,False,2,2,0,2,C_Rescued_R4_Correct,0.3687360056443075,0.3004443846270415,0.3308196097286511,0.3438560334332897,0.3009272699788757,0.35521669658783467
2016-06-25,Croatia,Portugal,0,1,UEFA Euro,Lens,France,True,2,2,0,2,C_Rescued_R4_Correct,0.3926916685184788,0.28478219113309006,0.32252614034843113,0.35686023036747433,0.2780409681530473,0.36509880147947826
2016-08-25,Barawa,Tamil Eelam,0,5,World Unity Cup,London,England,False,2,2,0,2,C_Rescued_R4_Correct,0.4892182570106777,0.11951373193160027,0.3912680110577219,0.35087654761002857,0.1592913113634941,0.4898321410264774
2016-09-01,Belgium,Spain,0,2,Friendly,Brussels,Belgium,False,2,2,1,2,C_Rescued_R4_Correct,0.23747655740307547,0.40599795563360197,0.35652548696332254,0.30862245050781006,0.34306669108379867,0.3483108584083912
2016-10-10,Bhutan,Bangladesh,3,1,AFC Asian Cup qualification,Thimphu,Bhutan,False,0,0,2,0,C_Rescued_R4_Correct,0.2671988407041688,0.29075546941780167,0.44204568987802945,0.36926632199571724,0.26687601276831274,0.3638576652359699
2016-11-03,Macau,Mongolia,2,1,AFC Solidarity Cup,Kuching,Malaysia,True,0,0,2,0,C_Rescued_R4_Correct,0.2904378299684018,0.29606481666538986,0.41349735336620835,0.4105751761749666,0.24260156831689733,0.346823255508136
2016-11-03,Sri Lanka,Laos,1,2,AFC Solidarity Cup,Kuching,Malaysia,True,2,2,0,2,C_Rescued_R4_Correct,0.3981565533301978,0.26151594621476354,0.34032750045503873,0.3396264653578812,0.27457750346873366,0.38579603117338507
2016-11-12,Austria,Republic of Ireland,0,1,FIFA World Cup qualification,Vienna,Austria,False,2,2,0,2,C_Rescued_R4_Correct,0.38396480963287793,0.31975782079858295,0.2962773695685391,0.3356674971514319,0.31117687937293415,0.35315562347563395
2016-11-13,Saint Kitts and Nevis,Haiti,0,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,2,2,0,2,C_Rescued_R4_Correct,0.3706262179624226,0.28744049856509396,0.34193328347248336,0.2575484914313539,0.2802485232564284,0.4622029853122177
2016-11-22,Antigua and Barbuda,Estonia,0,1,Friendly,St. John's,Antigua and Barbuda,False,2,2,0,2,C_Rescued_R4_Correct,0.41685445511534575,0.2589776809855526,0.3241678638991018,0.32879175141308964,0.3222676742583306,0.3489405743285798
2017-03-27,Mauritania,Congo,2,1,Friendly,Nouakchott,Mauritania,False,0,0,2,0,C_Rescued_R4_Correct,0.3527012828789253,0.28438111381375436,0.36291760330732037,0.47993318000126894,0.2773250533624998,0.2427417666362312
2017-03-28,Yemen,Tajikistan,2,1,AFC Asian Cup qualification,Doha,Qatar,True,0,0,2,0,C_Rescued_R4_Correct,0.27344926321161345,0.27577917185997053,0.45077156492841614,0.35248963988712695,0.31106811998848344,0.33644224012438967
2017-06-10,Grenada,Bermuda,1,2,Friendly,St. George's,Grenada,False,2,2,0,2,C_Rescued_R4_Correct,0.4102862158072403,0.21119775982291777,0.378516024369842,0.3678709674768044,0.2271238450093215,0.4050051875138741
2017-06-25,Western Isles,Greenland,0,3,Island Games,Dalhem,Sweden,True,2,2,0,2,C_Rescued_R4_Correct,0.42032671283433115,0.18710395144831754,0.3925693357173513,0.3881934121306848,0.21863358299151206,0.39317300487780316
2017-06-30,Greenland,Isle of Man,0,6,Island Games,Visby,Sweden,True,2,2,0,2,C_Rescued_R4_Correct,0.3983311171482836,0.21266220373083417,0.38900667912088216,0.34764839810506754,0.21553497602514207,0.43681662586979025
2017-07-09,Zambia,Zimbabwe,1,3,COSAFA Cup,Rustenburg,South Africa,True,2,2,0,2,C_Rescued_R4_Correct,0.4088144591782072,0.2944427193085471,0.2967428215132456,0.33867103443989616,0.27800062353406874,0.3833283420260351
2017-08-31,Thailand,Iraq,1,2,FIFA World Cup qualification,Bangkok,Thailand,False,2,2,0,2,C_Rescued_R4_Correct,0.38120357156665036,0.2933566578884108,0.3254397705449387,0.32623803660221606,0.29072893491410345,0.3830330284836806
2017-09-01,Cape Verde,South Africa,2,1,FIFA World Cup qualification,Praia,Cape Verde,False,0,0,2,0,C_Rescued_R4_Correct,0.3147545813284893,0.33365562616108685,0.35158979251042377,0.3782992629415996,0.32785404640479954,0.29384669065360086
2017-09-02,Mozambique,Kenya,1,1,Friendly,Maputo,Mozambique,False,1,1,0,1,C_Rescued_R4_Correct,0.35732655957998,0.3329153160247586,0.30975812439526146,0.3587945165030272,0.37277966979283794,0.2684258137041349
2017-09-04,Montenegro,Romania,1,0,FIFA World Cup qualification,Podgorica,Montenegro,False,0,0,2,0,C_Rescued_R4_Correct,0.3354128866607244,0.30234327578159614,0.3622438375576795,0.3717666295654149,0.3056882070982897,0.3225451633362954
2017-09-04,Libya,Guinea,1,0,FIFA World Cup qualification,Monastir,Tunisia,True,0,0,2,0,C_Rescued_R4_Correct,0.3035104705339949,0.2875211261965293,0.40896840326947576,0.38684319960458907,0.28016925685760324,0.33298754353780774
2017-09-05,Burkina Faso,Senegal,2,2,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False,1,1,2,1,C_Rescued_R4_Correct,0.29844320616526365,0.3501496357934347,0.35140715804130174,0.2914681278868099,0.361913681376629,0.34661819073656114
2017-09-05,Iceland,Ukraine,2,0,FIFA World Cup qualification,Reykjavík,Iceland,False,0,0,2,0,C_Rescued_R4_Correct,0.33749666257604555,0.31138881106634275,0.3511145263576116,0.3859757898984258,0.3126225694961171,0.3014016406054571
2017-09-05,Uzbekistan,South Korea,0,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,1,1,2,1,C_Rescued_R4_Correct,0.31634719123664606,0.3374571104278212,0.34619569833553265,0.3443844397046449,0.34618153361334086,0.30943402668201425
2017-10-10,Panama,Costa Rica,2,1,FIFA World Cup qualification,Panama City,Panama,False,0,0,1,0,C_Rescued_R4_Correct,0.3473225566289635,0.3564495677423491,0.29622787562868735,0.35844612198033543,0.3306784781239754,0.3108753998956892
2018-03-23,Guadeloupe,Trinidad and Tobago,0,1,Friendly,Les Abymes,Guadeloupe,False,2,2,0,2,C_Rescued_R4_Correct,0.44848213950439486,0.28471538977159744,0.26680247072400776,0.2774065174177592,0.25053402432473065,0.4720594582575101
2018-03-24,Northern Ireland,South Korea,2,1,Friendly,Belfast,Northern Ireland,False,0,0,2,0,C_Rescued_R4_Correct,0.3284492086405078,0.33423389696531963,0.3373168943941725,0.3621260524651099,0.3296595033602023,0.30821444417468785
2018-03-26,China,Czech Republic,1,4,Friendly,Nanning,China,False,2,2,0,2,C_Rescued_R4_Correct,0.3585826526529157,0.2916181936802657,0.3497991536668186,0.34569638237043593,0.2985271255641626,0.35577649206540135
2018-03-27,Serbia,Nigeria,2,0,Friendly,London,England,True,0,0,2,0,C_Rescued_R4_Correct,0.33687605962834916,0.2978387191275655,0.36528522124408536,0.38386483117519343,0.32934552098925396,0.28678964783555266
2018-03-27,Denmark,Chile,0,0,Friendly,Aalborg,Denmark,False,1,1,0,1,C_Rescued_R4_Correct,0.3670846512438949,0.32656032887872144,0.30635501987738356,0.3367901043154787,0.3372700546946215,0.32593984098989986
2018-06-01,Czech Republic,Australia,0,4,Friendly,Sankt Pölten,Austria,True,2,2,0,2,C_Rescued_R4_Correct,0.38577995158715794,0.28948993178715726,0.3247301166256848,0.33529799957180506,0.28320393661511317,0.3814980638130818
2018-06-07,Guadeloupe,French Guiana,0,2,Friendly,Fort-de-France,Martinique,True,2,2,0,2,C_Rescued_R4_Correct,0.4562260611611344,0.24739183949561883,0.2963820993432469,0.372415640146136,0.25426716451634,0.37331719533752405
2018-06-25,Russia,Uruguay,0,3,FIFA World Cup,Samara,Russia,False,2,2,0,2,C_Rescued_R4_Correct,0.37926427979899613,0.26116569231028947,0.3595700278907144,0.315400305302499,0.2922801527464371,0.39231954195106383
2018-06-30,Uruguay,Portugal,2,1,FIFA World Cup,Sochi,Russia,True,0,0,2,0,C_Rescued_R4_Correct,0.3266439002593398,0.29080756282274994,0.3825485369179103,0.43638674630309415,0.2955262575975505,0.2680869960993554
2018-07-03,Sweden,Switzerland,1,0,FIFA World Cup,Saint Petersburg,Russia,True,0,0,2,0,C_Rescued_R4_Correct,0.2997014754386972,0.3174378960732532,0.3828606284880496,0.37791372155314795,0.3258356978387666,0.2962505806080854
2018-09-04,Nepal,Pakistan,1,2,SAFF Cup,Dhaka,Bangladesh,True,2,2,0,2,C_Rescued_R4_Correct,0.34832420930572017,0.3208712755148351,0.33080451517944476,0.2885682441157493,0.3426800170414219,0.3687517388428289
2018-09-08,Saint Vincent and the Grenadines,Nicaragua,0,2,CONCACAF Nations League qualification,Kingstown,Saint Vincent and the Grenadines,False,2,2,0,2,C_Rescued_R4_Correct,0.4615953394073456,0.222635448648305,0.3157692119443496,0.2365957497144895,0.20127051953317984,0.5621337307523306
2018-09-08,Estonia,Greece,0,1,UEFA Nations League,Tallinn,Estonia,False,2,2,0,2,C_Rescued_R4_Correct,0.36974053733912654,0.32845409825675304,0.30180536440412037,0.29772657576200806,0.3388053980936708,0.36346802614432117
2018-09-10,Kuwait,Iraq,2,2,Friendly,Al Farwaniyah,Kuwait,False,1,1,0,1,C_Rescued_R4_Correct,0.34125819540166985,0.32811368804491314,0.33062811655341695,0.32013840705280544,0.3458617738797482,0.3339998190674463
2018-09-10,Bahrain,China,0,0,Friendly,East Riffa,Bahrain,False,1,1,0,1,C_Rescued_R4_Correct,0.38880570058247493,0.3391597759061957,0.27203452351132923,0.3200043503571784,0.3430335544147642,0.3369620952280575
