feature_name,feature_family,importance_split_score,correlation_with_outcome,coverage_pct
temp_mom_consistency_away,Handcrafted_Temporal_Momentum,1064.0,0.08432178455240066,100.0
temp_mom_consistency_home,Handcrafted_Temporal_Momentum,1040.0,-0.09200768595989321,100.0
temp_mom_def_home,Handcrafted_Temporal_Momentum,755.0,-0.03244763113541995,100.0
temp_mom_def_away,Handcrafted_Temporal_Momentum,698.0,0.016471073793066414,100.0
temp_mom_elo_home,Handcrafted_Temporal_Momentum,659.0,-0.0605330144831338,100.0
temp_mom_elo_away,Handcrafted_Temporal_Momentum,654.0,0.06421233526298639,100.0
temp_mom_form_slope_home,Handcrafted_Temporal_Momentum,596.0,-0.02915831719244546,100.0
temp_mom_att_home,Handcrafted_Temporal_Momentum,592.0,-0.030133466796703402,100.0
temp_mom_volatility_trend_home,Handcrafted_Temporal_Momentum,571.0,0.00044628532358376703,100.0
temp_mom_att_away,Handcrafted_Temporal_Momentum,553.0,0.026559583511112074,100.0
temp_mom_elo_diff,Handcrafted_Temporal_Momentum,543.0,-0.08850525695153472,100.0
temp_mom_volatility_trend_away,Handcrafted_Temporal_Momentum,510.0,-0.013433000228926321,100.0
temp_mom_form_slope_away,Handcrafted_Temporal_Momentum,455.0,0.024558442188635773,100.0
temp_mom_accel_away,Handcrafted_Temporal_Momentum,443.0,0.009244773735442626,100.0
temp_mom_xg_away,Handcrafted_Temporal_Momentum,437.0,0.030995662313775735,100.0
temp_mom_accel_diff,Handcrafted_Temporal_Momentum,418.0,-0.01570290775278373,100.0
temp_mom_form_slope_diff,Handcrafted_Temporal_Momentum,391.0,-0.03840284838573541,100.0
temp_mom_xg_home,Handcrafted_Temporal_Momentum,380.0,-0.044879906773756514,100.0
temp_mom_xg_diff,Handcrafted_Temporal_Momentum,377.0,-0.05538666790605064,100.0
temp_mom_accel_home,Handcrafted_Temporal_Momentum,334.0,-0.012976796260252341,100.0
