regime_name,test_matches,test_pct,champion_accuracy,temporal_accuracy,accuracy_diff,champion_correct,temporal_correct,correct_diff,champion_log_loss,temporal_log_loss,log_loss_diff,champion_norm_rps,temporal_norm_rps,norm_rps_diff
Regime 1: Close Elo (|dElo| < 50),1724,17.407108239095315,0.45185614849187933,0.4385150812064965,-0.013341067285382813,779,756,-23,1.0516347819701104,1.0647304699417743,0.013095687971663938,0.2142666772731252,0.21702631384990864,0.0027596365767834363
Regime 2: Moderate Elo (50 <= |dElo| <= 150),3108,31.381260096930536,0.49131274131274133,0.48326898326898327,-0.008043758043758065,1527,1502,-25,1.0159772144972974,1.02682367543371,0.010846460936412505,0.20607566823571624,0.20935629746457157,0.0032806292288553307
Regime 3: Large Mismatch (|dElo| > 250),2804,28.31179321486268,0.8038516405135521,0.8031383737517832,-0.0007132667617688604,2254,2252,-2,0.5711097983489343,0.5834912377144472,0.012381439365512947,0.0986537513141732,0.10100032904792468,0.0023465777337514787
Regime 4: Rapid Form Improvement (Form5 >= 2.2),2943,29.715266558966075,0.6116207951070336,0.599728168535508,-0.011892626571525566,1800,1765,-35,0.8429992790113281,0.8658360038617866,0.022836724850458512,0.15955487313900943,0.16510946850656927,0.005554595367559839
Regime 5: Rapid Form Decline (Form5 <= 0.6),3223,32.5424071082391,0.6500155134967421,0.647843623952839,-0.002171889543903127,2095,2088,-7,0.7985987345221695,0.8049224511759233,0.006323716653753864,0.15547972536335766,0.1567708603631023,0.0012911349997446475
Regime 6: High Volatility (>= 75th percentile),2550,25.74717285945073,0.6054901960784314,0.6101960784313726,0.004705882352941226,1544,1556,12,0.8434885276892965,0.8561900874200964,0.012701559730799894,0.16293068378400813,0.16555966535889932,0.0026289815748911927
Regime 7: Low Volatility (<= 25th percentile),2464,24.878836833602584,0.5868506493506493,0.583198051948052,-0.0036525974025973795,1446,1437,-9,0.892597474979805,0.9074314368313995,0.014833961851594468,0.17362284982774676,0.17689855045194686,0.0032757006242001008
Regime 8: Congested Schedule (< 4d rest),3081,31.108642972536348,0.6088932164881532,0.5965595585848751,-0.012333657903278117,1876,1838,-38,0.8665101532064264,0.8803912705316452,0.013881117325218795,0.1703748656064772,0.17458888027930913,0.004214014672831945
Regime 9: Long Rest Schedule (> 14d rest),3862,38.99434571890145,0.6043500776799585,0.6059036768513724,0.0015535991714138442,2334,2340,6,0.8542745008621069,0.8626311013154925,0.008356600453385599,0.16593888405804685,0.1671181431288379,0.0011792590707910555
Regime 10: Strong Underdog with Positive Momentum,2859,28.867124394184167,0.6617698495977614,0.6554739419377404,-0.006295907660020972,1892,1874,-18,0.800061194186392,0.8164796012018323,0.016418407015440284,0.15297122591449988,0.15721292459060934,0.004241698676109462
