experiment_id,fold,n_train,n_val,n_test,val_accuracy,val_log_loss,val_norm_rps
R0_Champion_Baseline,0,35655,3961,2476,0.5831860641252209,0.8923062604854275,0.17822986926060358
R0_Champion_Baseline,1,37883,4209,2476,0.5887384176764077,0.8920935208683922,0.17697765866078505
R0_Champion_Baseline,2,40112,4456,2476,0.5935816876122083,0.8691130921909103,0.16875401940638612
R0_Champion_Baseline,3,42340,4704,2476,0.6096938775510204,0.8546280378442704,0.16684610312467185
R1_Temporal_GRU_Only,0,35655,3961,2476,0.57914668013128,0.9049725086763969,0.18194214901805555
R1_Temporal_GRU_Only,1,37883,4209,2476,0.5837491090520314,0.9023576468228965,0.17958372333193984
R1_Temporal_GRU_Only,2,40112,4456,2476,0.5929084380610413,0.8900048817796877,0.17428603831409423
R1_Temporal_GRU_Only,3,42340,4704,2476,0.6024659863945578,0.8698454360503742,0.17067022004993526
R2_Temporal_LSTM_Only,0,35655,3961,2476,0.5801565261297652,0.9028204347266295,0.18103951867455512
R2_Temporal_LSTM_Only,1,37883,4209,2476,0.5825611784271798,0.9068281944013958,0.18056709732842116
R2_Temporal_LSTM_Only,2,40112,4456,2476,0.5944793536804309,0.8827302133323692,0.17229053459632945
R2_Temporal_LSTM_Only,3,42340,4704,2476,0.6001275510204082,0.8692572729082738,0.17110597592222798
R3_Temporal_Transformer_Only,0,35655,3961,2476,0.5793991416309013,0.9010401673376668,0.18041859713792094
R3_Temporal_Transformer_Only,1,37883,4209,2476,0.5816108339272986,0.9047227673018476,0.18003461390111383
R3_Temporal_Transformer_Only,2,40112,4456,2476,0.5899910233393177,0.8823074414588227,0.17219970127860745
R3_Temporal_Transformer_Only,3,42340,4704,2476,0.5952380952380952,0.8791673011365356,0.17358388424470578
R4_Champion_plus_Temporal,0,35655,3961,2476,0.5879828326180258,0.8890541105705925,0.17705557778155728
R4_Champion_plus_Temporal,1,37883,4209,2476,0.5885008315514374,0.8902161734078096,0.17650312093802167
R4_Champion_plus_Temporal,2,40112,4456,2476,0.5969479353680431,0.870640923976518,0.16928471399327866
R4_Champion_plus_Temporal,3,42340,4704,2476,0.6130952380952381,0.8556586462344672,0.16740221610121134
R5_Tactical_Identity_Only,0,35655,3961,2476,0.5491037616763443,0.9453021842204454,0.19419904191228668
R5_Tactical_Identity_Only,1,37883,4209,2476,0.5485863625564267,0.9517137606422176,0.1948977129939459
R5_Tactical_Identity_Only,2,40112,4456,2476,0.5621633752244165,0.9359804572289535,0.1880829766868473
R5_Tactical_Identity_Only,3,42340,4704,2476,0.5697278911564626,0.9227986050373849,0.18689061923247566
R6_Champion_plus_Tactical,0,35655,3961,2476,0.5834385256248422,0.8928078944000839,0.1783828439381433
R6_Champion_plus_Tactical,1,37883,4209,2476,0.5851746258018532,0.8915666291670336,0.1768800861343301
R6_Champion_plus_Tactical,2,40112,4456,2476,0.5949281867145422,0.8709030963447946,0.16910916941855542
R6_Champion_plus_Tactical,3,42340,4704,2476,0.6118197278911565,0.8557793931818258,0.16716118435832036
R7_Champion_plus_Temporal_and_Tactical,0,35655,3961,2476,0.5879828326180258,0.8889371052925722,0.17709005094899327
R7_Champion_plus_Temporal_and_Tactical,1,37883,4209,2476,0.5904015205511998,0.8910202798994254,0.17668201148122897
R7_Champion_plus_Temporal_and_Tactical,2,40112,4456,2476,0.599640933572711,0.8709236174279927,0.16929360426826612
R7_Champion_plus_Temporal_and_Tactical,3,42340,4704,2476,0.6116071428571429,0.8563779644866715,0.1675858883253585
R8_Champion_plus_Temporal_Tactical_Rich,0,35655,3961,2476,0.5892451401161323,0.8892519989155094,0.1771855603904775
R8_Champion_plus_Temporal_Tactical_Rich,1,37883,4209,2476,0.5904015205511998,0.891037563145735,0.1766449799396925
R8_Champion_plus_Temporal_Tactical_Rich,2,40112,4456,2476,0.5960502692998204,0.870762116466413,0.16927854940096368
R8_Champion_plus_Temporal_Tactical_Rich,3,42340,4704,2476,0.6103316326530612,0.8561969868426574,0.16756358058582727
