dimension,scale,windows,ewma_alphas,coverage_pct
possession_control,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
pressing_intensity,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
directness,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
progression_rate,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
passing_accuracy,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
crossing_frequency,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
centrality,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
transition_speed,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
shot_creation,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
defensive_activity_height,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
build_up_tempo,"[0.0, 1.0]","5, 10, 20","0.1, 0.2, 0.3",100.0
