feature,dimension,data_type,coverage_pct
team_elo,1,continuous,100.0
opp_elo,2,continuous,100.0
elo_diff,3,continuous,100.0
adaptive_volatility,4,continuous,100.0
expected_score,5,continuous,100.0
goals_for,6,continuous,100.0
goals_against,7,continuous,100.0
goal_diff,8,continuous,100.0
result_numeric,9,continuous,100.0
points,10,continuous,100.0
clean_sheet,11,continuous,100.0
failed_to_score,12,continuous,100.0
xg_for,13,continuous,100.0
xg_against,14,continuous,100.0
shots,15,continuous,100.0
shots_on_target,16,continuous,100.0
possession,17,continuous,100.0
pass_accuracy,18,continuous,100.0
rest_days_norm,19,continuous,100.0
tournament_tier,20,continuous,100.0
is_competitive,21,continuous,100.0
is_home_venue,22,continuous,100.0
opp_strength_ratio,23,continuous,100.0
squad_top5_ovr,24,continuous,100.0
squad_xi_ovr,25,continuous,100.0
squad_depth_ovr,26,continuous,100.0
squad_avg_age,27,continuous,100.0
lineup_continuity,28,continuous,100.0
