team,assigned_formation,starting_11_count,position_fit_mean,is_tactically_valid
Qatar,4-3-3,11,0.905,True
Ecuador,4-3-3,11,1.0,True
Senegal,4-3-3,11,1.0,True
Netherlands,4-3-3,11,1.0,True
England,4-3-3,11,1.0,True
IR Iran,4-3-3,11,1.0,True
USA,4-3-3,11,0.927,True
Wales,4-3-3,11,1.0,True
Argentina,4-3-3,11,1.0,True
Saudi Arabia,4-3-3,11,1.0,True
Mexico,4-3-3,11,1.0,True
Poland,4-3-3,11,1.0,True
France,4-3-3,11,1.0,True
Australia,4-3-3,11,1.0,True
Denmark,4-3-3,11,1.0,True
Tunisia,4-3-3,11,0.936,True
Spain,4-3-3,11,1.0,True
Costa Rica,4-3-3,11,1.0,True
Germany,4-3-3,11,1.0,True
Japan,4-3-3,11,1.0,True
Belgium,4-3-3,11,1.0,True
Canada,4-3-3,11,1.0,True
Morocco,4-3-3,11,1.0,True
Croatia,4-3-3,11,1.0,True
Brazil,4-3-3,11,1.0,True
Serbia,4-3-3,11,1.0,True
Switzerland,4-3-3,11,1.0,True
Cameroon,4-3-3,11,1.0,True
Portugal,4-3-3,11,1.0,True
Ghana,4-3-3,11,1.0,True
Uruguay,4-3-3,11,1.0,True
South Korea,4-3-3,11,1.0,True
