team,slot,player_name,sofifa_id,age,ovr,ability,positional_fit,preferred_positions
Qatar,GK,Qatar_pad_0,900000,26.0,74.0,74.0,1.0,GK
Qatar,LB,A. Fadlalla,239861,23.0,66.0,64.59,1.0,"LB, LWB"
Qatar,CB,Qatar_pad_1,900001,26.0,74.0,74.0,1.0,CB
Qatar,CB,Qatar_pad_2,900002,26.0,74.0,74.0,1.0,CB
Qatar,RB,Qatar_pad_3,900003,26.0,74.0,74.0,0.75,CB
Qatar,CM,Qatar_pad_4,900004,26.0,74.0,74.0,1.0,CM
Qatar,CM,Qatar_pad_5,900005,26.0,74.0,74.0,1.0,CM
Qatar,CM,Qatar_pad_6,900006,26.0,74.0,74.0,1.0,CM
Qatar,LW,Qatar_pad_7,900007,26.0,74.0,74.0,0.6,ST
Qatar,ST,Qatar_pad_8,900008,26.0,74.0,74.0,1.0,ST
Qatar,RW,Qatar_pad_9,900009,26.0,74.0,74.0,0.6,ST
Ecuador,GK,P. Ortíz,250797,31.0,71.0,71.0,1.0,GK
Ecuador,LB,P. Estupiñán,237942,23.0,79.0,77.31,1.0,"LB, LWB"
Ecuador,CB,L. León,225681,28.0,71.0,71.0,1.0,CB
Ecuador,CB,D. Aimar,236267,26.0,70.0,70.0,1.0,CB
Ecuador,RB,P. Perlaza,253890,30.0,70.0,70.0,1.0,"RB, RM"
Ecuador,CM,C. Gruezo,221860,26.0,72.0,72.0,1.0,"CDM, CM"
Ecuador,CM,F. Gaibor,233529,29.0,70.0,70.0,1.0,"CAM, CM, CDM"
Ecuador,CM,J. Intriago,241406,25.0,72.0,72.0,1.0,"CDM, CM"
Ecuador,LW,F. Caicedo,175254,32.0,78.0,75.66,1.0,"CF, ST"
Ecuador,ST,F. Martínez,191164,31.0,75.0,75.0,1.0,"ST, LM, RM"
Ecuador,RW,R. Ibarra,204738,30.0,74.0,74.0,1.0,"RM, RW"
Senegal,GK,É. Mendy,234642,29.0,83.0,83.0,1.0,GK
Senegal,LB,A. Diallo,225711,25.0,78.0,78.0,1.0,"CB, LB"
Senegal,CB,K. Koulibaly,201024,30.0,86.0,86.0,1.0,CB
Senegal,CB,C. Kouyaté,186801,31.0,78.0,78.0,1.0,"CB, CDM"
Senegal,RB,Y. Sabaly,215699,28.0,76.0,76.0,1.0,"RB, RM"
Senegal,CM,I. Gueye,193474,31.0,82.0,82.0,1.0,"CDM, CM"
Senegal,CM,N. Mendy,198861,29.0,75.0,75.0,1.0,"CDM, CM"
Senegal,CM,Y. Sankharé,184271,31.0,70.0,70.0,1.0,"CM, CDM, CAM"
Senegal,LW,S. Mané,208722,29.0,89.0,89.0,1.0,LW
Senegal,ST,B. Dia,246242,24.0,77.0,77.0,1.0,ST
Senegal,RW,I. Sarr,235353,23.0,78.0,76.33,1.0,"RW, RM, ST"
Netherlands,GK,J. Drommel,228279,24.0,75.0,75.0,1.0,GK
Netherlands,LB,D. Blind,190815,31.0,82.0,82.0,1.0,"CB, CDM, LB"
Netherlands,CB,F. de Jong,228702,24.0,87.0,87.0,1.0,"CM, CDM, CB"
Netherlands,CB,V. van Dijk,203376,29.0,89.0,89.0,1.0,CB
Netherlands,RB,D. Dumfries,233096,25.0,82.0,82.0,1.0,RB
Netherlands,CM,G. Wijnaldum,181291,30.0,84.0,84.0,1.0,"CM, CDM"
Netherlands,CM,D. van de Beek,221363,24.0,81.0,81.0,1.0,"CM, CAM, CDM"
Netherlands,CM,M. de Roon,208461,30.0,82.0,82.0,1.0,"CDM, CM"
Netherlands,LW,M. Depay,202556,27.0,85.0,85.0,1.0,"CF, LW, CAM"
Netherlands,ST,W. Weghorst,223689,28.0,83.0,83.0,1.0,ST
Netherlands,RW,S. Berghuis,200260,29.0,81.0,81.0,1.0,RW
England,GK,N. Pope,203841,29.0,83.0,83.0,1.0,GK
England,LB,L. Shaw,205988,25.0,84.0,84.0,1.0,LB
England,CB,K. Trippier,186345,30.0,84.0,84.0,1.0,"RB, RWB, RM"
England,CB,B. Chilwell,229984,24.0,82.0,82.0,1.0,"LWB, LB"
England,RB,K. Walker,188377,31.0,85.0,85.0,1.0,RB
England,CM,J. Henderson,183711,31.0,84.0,84.0,1.0,"CDM, CM"
England,CM,J. Ward-Prowse,205569,26.0,81.0,81.0,1.0,CM
England,CM,D. Rice,234378,22.0,82.0,78.49,1.0,"CDM, CM"
England,LW,R. Sterling,202652,26.0,88.0,88.0,1.0,"LW, RW"
England,ST,H. Kane,202126,27.0,90.0,90.0,1.0,ST
England,RW,J. Sancho,233049,21.0,87.0,81.41,1.0,"RM, CF, LM"
IR Iran,GK,IR Iran_pad_0,900000,26.0,74.0,74.0,1.0,GK
IR Iran,LB,E. Haji Safi,194354,31.0,72.0,72.0,1.0,"LB, LM, CAM"
IR Iran,CB,IR Iran_pad_1,900001,26.0,74.0,74.0,1.0,CB
IR Iran,CB,IR Iran_pad_2,900002,26.0,74.0,74.0,1.0,CB
IR Iran,RB,S. Moharrami,244259,25.0,71.0,71.0,1.0,"RB, RM"
IR Iran,CM,A. Gholizadeh,243551,25.0,74.0,74.0,1.0,"LM, RM, CM"
IR Iran,CM,S. Ghoddos,231949,27.0,70.0,70.0,1.0,"CAM, CM, LW"
IR Iran,CM,M. Pouraliganji,227921,29.0,69.0,69.0,1.0,"CB, CDM, CM"
IR Iran,LW,M. Taremi,241788,28.0,79.0,79.0,1.0,"ST, CF"
IR Iran,ST,K. Ansarifard,197136,31.0,74.0,74.0,1.0,ST
IR Iran,RW,A. Jahanbakhsh,215871,27.0,73.0,73.0,1.0,RW
USA,GK,M. Diaw,220820,28.0,70.0,70.0,1.0,GK
USA,LB,T. Suzuki,246909,21.0,65.0,60.82,1.0,"LB, LM"
USA,CB,S. Grippo,177684,32.0,70.0,67.9,1.0,CB
USA,CB,Elton Monteiro,202801,27.0,62.0,62.0,1.0,CB
USA,RB,F. Chafik,210434,34.0,69.0,62.79,1.0,RB
USA,CM,C. Puertas,256688,22.0,71.0,67.96,1.0,"CM, CDM"
USA,CM,S. Kukuruzović,199285,32.0,69.0,66.93,1.0,"CM, CDM"
USA,CM,J. Geissmann,234912,28.0,61.0,61.0,1.0,"CM, CDM"
USA,LW,M. George,229748,27.0,68.0,68.0,0.6,ST
USA,ST,A. Turkeš,230687,25.0,67.0,67.0,1.0,ST
USA,RW,H. Mahou,239003,21.0,64.0,59.89,0.6,"ST, RM"
Wales,GK,D. Ward,207998,28.0,74.0,74.0,1.0,GK
Wales,LB,B. Davies,205923,28.0,79.0,79.0,1.0,"LB, CB"
Wales,CB,C. Roberts,225147,25.0,75.0,75.0,1.0,"RWB, RB"
Wales,CB,P. Dummett,204355,29.0,74.0,74.0,1.0,"CB, LB"
Wales,RB,A. Hughes,214906,29.0,69.0,69.0,1.0,"CB, LWB, LB"
