team,formation,avg_xi_ovr,attack,midfield,defence,gk,chemistry
Qatar,4-3-3,73.14,54.27,74.0,67.02,74.0,0.647
Ecuador,4-3-3,72.54,74.89,71.33,72.08,71.0,0.169
Senegal,4-3-3,79.12,80.78,75.67,79.5,83.0,0.16
Netherlands,4-3-3,82.82,83.0,82.33,85.0,75.0,0.177
England,4-3-3,83.72,86.47,81.16,83.75,83.0,0.18
IR Iran,4-3-3,73.09,75.33,71.0,72.75,74.0,0.189
USA,4-3-3,64.93,47.91,65.3,63.38,70.0,0.757
Wales,4-3-3,74.26,75.0,73.62,74.25,74.0,0.169
Argentina,4-3-3,81.99,84.88,81.33,79.81,84.0,0.204
Saudi Arabia,4-3-3,69.91,66.33,71.0,71.75,70.0,0.271
Mexico,4-3-3,78.23,81.5,78.33,76.75,74.0,0.155
Poland,4-3-3,77.2,75.75,78.67,74.75,87.0,0.149
France,4-3-3,84.21,85.03,85.67,82.55,84.0,0.171
Australia,4-3-3,71.91,72.0,71.67,70.75,77.0,0.16
Denmark,4-3-3,78.86,76.33,82.0,78.78,77.35,0.149
Tunisia,4-3-3,71.0,70.33,73.33,68.75,22.5,0.149
Spain,4-3-3,84.31,85.33,83.81,84.0,84.0,0.179
Costa Rica,4-3-3,69.9,67.67,67.33,70.95,80.08,0.16
Germany,4-3-3,85.49,84.67,86.67,84.11,90.0,0.196
Japan,4-3-3,74.25,77.0,74.67,73.2,69.0,0.158
Belgium,4-3-3,82.57,84.67,84.33,78.06,89.0,0.171
Canada,4-3-3,71.91,71.67,73.0,70.99,73.0,0.191
Morocco,4-3-3,79.03,81.67,74.9,79.41,82.0,0.182
Croatia,4-3-3,79.18,77.79,81.36,77.89,82.0,0.205
Brazil,4-3-3,84.73,86.33,82.33,84.25,89.0,0.199
Serbia,4-3-3,78.32,78.26,80.11,76.59,80.0,0.166
Switzerland,4-3-3,78.22,77.0,78.67,77.75,82.45,0.171
Cameroon,4-3-3,73.65,75.61,74.67,75.22,58.39,0.166
Portugal,4-3-3,82.55,83.67,81.67,83.25,79.0,0.212
Ghana,4-3-3,75.27,74.33,77.33,74.75,74.0,0.179
Uruguay,4-3-3,78.73,78.33,78.67,79.75,76.0,0.149
South Korea,4-3-3,74.64,80.0,71.33,73.0,75.0,0.212
