stage,fixture,total_goals,scoreline_prob_a,scoreline_prob_b,scoreline_prob_c,nll_a,nll_b,nll_c,engine_c_nll_gain,prob_ratio_c_vs_a
Group Stage,England 6 - 2 IR Iran,8,0.00073,0.00073,0.00138,7.219,7.217,6.584,0.635,1.89
Group Stage,France 4 - 1 Australia,5,0.02052,0.02061,0.02061,3.886,3.882,3.882,0.004,1.0
Group Stage,Spain 7 - 0 Costa Rica,7,0.00055,0.00055,0.0017,7.503,7.5,6.376,1.127,3.09
Group Stage,Portugal 3 - 2 Ghana,5,0.02015,0.02015,0.01808,3.904,3.905,4.013,-0.109,0.9
Group Stage,Qatar 1 - 3 Senegal,4,0.04336,0.04342,0.03838,3.138,3.137,3.26,-0.122,0.89
Group Stage,Croatia 4 - 1 Canada,5,0.01446,0.01457,0.0155,4.236,4.229,4.167,0.069,1.07
Group Stage,Qatar 2 - 3 Ghana,5,0.01663,0.01658,0.01531,4.097,4.099,4.179,-0.082,0.92
Group Stage,Cameroon 3 - 3 Serbia,6,0.00766,0.00765,0.00765,4.872,4.874,4.873,-0.001,1.0
Group Stage,Costa Rica 2 - 4 Germany,6,0.00795,0.00795,0.00818,4.834,4.835,4.806,0.029,1.03
Group Stage,Serbia 2 - 3 Switzerland,5,0.01697,0.01701,0.0157,4.076,4.074,4.154,-0.078,0.93
Round of 16,Netherlands 3 - 1 USA,4,0.0541,0.05404,0.04545,2.917,2.918,3.091,-0.174,0.84
Round of 16,France 3 - 1 Poland,4,0.04123,0.04126,0.03688,3.189,3.188,3.3,-0.112,0.89
Round of 16,Brazil 4 - 1 Ecuador,5,0.02034,0.02037,0.02047,3.895,3.894,3.889,0.006,1.01
Round of 16,Portugal 6 - 1 Switzerland,7,0.00064,0.00064,0.0014,7.359,7.356,6.574,0.785,2.19
Quarter-Finals,Netherlands 2 - 2 Argentina,4,0.04601,0.04605,0.03817,3.079,3.078,3.266,-0.187,0.83
Final,Argentina 3 - 3 France,6,0.00768,0.00769,0.00768,4.869,4.867,4.869,0.0,1.0
