team,r16_prob,actual_r16,qf_prob,actual_qf,sf_prob,actual_sf,final_prob,actual_final,champ_prob,actual_champion
Germany,67.63,False,39.03,False,22.41,False,13.32,False,7.78,False
France,73.68,True,43.44,True,25.44,True,14.01,True,7.7,False
England,77.33,True,46.1,True,26.14,False,14.27,False,7.57,False
Brazil,65.52,True,37.4,True,20.35,False,11.91,False,6.79,False
Netherlands,70.45,True,41.54,True,23.1,False,11.7,False,6.17,False
Spain,65.64,True,36.96,False,20.91,False,11.74,False,6.12,False
Argentina,64.37,True,35.89,True,20.08,True,10.61,True,5.64,True
Portugal,62.79,True,33.63,True,18.21,False,10.01,False,5.42,False
Belgium,62.33,False,33.48,False,18.33,False,9.7,False,5.21,False
Denmark,59.54,False,30.1,False,15.27,False,7.6,False,3.76,False
Senegal,59.24,True,30.61,False,15.06,False,7.33,False,3.57,False
Mexico,54.08,False,27.56,False,13.93,False,6.93,False,3.49,False
Uruguay,52.52,False,25.5,False,12.31,False,5.83,False,3.06,False
Serbia,48.68,False,23.84,False,11.61,False,5.87,False,2.93,False
Croatia,53.48,True,25.51,True,12.39,True,6.01,False,2.93,False
Morocco,50.9,True,24.22,True,11.81,True,5.82,False,2.64,False
