category,item,observed_pct,engine_a_pct,engine_b_pct,engine_c_pct
Total Goals,0 goals,10.94,10.38,10.38,12.66
Total Goals,1 goals,15.62,19.33,19.33,19.86
Total Goals,2 goals,26.56,27.35,27.35,25.47
Total Goals,3 goals,21.88,20.85,20.85,18.95
Total Goals,4 goals,6.25,12.51,12.51,11.81
Total Goals,5+ goals,18.75,9.59,9.59,11.229999999999999
Summary,Mean Goals,2.69,2.4,2.4,2.39
Summary,Goal Variance,3.58,2.43,2.43,2.9
Summary,VMR (Variance/Mean),1.33,1.01,1.01,1.21
Exact Scoreline,0-0,10.94,10.38,10.38,12.66
Exact Scoreline,1-0,10.94,9.86,9.86,10.12
Exact Scoreline,0-1,4.69,9.46,9.46,9.75
Exact Scoreline,1-1,7.81,13.69,13.69,12.02
Exact Scoreline,2-0,7.81,7.09,7.09,6.95
Exact Scoreline,2-1,7.81,7.6,7.6,6.44
Exact Scoreline,1-2,9.38,7.31,7.31,6.23
Exact Scoreline,2-2,1.56,4.27,4.27,3.56
Exact Scoreline,3-0,3.12,3.15,3.15,3.3
Exact Scoreline,3-1,3.12,3.23,3.23,2.96
Exact Scoreline,1-3,1.56,2.99,2.99,2.77
Exact Scoreline,4-0,0.0,1.09,1.09,1.35
Exact Scoreline,4-1,4.69,1.07,1.07,1.17
