team,champ_prob_a,champ_prob_b,champ_prob_c,final_prob_a,final_prob_b,final_prob_c,sf_prob_a,sf_prob_b,sf_prob_c,qf_prob_a,qf_prob_b,qf_prob_c,r16_prob_a,r16_prob_b,r16_prob_c,is_actual_champion
Germany,8.17,8.34,7.78,14.05,14.53,13.32,23.82,24.57,22.41,41.74,41.76,39.03,70.32,69.97,67.63,False
France,7.89,7.78,7.7,14.29,13.79,14.01,26.19,26.27,25.44,44.84,44.74,43.44,74.98,75.5,73.68,False
England,7.83,7.62,7.57,13.9,14.35,14.27,25.53,26.77,26.14,45.83,46.78,46.1,78.55,79.32,77.33,False
Brazil,6.71,7.7,6.79,12.34,12.85,11.91,21.72,21.96,20.35,38.79,39.51,37.4,66.46,66.95,65.52,False
Netherlands,6.97,6.79,6.17,12.78,12.53,11.7,23.35,23.39,23.1,42.77,42.38,41.54,71.83,71.68,70.45,False
Spain,7.27,6.73,6.12,13.06,12.38,11.74,22.57,22.03,20.91,38.69,38.47,36.96,67.5,67.6,65.64,False
Argentina,5.54,5.76,5.64,10.61,11.23,10.61,20.56,20.7,20.08,36.09,36.63,35.89,65.46,64.67,64.37,True
Portugal,5.62,5.54,5.42,10.08,10.21,10.01,18.6,18.66,18.21,35.54,34.9,33.63,64.3,63.64,62.79,False
Belgium,5.4,5.41,5.21,9.71,10.1,9.7,18.14,18.5,18.33,33.61,33.69,33.48,63.29,64.44,62.33,False
Denmark,3.47,3.44,3.76,7.77,7.57,7.6,16.36,15.83,15.27,31.28,30.71,30.1,61.13,60.23,59.54,False
Senegal,3.27,3.27,3.57,7.56,7.07,7.33,15.49,15.91,15.06,31.95,32.3,30.61,60.27,60.74,59.24,False
Mexico,3.28,2.66,3.49,6.68,6.33,6.93,14.12,14.11,13.93,27.81,27.39,27.56,55.2,54.49,54.08,False
Uruguay,2.6,2.82,3.06,5.64,6.15,5.83,11.61,12.47,12.31,25.24,26.13,25.5,51.54,53.52,52.52,False
Serbia,2.84,2.67,2.93,5.63,5.35,5.87,11.69,11.12,11.61,25.03,24.7,23.84,49.4,49.47,48.68,False
Croatia,2.88,3.13,2.93,6.09,6.53,6.01,12.95,12.32,12.39,25.65,24.93,25.51,53.57,53.12,53.48,False
Morocco,2.56,2.91,2.64,5.47,6.02,5.82,11.45,11.67,11.81,23.89,24.24,24.22,51.47,51.5,50.9,False
Switzerland,2.65,2.26,2.51,5.74,5.06,5.56,11.01,10.68,11.25,23.45,22.94,23.87,48.01,47.92,47.9,False
Poland,2.46,2.45,2.28,5.5,5.47,5.59,11.96,11.78,12.09,24.13,24.41,24.34,50.27,49.94,49.86,False
Wales,1.68,1.94,1.79,4.42,4.22,4.25,10.65,10.52,10.54,24.48,24.42,23.81,53.93,53.26,52.86,False
Ghana,1.64,1.71,1.76,3.96,4.09,3.82,8.07,8.67,8.44,18.96,19.65,19.85,43.89,43.02,43.38,False
IR Iran,1.37,1.29,1.62,3.49,3.33,4.09,8.82,8.92,9.42,21.47,21.59,21.97,49.37,49.42,49.48,False
South Korea,1.22,1.28,1.59,2.9,3.15,3.59,6.94,6.97,8.11,17.43,17.08,18.86,40.27,39.82,41.31,False
Ecuador,1.04,1.08,1.31,3.08,2.98,3.26,7.96,7.66,7.93,18.95,18.12,18.8,43.14,41.83,42.54,False
Japan,1.25,1.21,1.29,3.1,3.12,3.16,7.13,6.54,7.49,16.06,15.8,17.11,37.51,37.16,39.55,False
Cameroon,1.01,1.03,1.21,2.58,2.63,3.05,6.49,6.08,7.15,15.56,15.09,17.05,36.13,35.66,37.9,False
Australia,1.02,0.84,1.03,2.8,2.29,2.6,6.71,6.04,6.67,15.46,15.12,15.91,37.41,37.61,38.45,False
Canada,0.73,0.63,0.82,2.08,1.83,2.29,4.88,4.46,5.35,11.43,11.73,13.02,31.67,30.94,33.29,False
Saudi Arabia,0.58,0.63,0.65,1.47,1.59,1.87,4.19,4.72,5.05,11.12,11.69,12.35,29.07,30.9,31.69,False
Qatar,0.33,0.41,0.45,0.85,0.97,1.21,2.88,3.07,3.8,9.34,9.53,10.99,24.76,25.75,27.77,False
Costa Rica,0.35,0.37,0.42,1.02,1.16,1.22,2.93,3.3,3.88,8.93,9.38,10.67,24.67,25.27,27.18,False
Tunisia,0.27,0.26,0.36,1.02,0.89,1.26,3.79,3.12,3.73,9.27,9.31,10.41,26.48,26.66,28.33,False
USA,0.1,0.04,0.13,0.33,0.23,0.52,1.44,1.19,1.75,5.21,4.88,6.18,18.15,18.0,20.33,False
