team,elo,avg_overall_opponent_elo,avg_group_opp_elo,avg_r32_opp_elo,avg_r16_opp_elo,avg_qf_opp_elo,avg_sf_opp_elo,avg_final_opp_elo
Cabo Verde,1640,1899.0,1913.3,1837.3,1837.7,1890.2,1908.5,1883.9
Iraq,1630,1895.7,1905.0,1864.0,1844.6,1886.9,1912.9,1887.2
Jordan,1610,1894.3,1913.3,1798.9,1880.1,1886.3,1930.4,1890.4
Saudi Arabia,1660,1891.5,1906.7,1836.7,1834.1,1891.4,1912.5,1874.0
Panama,1680,1887.3,1893.3,1867.3,1866.4,1876.9,1907.0,1870.7
Ghana,1690,1885.2,1890.0,1864.2,1873.5,1872.0,1928.7,1861.1
Uzbekistan,1650,1883.3,1890.0,1842.3,1876.2,1884.5,1896.1,1908.1
Tunisia,1710,1880.1,1891.7,1839.7,1835.3,1825.2,1849.6,1944.9
Congo DR,1670,1876.4,1883.3,1834.9,1878.8,1882.4,1931.6,1876.2
Haiti,1530,1876.1,1890.0,1808.9,1833.6,1837.8,1853.8,1924.1
Norway,1775,1861.3,1856.7,1871.3,1848.5,1890.5,1924.6,1882.4
Curaçao,1520,1859.8,1863.3,1840.7,1857.4,1828.3,1857.9,1941.6
Algeria,1760,1856.5,1863.3,1798.6,1878.4,1883.0,1921.7,1885.5
Sweden,1815,1850.1,1856.7,1835.2,1832.8,1813.3,1855.1,1933.6
Senegal,1840,1846.0,1835.0,1873.5,1842.1,1886.8,1917.8,1860.0
Austria,1830,1839.8,1840.0,1795.7,1887.2,1881.1,1930.4,1882.2
New Zealand,1510,1836.4,1833.3,1831.7,1880.4,1881.3,1902.3,1844.0
Japan,1880,1835.7,1835.0,1837.0,1828.9,1821.6,1857.9,1931.4
Croatia,1940,1825.9,1806.7,1867.4,1867.1,1883.4,1919.4,1857.3
Scotland,1720,1825.5,1826.7,1809.9,1825.8,1831.1,1865.0,1934.3
Uruguay,1960,1818.2,1806.7,1824.8,1831.0,1892.8,1911.2,1861.3
Netherlands,1980,1814.2,1801.7,1840.9,1821.8,1813.0,1839.6,1935.3
England,2050,1809.3,1770.0,1871.7,1865.3,1883.1,1902.9,1862.1
Paraguay,1725,1808.4,1806.7,1791.8,1823.1,1861.1,1861.9,1941.5
Côte d'Ivoire,1750,1803.7,1786.7,1827.2,1852.4,1814.4,1863.6,1936.4
Colombia,1990,1802.4,1776.7,1819.2,1884.1,1882.5,1914.6,1860.9
Portugal,2010,1802.1,1770.0,1809.7,1891.8,1882.8,1903.8,1861.1
Türkiye,1780,1797.6,1788.3,1789.5,1823.8,1850.0,1852.4,1920.8
France,2100,1794.7,1748.3,1875.1,1841.0,1885.1,1894.7,1860.7
South Africa,1620,1791.8,1783.3,1817.7,1810.8,1860.4,1859.1,1949.7
Australia,1790,1791.3,1785.0,1797.2,1820.8,1852.4,1862.0,1927.3
Spain,2120,1789.2,1753.3,1808.5,1827.5,1904.8,1892.2,1858.5
Egypt,1730,1787.7,1760.0,1825.4,1879.6,1895.4,1921.5,1863.0
USA,1850,1783.2,1765.0,1789.1,1822.1,1844.0,1852.2,1944.8
Qatar,1600,1782.4,1766.7,1822.9,1805.0,1857.2,1861.7,1928.9
Morocco,1920,1780.0,1760.0,1811.2,1824.9,1829.3,1852.5,1943.0
Argentina,2150,1774.1,1733.3,1784.0,1881.4,1883.3,1893.8,1856.0
Ecuador,1870,1772.5,1746.7,1827.7,1849.8,1814.7,1854.7,1927.9
Bosnia and Herzegovina,1645,1771.0,1751.7,1823.6,1806.9,1860.3,1856.9,1929.7
Czechia,1740,1768.2,1743.3,1809.2,1812.6,1857.4,1846.0,1944.1
IR Iran,1820,1765.6,1730.0,1825.5,1885.5,1900.6,1908.0,1871.8
Brazil,2030,1761.2,1723.3,1817.1,1816.4,1819.0,1837.0,1934.4
Germany,1970,1758.3,1713.3,1816.7,1850.9,1808.0,1842.0,1933.1
Mexico,1810,1755.4,1720.0,1806.9,1804.2,1858.5,1845.9,1938.7
South Korea,1800,1751.0,1723.3,1807.8,1803.8,1863.6,1850.6,1944.9
Belgium,1950,1746.8,1686.7,1814.1,1888.7,1901.0,1906.7,1862.3
Canada,1795,1739.4,1701.7,1816.1,1799.5,1856.6,1843.1,1943.6
Switzerland,1860,1727.3,1680.0,1811.0,1798.3,1860.6,1847.0,1935.9
