group,team,elo,p_1st,p_2nd,p_3rd,p_top2,p_best_third_adv,p_advance,p_eliminate
Group A,Mexico,1810,34.89,27.03,21.33,61.92,15.48,77.4,22.6
Group A,South Africa,1620,14.61,19.24,27.64,33.85,16.97,50.82,49.18
Group A,South Korea,1800,23.06,26.38,26.39,49.44,17.64,67.08,32.92
Group A,Czechia,1740,27.44,27.35,24.64,54.79,16.86,71.65,28.35
Group B,Canada,1795,28.39,25.73,24.34,54.12,16.7,70.82,29.18
Group B,Bosnia and Herzegovina,1645,19.37,23.09,27.06,42.46,17.83,60.29,39.71
Group B,Qatar,1600,19.9,24.22,26.22,44.12,16.95,61.07,38.93
Group B,Switzerland,1860,32.34,26.96,22.38,59.3,16.19,75.49,24.51
Group C,Brazil,2030,39.92,28.1,19.37,68.02,14.23,82.25,17.75
Group C,Morocco,1920,27.12,28.1,24.99,55.22,16.74,71.96,28.04
Group C,Haiti,1530,11.5,18.15,27.85,29.65,17.42,47.07,52.93
Group C,Scotland,1720,21.46,25.65,27.79,47.11,18.68,65.79,34.21
Group D,USA,1850,34.54,28.6,20.66,63.14,14.61,77.75,22.25
Group D,Paraguay,1725,19.23,24.23,27.71,43.46,17.87,61.33,38.67
Group D,Australia,1790,14.75,19.9,27.8,34.65,17.63,52.28,47.72
Group D,Türkiye,1780,31.48,27.27,23.83,58.75,16.76,75.51,24.49
Group E,Germany,1970,39.02,29.01,19.59,68.03,14.23,82.26,17.74
Group E,Curaçao,1520,11.02,17.97,27.35,28.99,16.55,45.54,54.46
Group E,Côte d'Ivoire,1750,27.66,28.08,24.96,55.74,17.56,73.3,26.7
Group E,Ecuador,1870,22.3,24.94,28.1,47.24,18.47,65.71,34.29
Group F,Netherlands,1980,36.38,26.85,20.82,63.23,14.6,77.83,22.17
Group F,Japan,1880,22.09,25.6,26.98,47.69,18.16,65.85,34.15
Group F,Sweden,1815,27.81,27.53,25.08,55.34,17.39,72.73,27.27
Group F,Tunisia,1710,13.72,20.02,27.12,33.74,16.94,50.68,49.32
Group G,Belgium,1950,39.37,27.54,19.98,66.91,14.17,81.08,18.92
Group G,Egypt,1730,24.5,27.08,26.52,51.58,18.05,69.63,30.37
Group G,IR Iran,1820,23.7,26.11,26.71,49.81,17.71,67.52,32.48
Group G,New Zealand,1510,12.43,19.27,26.79,31.7,16.43,48.13,51.87
Group H,Spain,2120,46.69,27.43,16.61,74.12,12.43,86.55,13.45
Group H,Cabo Verde,1640,11.52,20.07,29.24,31.59,17.89,49.48,50.52
Group H,Saudi Arabia,1660,16.12,23.57,29.12,39.69,18.12,57.81,42.19
Group H,Uruguay,1960,25.67,28.93,25.03,54.6,16.7,71.3,28.7
Group I,France,2100,39.41,27.46,19.83,66.87,14.01,80.88,19.12
Group I,Senegal,1840,24.44,26.62,25.42,51.06,17.22,68.28,31.72
Group I,Iraq,1630,13.58,20.53,27.67,34.11,17.55,51.66,48.34
Group I,Norway,1775,22.57,25.39,27.08,47.96,18.39,66.35,33.65
Group J,Argentina,2150,40.52,27.3,19.57,67.82,13.98,81.8,18.2
Group J,Algeria,1760,22.04,25.02,26.62,47.06,17.76,64.82,35.18
Group J,Austria,1830,20.81,24.74,26.66,45.55,17.74,63.29,36.71
Group J,Jordan,1610,16.63,22.94,27.15,39.57,17.22,56.79,43.21
Group K,Portugal,2010,41.59,27.58,19.23,69.17,14.41,83.58,16.42
Group K,Congo DR,1670,17.52,23.56,29.05,41.08,18.42,59.5,40.5
Group K,Uzbekistan,1650,11.05,19.33,28.26,30.38,17.22,47.6,52.4
Group K,Colombia,1990,29.84,29.53,23.46,59.37,16.42,75.79,24.21
Group L,England,2050,41.09,28.02,18.32,69.11,13.34,82.45,17.55
Group L,Croatia,1940,23.88,26.52,26.27,50.4,17.26,67.66,32.34
Group L,Ghana,1690,16.82,21.86,27.92,38.68,17.45,56.13,43.87
Group L,Panama,1680,18.21,23.6,27.49,41.81,17.65,59.46,40.54
