stage,team_a,team_b,occurrences,prob_matchup_occurs_pct,p_a_wins_90,p_draw_90,p_b_wins_90,p_a_advances,p_b_advances,p_penalties
Round of 32,France,England,1581,15.81,42.63,16.57,40.8,51.42,48.58,16.57
Round of 32,Brazil,Netherlands,1450,14.5,39.86,17.66,42.48,49.45,50.55,17.66
Round of 32,Brazil,Sweden,1065,10.65,44.79,16.71,38.5,53.62,46.38,16.71
Round of 32,Senegal,England,1006,10.06,35.19,15.01,49.8,42.25,57.75,15.01
Round of 32,Morocco,Netherlands,992,9.92,37.4,15.02,47.58,44.25,55.75,15.02
Round of 32,Norway,England,978,9.78,34.05,16.67,49.28,42.64,57.36,16.67
Round of 32,France,Croatia,977,9.77,56.6,14.33,29.07,64.07,35.93,14.33
Round of 32,Brazil,Japan,889,8.89,51.07,16.31,32.62,58.94,41.06,16.31
Round of 32,Spain,Senegal,887,8.87,53.33,13.42,33.26,58.85,41.15,13.42
Round of 32,Germany,Sweden,886,8.86,44.13,16.37,39.5,52.37,47.63,16.37
Round of 32,Germany,Netherlands,858,8.58,38.0,16.2,45.8,46.85,53.15,16.2
Round of 32,Colombia,England,858,8.58,34.27,16.43,49.3,42.31,57.69,16.43
Round of 32,Czechia,USA,844,8.44,34.36,16.35,49.29,43.13,56.87,16.35
Round of 32,Côte d'Ivoire,Sweden,842,8.42,40.5,15.68,43.82,48.22,51.78,15.68
Round of 32,Belgium,Argentina,839,8.39,37.9,14.54,47.56,45.53,54.47,14.54
Round of 32,Colombia,Croatia,839,8.39,43.74,18.47,37.78,54.23,45.77,18.47
Round of 32,Portugal,England,837,8.37,36.8,18.52,44.68,47.43,52.57,18.52
Round of 32,Uruguay,France,834,8.34,29.5,17.27,53.24,37.77,62.23,17.27
Round of 32,Mexico,USA,833,8.33,42.98,17.29,39.74,51.5,48.5,17.29
Round of 32,Switzerland,Morocco,832,8.32,43.39,15.99,40.62,51.44,48.56,15.99
Round of 32,Czechia,Türkiye,831,8.31,37.55,16.25,46.21,45.73,54.27,16.25
Round of 32,Uruguay,Senegal,826,8.26,42.62,13.8,43.58,49.88,50.12,13.8
Round of 32,Uruguay,Norway,818,8.18,39.49,17.11,43.4,46.82,53.18,17.11
Round of 32,Spain,France,817,8.17,40.51,14.93,44.55,47.74,52.26,14.93
Round of 32,South Korea,USA,817,8.17,33.9,11.63,54.47,39.66,60.34,11.63
Round of 32,Switzerland,Brazil,811,8.11,36.0,14.67,49.32,43.16,56.84,14.67
Round of 32,Germany,Japan,805,8.05,48.07,17.39,34.53,57.52,42.48,17.39
Round of 32,Belgium,Algeria,805,8.05,46.71,16.77,36.52,54.16,45.84,16.77
Round of 32,Portugal,Croatia,799,7.99,51.44,18.9,29.66,60.95,39.05,18.9
Round of 32,Egypt,Argentina,798,7.98,29.2,14.54,56.27,35.96,64.04,14.54
Round of 32,Mexico,Türkiye,791,7.91,47.03,13.91,39.06,53.22,46.78,13.91
Round of 32,Côte d'Ivoire,Japan,788,7.88,45.3,16.5,38.2,55.08,44.92,16.5
Round of 32,Canada,Brazil,786,7.86,33.97,14.89,51.15,41.09,58.91,14.89
Round of 32,Portugal,Panama,780,7.8,53.08,15.64,31.28,61.15,38.85,15.64
Round of 32,Spain,Norway,778,7.78,51.29,15.81,32.9,59.77,40.23,15.81
Round of 32,Côte d'Ivoire,Netherlands,778,7.78,34.58,18.64,46.79,42.42,57.58,18.64
Round of 32,South Korea,Türkiye,773,7.73,34.67,16.56,48.77,44.76,55.24,16.56
Round of 32,Belgium,Austria,769,7.69,49.93,14.56,35.5,57.35,42.65,14.56
Round of 32,Switzerland,Scotland,768,7.68,46.48,14.32,39.19,54.3,45.7,14.32
Round of 32,Morocco,Sweden,767,7.67,37.29,18.12,44.59,45.76,54.24,18.12
Round of 32,IR Iran,Argentina,766,7.66,30.81,15.8,53.39,38.12,61.88,15.8
Round of 32,Colombia,Panama,760,7.6,46.97,17.37,35.66,55.13,44.87,17.37
Round of 32,Scotland,Netherlands,754,7.54,31.56,16.58,51.86,39.12,60.88,16.58
Round of 32,Canada,Morocco,750,7.5,40.8,15.87,43.33,49.87,50.13,15.87
Round of 32,Qatar,Morocco,750,7.5,36.67,16.4,46.93,45.07,54.93,16.4
Round of 32,Egypt,Austria,748,7.48,38.64,16.98,44.39,46.52,53.48,16.98
Round of 32,Colombia,Ghana,740,7.4,51.35,17.7,30.95,60.54,39.46,17.7
Round of 32,France,Panama,733,7.33,57.3,14.73,27.97,65.76,34.24,14.73
Round of 32,Czechia,Paraguay,726,7.26,45.32,18.46,36.23,56.34,43.66,18.46
Round of 32,Canada,Scotland,724,7.24,43.65,15.47,40.88,50.83,49.17,15.47
