team_a,team_b,occurrences,matchup_prob_pct,p_a_advances,p_b_advances
Spain,Portugal,401,4.01,55.11,44.89
Spain,England,401,4.01,55.61,44.39
Spain,France,293,2.93,53.58,46.42
Spain,Colombia,284,2.84,59.51,40.49
Mexico,Germany,269,2.69,43.87,56.13
Belgium,Portugal,246,2.46,47.15,52.85
Belgium,England,235,2.35,48.51,51.49
Mexico,Netherlands,208,2.08,42.31,57.69
Uruguay,Portugal,204,2.04,48.04,51.96
Switzerland,Netherlands,203,2.03,39.9,60.1
Spain,Croatia,200,2.0,64.0,36.0
Switzerland,Germany,199,1.99,42.21,57.79
Belgium,Argentina,196,1.96,48.98,51.02
Uruguay,England,189,1.89,45.5,54.5
Czechia,Germany,186,1.86,50.0,50.0
France,Argentina,183,1.83,46.45,53.55
Mexico,Côte d'Ivoire,176,1.76,57.95,42.05
Argentina,Portugal,175,1.75,52.57,47.43
Canada,Germany,169,1.69,45.56,54.44
Spain,Argentina,166,1.66,55.42,44.58
