team_a,team_b,occurrences,matchup_prob_pct,p_a_reaches_final,p_b_reaches_final
Argentina,Spain,133,1.33,45.11,54.89
France,Spain,102,1.02,39.22,60.78
Argentina,England,83,0.83,56.63,43.37
England,Spain,80,0.8,42.5,57.5
Portugal,Spain,80,0.8,53.75,46.25
Argentina,Portugal,80,0.8,52.5,47.5
Argentina,France,79,0.79,48.1,51.9
Belgium,France,74,0.74,40.54,59.46
Uruguay,Spain,73,0.73,36.99,63.01
Belgium,Spain,73,0.73,43.84,56.16
Colombia,Portugal,67,0.67,38.81,61.19
Côte d'Ivoire,Germany,66,0.66,45.45,54.55
Spain,France,65,0.65,53.85,46.15
Spain,Portugal,63,0.63,60.32,39.68
Colombia,Spain,62,0.62,35.48,64.52
France,England,62,0.62,58.06,41.94
Brazil,Germany,62,0.62,46.77,53.23
Portugal,France,62,0.62,48.39,51.61
Sweden,Netherlands,61,0.61,57.38,42.62
Netherlands,Brazil,61,0.61,42.62,57.38
