favorite,underdog,elo_gap,upset_count
Germany,Sweden,155,28
IR Iran,Jordan,210,28
Brazil,Sweden,215,23
Belgium,Jordan,340,23
Belgium,Algeria,190,23
Brazil,Japan,150,21
France,Croatia,160,20
France,Ghana,410,19
Uruguay,Norway,185,19
Spain,Iraq,490,18
Colombia,Ghana,300,18
Portugal,Panama,330,17
Portugal,Ghana,320,17
Spain,Senegal,280,15
Ecuador,Tunisia,160,15
France,Panama,420,14
Uruguay,Iraq,330,13
Spain,Norway,345,13
Brazil,Tunisia,320,12
Morocco,Tunisia,210,11
Switzerland,Haiti,330,11
Germany,Tunisia,260,10
Canada,Haiti,265,9
Senegal,Panama,160,8
Senegal,Ghana,150,7
Colombia,Panama,310,7
Colombia,Saudi Arabia,330,7
Switzerland,Uzbekistan,210,6
Switzerland,Bosnia and Herzegovina,215,6
Spain,Saudi Arabia,460,6
Spain,Uruguay,160,6
Spain,Germany,150,5
Spain,Egypt,390,5
Portugal,Bosnia and Herzegovina,365,5
Colombia,Scotland,270,5
Germany,Scotland,250,5
Colombia,Congo DR,320,5
Canada,Qatar,195,5
Canada,Jordan,185,5
Belgium,Australia,160,5
Uruguay,Jordan,350,5
Argentina,Algeria,390,5
Algeria,Jordan,150,4
Uruguay,Algeria,200,4
Belgium,Qatar,350,4
Canada,New Zealand,285,4
Colombia,Haiti,460,4
Germany,Canada,175,4
Czechia,Haiti,210,4
Germany,Côte d'Ivoire,220,4
Germany,Egypt,240,4
Portugal,Tunisia,300,4
IR Iran,Qatar,220,4
Uruguay,Scotland,240,4
Spain,New Zealand,610,4
Argentina,Mexico,340,4
Argentina,IR Iran,330,4
Argentina,Netherlands,170,4
Uruguay,South Africa,340,4
Uruguay,Tunisia,250,4
Uruguay,Uzbekistan,310,4
Spain,Croatia,180,4
Spain,Qatar,520,4
Portugal,Paraguay,285,4
Spain,Congo DR,450,4
Portugal,Scotland,290,4
Belgium,Curaçao,430,3
Argentina,Curaçao,630,3
Uruguay,Mexico,150,3
Austria,Curaçao,310,3
Austria,Congo DR,160,3
Germany,IR Iran,150,3
Germany,Mexico,160,3
Argentina,Scotland,430,3
Germany,Norway,195,3
Argentina,South Korea,350,3
Argentina,South Africa,530,3
Argentina,USA,300,3
Germany,Curaçao,450,3
