team,pred_r32_prob,actual_r32,pred_r16_prob,actual_r16,pred_qf_prob,actual_qf,pred_sf_prob,actual_sf,pred_final_prob,actual_final,pred_champion_prob,actual_champion
Mexico,0.774,1,0.42340000000000005,1,0.231,0,0.11869999999999999,0,0.061,0,0.030299999999999997,0
South Africa,0.5082,1,0.20010000000000003,0,0.0756,0,0.0286,0,0.0089,0,0.0034000000000000002,0
South Korea,0.6708,0,0.3156,0,0.1435,0,0.0655,0,0.029500000000000002,0,0.0134,0
Czechia,0.7165,0,0.35450000000000004,0,0.1761,0,0.0851,0,0.0405,0,0.0173,0
Canada,0.7081999999999999,1,0.3529,1,0.1723,0,0.08529999999999999,0,0.042,0,0.016200000000000003,0
Bosnia and Herzegovina,0.6029,1,0.2579,0,0.1133,0,0.0446,0,0.018500000000000003,0,0.0073,0
Qatar,0.6107,0,0.2728,0,0.12240000000000001,0,0.0509,0,0.0204,0,0.0089,0
Switzerland,0.7548999999999999,1,0.3956,1,0.20440000000000003,1,0.1032,0,0.0519,0,0.023799999999999998,0
Brazil,0.8225,1,0.46659999999999996,1,0.2647,0,0.1515,0,0.0872,0,0.0461,0
Morocco,0.7195999999999999,1,0.3605,1,0.1764,1,0.0851,0,0.039599999999999996,0,0.018000000000000002,0
Haiti,0.4707,0,0.1773,0,0.06559999999999999,0,0.0245,0,0.009300000000000001,0,0.0027,0
Scotland,0.6579,0,0.3085,0,0.1419,0,0.0644,0,0.0291,0,0.013600000000000001,0
USA,0.7775,1,0.4307,1,0.2352,0,0.1234,0,0.0643,0,0.0321,0
Paraguay,0.6133,1,0.2728,1,0.11900000000000001,0,0.0496,0,0.0199,0,0.0086,0
Australia,0.5228,1,0.218,0,0.0864,0,0.0337,0,0.013000000000000001,0,0.0038,0
Türkiye,0.7551000000000001,0,0.40020000000000006,0,0.2086,0,0.10830000000000001,0,0.052300000000000006,0,0.0253,0
Germany,0.8226,1,0.4764,0,0.2732,0,0.1583,0,0.0911,0,0.05,0
Curaçao,0.45539999999999997,0,0.16949999999999998,0,0.061200000000000004,0,0.0232,0,0.0073,0,0.0022,0
Côte d'Ivoire,0.733,1,0.37920000000000004,0,0.1955,0,0.1001,0,0.053899999999999997,0,0.0232,0
Ecuador,0.6570999999999999,1,0.3129,0,0.1482,0,0.0696,0,0.0319,0,0.0147,0
Netherlands,0.7783,1,0.4532,0,0.2623,0,0.1489,0,0.0814,0,0.043899999999999995,0
Japan,0.6585,1,0.3194,0,0.1536,0,0.0784,0,0.0388,0,0.0182,0
Sweden,0.7273000000000001,1,0.3895,0,0.2014,0,0.113,0,0.0579,0,0.0278,0
Tunisia,0.5068,0,0.2102,0,0.0864,0,0.0375,0,0.0163,0,0.0058,0
Belgium,0.8108,1,0.4486,1,0.2323,1,0.12029999999999999,0,0.060599999999999994,0,0.0313,0
Egypt,0.6962999999999999,1,0.33020000000000005,1,0.145,0,0.0645,0,0.028300000000000002,0,0.013000000000000001,0
IR Iran,0.6751999999999999,0,0.3136,0,0.1348,0,0.0576,0,0.0239,0,0.011200000000000002,0
New Zealand,0.4813,0,0.1679,0,0.0575,0,0.0204,0,0.0062,0,0.0031,0
Spain,0.8654999999999999,1,0.5439,1,0.3428,1,0.2071,1,0.1292,1,0.077,1
Cabo Verde,0.49479999999999996,1,0.1928,0,0.08130000000000001,0,0.0327,0,0.011200000000000002,0,0.0051,0
Saudi Arabia,0.5781000000000001,0,0.251,0,0.1115,0,0.0443,0,0.0172,0,0.0070999999999999995,0
Uruguay,0.713,0,0.3589,0,0.193,0,0.09609999999999999,0,0.0443,0,0.0203,0
France,0.8088,1,0.49229999999999996,1,0.301,1,0.17350000000000002,1,0.09939999999999999,0,0.058600000000000006,0
Senegal,0.6828,1,0.36,0,0.19190000000000002,0,0.099,0,0.0489,0,0.0236,0
Iraq,0.5166,0,0.22190000000000001,0,0.09849999999999999,0,0.0416,0,0.0167,0,0.0069,0
Norway,0.6635,1,0.34159999999999996,1,0.17579999999999998,1,0.0857,0,0.042699999999999995,0,0.022799999999999997,0
Argentina,0.818,1,0.5065999999999999,1,0.2927,1,0.1663,1,0.0984,1,0.054299999999999994,0
Algeria,0.6481999999999999,1,0.3354,0,0.1568,0,0.0721,0,0.0302,0,0.0143,0
Austria,0.6329,1,0.3085,0,0.1417,0,0.0626,0,0.0263,0,0.0123,0
Jordan,0.5679,0,0.259,0,0.1114,0,0.0489,0,0.0206,0,0.0075,0
Portugal,0.8358,1,0.5053,1,0.2843,0,0.1606,0,0.0909,0,0.051699999999999996,0
Congo DR,0.595,1,0.2602,0,0.1082,0,0.045899999999999996,0,0.0191,0,0.0083,0
Uzbekistan,0.47600000000000003,0,0.1845,0,0.0632,0,0.022099999999999998,0,0.008,0,0.0027,0
Colombia,0.7579,1,0.4039,1,0.2054,0,0.1052,0,0.0526,0,0.0264,0
England,0.8245,1,0.478,1,0.2785,1,0.1548,1,0.087,0,0.0526,0
Croatia,0.6766,1,0.3188,0,0.15460000000000002,0,0.0717,0,0.0331,0,0.015700000000000002,0
Ghana,0.5613,1,0.2341,0,0.0983,0,0.042800000000000005,0,0.0172,0,0.0076,0
Panama,0.5946,0,0.26530000000000004,0,0.1213,0,0.0528,0,0.022000000000000002,0,0.01,0
