team,champion_pct,p_group_exit,p_elim_r32_given_r32,p_elim_r16_given_r16,p_elim_qf_given_qf,p_elim_sf_given_sf,p_lose_final_given_final
Spain,7.7,13.45,37.16,36.97,39.59,37.61,40.4
France,5.86,19.12,39.13,38.86,42.36,42.71,41.05
Argentina,5.43,18.2,38.07,42.22,43.18,40.83,44.82
England,5.26,17.55,42.03,41.74,44.42,43.8,39.54
Portugal,5.17,16.42,39.54,43.74,43.51,43.4,43.12
Germany,5.0,17.74,42.09,42.65,42.06,42.45,45.12
Brazil,4.61,17.75,43.27,43.27,42.77,42.44,47.13
Netherlands,4.39,22.17,41.77,42.12,43.23,45.33,46.07
USA,3.21,22.25,44.6,45.39,47.53,47.89,50.08
Belgium,3.13,18.92,44.67,48.22,48.21,49.63,48.35
Mexico,3.03,22.6,45.3,45.44,48.61,48.61,50.33
Sweden,2.78,27.27,46.45,48.29,43.89,48.76,51.99
Colombia,2.64,24.21,46.71,49.15,48.78,50.0,49.81
Türkiye,2.53,24.49,47.0,47.88,48.08,51.71,51.63
Switzerland,2.38,24.51,47.6,48.33,49.51,49.71,54.14
Senegal,2.36,31.72,47.28,46.69,48.41,50.61,51.74
Côte d'Ivoire,2.32,26.7,48.27,48.44,48.8,46.15,56.96
Norway,2.28,33.65,48.52,48.54,51.25,50.18,46.6
Uruguay,2.03,28.7,49.66,46.22,50.21,53.9,54.18
Japan,1.82,34.15,51.5,51.91,48.96,50.51,53.09
Morocco,1.8,28.04,49.9,51.07,51.76,53.47,54.55
Czechia,1.73,28.35,50.52,50.32,51.68,52.41,57.28
Canada,1.62,29.18,50.17,51.18,50.49,50.76,61.43
Croatia,1.57,32.34,52.88,51.51,53.62,53.84,52.57
Ecuador,1.47,34.29,52.38,52.64,53.04,54.17,53.92
Algeria,1.43,35.18,48.26,53.25,54.02,58.11,52.65
Scotland,1.36,34.21,53.11,54.0,54.62,54.81,53.26
South Korea,1.34,32.92,52.95,54.53,54.36,54.96,54.58
Egypt,1.3,30.37,52.58,56.09,55.52,56.12,54.06
Austria,1.23,36.71,51.26,54.07,55.82,57.99,53.23
IR Iran,1.12,32.48,53.55,57.02,57.27,58.51,53.14
Panama,1.0,40.54,55.38,54.28,56.47,58.33,54.55
Qatar,0.89,38.93,55.33,55.13,58.42,59.92,56.37
Paraguay,0.86,38.67,55.52,56.38,58.32,59.88,56.78
Congo DR,0.83,40.5,56.27,58.42,57.58,58.39,56.54
Ghana,0.76,43.87,58.29,58.01,56.46,59.81,55.81
Jordan,0.75,43.21,54.39,56.99,56.1,57.87,63.59
Bosnia and Herzegovina,0.73,39.71,57.22,56.07,60.64,58.52,60.54
Saudi Arabia,0.71,42.19,56.58,55.58,60.27,61.17,58.72
Iraq,0.69,48.34,57.05,55.61,57.77,59.86,58.68
Tunisia,0.58,49.32,58.52,58.9,56.6,56.53,64.42
Cabo Verde,0.51,50.52,61.03,57.83,59.78,65.75,54.46
Australia,0.38,47.72,58.3,60.37,61.0,61.42,70.77
South Africa,0.34,49.18,60.63,62.22,62.17,68.88,61.8
New Zealand,0.31,51.87,65.12,65.75,64.52,69.61,50.0
Haiti,0.27,52.93,62.33,63.0,62.65,62.04,70.97
Uzbekistan,0.27,52.4,61.24,65.75,65.03,63.8,66.25
Curaçao,0.22,54.46,62.78,63.89,62.09,68.53,69.86
