team,champion_pct,expected_finish_rank_1_to_48,p_champion,p_runner_up,p_third_place,p_fourth_place,p_qf_exit,p_r16_exit,p_r32_exit,p_group_exit
Spain,7.7,17.17,7.7,5.22,4.78,3.01,13.57,20.11,32.16,13.45
Portugal,5.17,18.68,5.17,3.92,4.21,2.76,12.37,22.1,33.05,16.42
Argentina,5.43,18.87,5.43,4.41,3.92,2.87,12.64,21.39,31.14,18.2
France,5.86,19.11,5.86,4.08,4.38,3.03,12.75,19.13,31.65,19.12
England,5.26,19.25,5.26,3.44,3.88,2.9,12.37,19.95,34.65,17.55
Germany,5.0,19.32,5.0,4.11,3.68,3.04,11.49,20.32,34.62,17.74
Brazil,4.61,19.52,4.61,4.11,3.28,3.15,11.32,20.19,35.59,17.75
Belgium,3.13,20.26,3.13,2.93,3.26,2.71,11.2,21.63,36.22,18.92
Netherlands,4.39,20.42,4.39,3.75,3.81,2.94,11.34,19.09,32.51,22.17
USA,3.21,20.98,3.21,3.22,3.19,2.72,11.18,19.55,34.68,22.25
Mexico,3.03,21.17,3.03,3.07,2.73,3.04,11.23,19.24,35.06,22.6
Colombia,2.64,21.87,2.64,2.62,2.73,2.53,10.02,19.85,35.4,24.21
Türkiye,2.53,21.94,2.53,2.7,2.85,2.75,10.03,19.16,35.49,24.49
Switzerland,2.38,22.04,2.38,2.81,2.5,2.63,10.12,19.12,35.93,24.51
Sweden,2.78,22.53,2.78,3.01,2.8,2.71,8.84,18.81,33.78,27.27
Côte d'Ivoire,2.32,22.64,2.32,3.07,2.27,2.35,9.54,18.37,35.38,26.7
Uruguay,2.03,23.25,2.03,2.4,2.87,2.31,9.69,16.59,35.41,28.7
Morocco,1.8,23.27,1.8,2.16,2.07,2.48,9.13,18.41,35.91,28.04
Czechia,1.73,23.39,1.73,2.32,2.05,2.41,9.1,17.84,36.2,28.35
Canada,1.62,23.56,1.62,2.58,2.2,2.13,8.7,18.06,35.53,29.18
Senegal,2.36,23.71,2.36,2.53,2.61,2.4,9.29,16.81,32.28,31.72
Egypt,1.3,24.28,1.3,1.53,1.81,1.81,8.05,18.52,36.61,30.37
Norway,2.28,24.39,2.28,1.99,1.9,2.4,9.01,16.58,32.19,33.65
Croatia,1.57,24.64,1.57,1.74,1.75,2.11,8.29,16.42,35.78,32.34
South Korea,1.34,24.87,1.34,1.61,1.63,1.97,7.8,17.21,35.52,32.92
Algeria,1.43,24.89,1.43,1.59,2.18,2.01,8.47,17.86,31.28,35.18
Japan,1.82,24.9,1.82,2.06,1.88,2.08,7.52,16.58,33.91,34.15
IR Iran,1.12,24.91,1.12,1.27,1.64,1.73,7.72,17.88,36.16,32.48
Ecuador,1.47,25.07,1.47,1.72,1.67,2.1,7.86,16.47,34.42,34.29
Scotland,1.36,25.17,1.36,1.55,1.68,1.85,7.75,16.66,34.94,34.21
Austria,1.23,25.58,1.23,1.4,1.84,1.79,7.91,16.68,32.44,36.71
Paraguay,0.86,26.51,0.86,1.13,1.31,1.66,6.94,15.38,34.05,38.67
Qatar,0.89,26.53,0.89,1.15,1.21,1.84,7.15,15.04,33.79,38.93
Panama,1.0,26.87,1.0,1.2,1.48,1.6,6.85,14.4,32.93,40.54
Bosnia and Herzegovina,0.73,26.91,0.73,1.12,1.13,1.48,6.87,14.46,34.5,39.71
Congo DR,0.83,27.04,0.83,1.08,1.09,1.59,6.23,15.2,33.48,40.5
Saudi Arabia,0.71,27.41,0.71,1.01,1.01,1.7,6.72,13.95,32.71,42.19
Jordan,0.75,27.46,0.75,1.31,1.12,1.71,6.25,14.76,30.89,43.21
Ghana,0.76,27.96,0.76,0.96,1.12,1.44,5.55,13.58,32.72,43.87
Iraq,0.69,28.83,0.69,0.98,0.97,1.52,5.69,12.34,29.47,48.34
Australia,0.38,28.88,0.38,0.92,0.91,1.16,5.27,13.16,30.48,47.72
Tunisia,0.58,29.21,0.58,1.05,0.92,1.2,4.89,12.38,29.66,49.32
South Africa,0.34,29.41,0.34,0.55,0.71,1.26,4.7,12.45,30.81,49.18
Cabo Verde,0.51,29.66,0.51,0.61,0.85,1.3,4.86,11.15,30.2,50.52
Uzbekistan,0.27,30.21,0.27,0.53,0.52,0.89,4.11,12.13,29.15,52.4
Haiti,0.27,30.36,0.27,0.66,0.53,0.99,4.11,11.17,29.34,52.93
New Zealand,0.31,30.37,0.31,0.31,0.45,0.97,3.71,11.04,31.34,51.87
Curaçao,0.22,30.73,0.22,0.51,0.62,0.97,3.8,10.83,28.59,54.46
