match_idx,date,stage,team_home,team_away,home_elo,away_elo,actual_home_score,actual_away_score,actual_scoreline,actual_outcome,static_p_home,static_p_draw,static_p_away,static_pred_outcome,static_correct,static_log_loss,static_rps,static_brier,static_mode_scoreline,static_score_nll,static_score_hit,mds_p_home,mds_p_draw,mds_p_away,mds_pred_outcome,mds_correct,mds_log_loss,mds_rps,mds_brier,mds_mode_scoreline,mds_score_nll,mds_score_hit
1,2026-06-11,Group Stage,Mexico,South Africa,1810,1620,2,0,2 - 0,Home,0.4806,0.2897,0.2297,Home,1,0.7328,0.1613,0.4065,1 - 1,2.3341,0,0.4811,0.2894,0.2295,Home,1,0.7317,0.161,0.4057,1 - 1,2.3332,0
2,2026-06-11,Group Stage,South Korea,Czechia,1800,1740,2,1,2 - 1,Home,0.3222,0.3082,0.3696,Away,0,1.1325,0.298,0.691,1 - 1,2.6117,0,0.3221,0.3079,0.3701,Away,0,1.133,0.2983,0.6914,1 - 1,2.6144,0
3,2026-06-12,Group Stage,Canada,Bosnia and Herzegovina,1795,1645,1,1,1 - 1,Draw,0.399,0.3055,0.2955,Home,0,1.1858,0.1233,0.7288,1 - 1,1.9379,1,0.3991,0.3054,0.2955,Home,0,1.1862,0.1233,0.7291,1 - 1,1.9394,1
4,2026-06-12,Group Stage,USA,Paraguay,1850,1725,4,1,4 - 1,Home,0.4356,0.2999,0.2645,Home,1,0.8311,0.1943,0.4785,1 - 1,4.3196,0,0.4357,0.2996,0.2647,Home,1,0.8308,0.1942,0.4782,1 - 1,4.3168,0
5,2026-06-13,Group Stage,Qatar,Switzerland,1600,1860,1,1,1 - 1,Draw,0.2811,0.3025,0.4164,Away,0,1.1957,0.1262,0.7389,1 - 1,1.9465,1,0.2817,0.3021,0.4163,Away,0,1.1971,0.1263,0.7397,1 - 1,1.9486,1
6,2026-06-13,Group Stage,Brazil,Morocco,2030,1920,1,1,1 - 1,Draw,0.4028,0.3092,0.288,Home,0,1.1739,0.1226,0.7225,1 - 1,1.9328,1,0.4024,0.3088,0.2888,Home,0,1.1751,0.1227,0.7231,1 - 1,1.9349,1
7,2026-06-13,Group Stage,Haiti,Scotland,1530,1720,0,1,0 - 1,Away,0.2705,0.296,0.4336,Away,1,0.8357,0.197,0.4816,1 - 1,2.2074,0,0.2709,0.2955,0.4336,Away,1,0.8357,0.1971,0.4815,1 - 1,2.2099,0
8,2026-06-13,Group Stage,Australia,Türkiye,1790,1780,2,0,2 - 0,Home,0.2468,0.3017,0.4516,Away,0,1.3993,0.3856,0.8623,1 - 1,3.1146,0,0.2471,0.3014,0.4516,Away,0,1.3981,0.3854,0.8617,1 - 1,3.1128,0
9,2026-06-14,Group Stage,Germany,Curaçao,1970,1520,7,1,7 - 1,Home,0.5328,0.2786,0.1886,Home,1,0.6296,0.1269,0.3315,1 - 1,7.9919,0,0.5323,0.2783,0.1894,Home,1,0.6305,0.1273,0.332,1 - 1,7.966,0
10,2026-06-14,Group Stage,Côte d'Ivoire,Ecuador,1750,1870,1,0,1 - 0,Home,0.3733,0.3137,0.313,Home,1,0.9855,0.2454,0.5892,1 - 1,2.1894,0,0.3734,0.3134,0.3132,Home,1,0.9852,0.2454,0.589,1 - 1,2.1897,0
11,2026-06-14,Group Stage,Netherlands,Japan,1980,1880,2,2,2 - 2,Draw,0.41,0.3119,0.2781,Home,0,1.165,0.1227,0.7189,1 - 1,3.2079,0,0.4104,0.3115,0.2781,Home,0,1.1664,0.1229,0.7198,1 - 1,3.2093,0
12,2026-06-14,Group Stage,Sweden,Tunisia,1815,1710,5,1,5 - 1,Home,0.4452,0.2967,0.2581,Home,1,0.8093,0.1872,0.4625,1 - 1,5.5424,0,0.4452,0.2963,0.2585,Home,1,0.8092,0.1873,0.4624,1 - 1,5.5325,0
13,2026-06-15,Group Stage,Saudi Arabia,Uruguay,1660,1960,1,1,1 - 1,Draw,0.2851,0.3076,0.4073,Away,0,1.1789,0.1236,0.7266,1 - 1,1.936,1,0.2859,0.307,0.407,Away,0,1.1808,0.1237,0.7276,1 - 1,1.9383,1
14,2026-06-15,Group Stage,Spain,Cabo Verde,2120,1640,0,0,0 - 0,Draw,0.546,0.2782,0.1758,Home,0,1.2794,0.1645,0.85,1 - 0,2.2246,0,0.5459,0.2779,0.1762,Home,0,1.2804,0.1645,0.8504,1 - 0,2.225,0
15,2026-06-15,Group Stage,Belgium,Egypt,1950,1730,1,1,1 - 1,Draw,0.4102,0.3082,0.2816,Home,0,1.1769,0.1238,0.7261,1 - 1,1.9358,1,0.4105,0.3078,0.2817,Home,0,1.1785,0.1239,0.7271,1 - 1,1.9382,1
16,2026-06-15,Group Stage,IR Iran,New Zealand,1820,1510,2,2,2 - 2,Draw,0.4379,0.2962,0.2659,Home,0,1.2167,0.1312,0.7578,1 - 1,3.0969,0,0.4378,0.2958,0.2664,Home,0,1.218,0.1313,0.7585,1 - 1,3.0976,0
17,2026-06-16,Group Stage,France,Senegal,2100,1840,3,1,3 - 1,Home,0.42,0.2987,0.2812,Home,1,0.8675,0.2077,0.5047,1 - 1,3.2502,0,0.4202,0.2983,0.2815,Home,1,0.8671,0.2077,0.5044,1 - 1,3.2499,0
18,2026-06-16,Group Stage,Iraq,Norway,1630,1775,1,4,1 - 4,Away,0.2849,0.2974,0.4177,Away,1,0.873,0.2101,0.5087,1 - 1,4.3302,0,0.2853,0.2969,0.4178,Away,1,0.8727,0.2102,0.5085,1 - 1,4.3238,0
19,2026-06-16,Group Stage,Argentina,Algeria,2150,1760,3,0,3 - 0,Home,0.4408,0.3002,0.259,Home,1,0.8191,0.1899,0.4698,1 - 1,3.2165,0,0.4409,0.2997,0.2594,Home,1,0.819,0.19,0.4698,1 - 1,3.2146,0
20,2026-06-16,Group Stage,Austria,Jordan,1830,1610,3,1,3 - 1,Home,0.3741,0.3126,0.3133,Home,1,0.9833,0.245,0.5877,1 - 1,3.461,0,0.3745,0.312,0.3134,Home,1,0.9821,0.2447,0.5868,1 - 1,3.4581,0
21,2026-06-17,Group Stage,Portugal,Congo DR,2010,1670,1,1,1 - 1,Draw,0.4841,0.2892,0.2267,Home,0,1.2408,0.1429,0.7911,1 - 1,1.9913,1,0.484,0.2888,0.2272,Home,0,1.242,0.1429,0.7917,1 - 1,1.9934,1
22,2026-06-17,Group Stage,Uzbekistan,Colombia,1650,1990,1,3,1 - 3,Away,0.2254,0.2947,0.4799,Away,1,0.7341,0.1606,0.4081,1 - 1,3.1596,0,0.2259,0.2945,0.4796,Away,1,0.7348,0.1609,0.4086,1 - 1,3.1609,0
23,2026-06-17,Group Stage,England,Croatia,2050,1940,4,2,4 - 2,Home,0.4305,0.3072,0.2623,Home,1,0.8428,0.1966,0.4875,1 - 1,5.1596,0,0.4305,0.3068,0.2627,Home,1,0.8429,0.1967,0.4875,1 - 1,5.1557,0
24,2026-06-17,Group Stage,Ghana,Panama,1690,1680,1,0,1 - 0,Home,0.3262,0.3127,0.361,Away,0,1.1201,0.2922,0.6821,1 - 1,2.2958,0,0.3267,0.3123,0.361,Away,0,1.1187,0.2918,0.6812,1 - 1,2.2961,0
25,2026-06-18,Group Stage,Canada,Qatar,1795,1600,6,0,6 - 0,Home,0.3952,0.3045,0.3003,Home,1,0.9283,0.228,0.5486,1 - 1,7.4833,0,0.3956,0.304,0.3003,Home,1,0.9272,0.2277,0.5479,1 - 1,7.4566,0
26,2026-06-18,Group Stage,Switzerland,Bosnia and Herzegovina,1860,1645,4,1,4 - 1,Home,0.4201,0.3033,0.2765,Home,1,0.8672,0.2064,0.5047,1 - 1,4.3998,0,0.4204,0.303,0.2766,Home,1,0.8666,0.2062,0.5043,1 - 1,4.3953,0
27,2026-06-18,Group Stage,Czechia,South Africa,1740,1620,1,1,1 - 1,Draw,0.4461,0.293,0.261,Home,0,1.2277,0.1335,0.767,1 - 1,1.9723,1,0.4464,0.2925,0.261,Home,0,1.2292,0.1337,0.768,1 - 1,1.9746,1
28,2026-06-18,Group Stage,Mexico,South Korea,1810,1800,1,0,1 - 0,Home,0.4029,0.3099,0.2872,Home,1,0.9091,0.2195,0.5351,1 - 1,2.1517,0,0.4031,0.3094,0.2875,Home,1,0.9086,0.2195,0.5347,1 - 1,2.153,0
29,2026-06-19,Group Stage,Scotland,Morocco,1720,1920,0,1,0 - 1,Away,0.3126,0.3128,0.3746,Away,1,0.9818,0.2444,0.5866,1 - 1,2.1946,0,0.3127,0.3125,0.3748,Away,1,0.9815,0.2443,0.5864,1 - 1,2.1943,0
30,2026-06-19,Group Stage,Brazil,Haiti,2030,1530,3,0,3 - 0,Home,0.534,0.2711,0.1949,Home,1,0.6274,0.1276,0.3287,1 - 1,2.8547,0,0.5327,0.2712,0.1962,Home,1,0.6299,0.1284,0.3304,1 - 1,2.8585,0
31,2026-06-19,Group Stage,USA,Australia,1850,1790,2,0,2 - 0,Home,0.4731,0.2933,0.2336,Home,1,0.7484,0.1661,0.4182,1 - 1,2.3423,0,0.4731,0.2931,0.2338,Home,1,0.7484,0.1661,0.4181,1 - 1,2.3426,0
32,2026-06-19,Group Stage,Türkiye,Paraguay,1780,1725,0,1,0 - 1,Away,0.4148,0.307,0.2783,Home,0,1.2792,0.3465,0.7872,1 - 1,2.4216,0,0.4139,0.3066,0.2795,Home,0,1.2748,0.3452,0.7845,1 - 1,2.4204,0
33,2026-06-20,Group Stage,Germany,Côte d'Ivoire,1970,1750,2,1,2 - 1,Home,0.4015,0.3095,0.2891,Home,1,0.9127,0.2209,0.5376,1 - 1,2.4964,0,0.4019,0.3088,0.2893,Home,1,0.9115,0.2207,0.5367,1 - 1,2.4971,0
34,2026-06-20,Group Stage,Ecuador,Curaçao,1870,1520,0,0,0 - 0,Draw,0.4364,0.3047,0.2589,Home,0,1.1884,0.1287,0.7409,1 - 1,2.1659,0,0.4368,0.3043,0.2589,Home,0,1.1898,0.1289,0.7419,1 - 1,2.1667,0
35,2026-06-20,Group Stage,Netherlands,Sweden,1980,1815,5,1,5 - 1,Home,0.3868,0.3056,0.3076,Home,1,0.9498,0.2353,0.564,1 - 1,5.9174,0,0.3871,0.3053,0.3076,Home,1,0.949,0.2351,0.5634,1 - 1,5.9071,0
36,2026-06-20,Group Stage,Tunisia,Japan,1710,1880,0,4,0 - 4,Away,0.281,0.3112,0.4078,Away,1,0.8969,0.2148,0.5265,1 - 1,4.5313,0,0.2809,0.3107,0.4084,Away,1,0.8955,0.2144,0.5254,1 - 1,4.5204,0
37,2026-06-21,Group Stage,Spain,Saudi Arabia,2120,1660,4,0,4 - 0,Home,0.5079,0.2884,0.2037,Home,1,0.6775,0.1418,0.3669,1 - 1,3.9391,0,0.5073,0.2883,0.2044,Home,1,0.6786,0.1423,0.3676,1 - 1,3.9362,0
38,2026-06-21,Group Stage,Uruguay,Cabo Verde,1960,1640,2,2,2 - 2,Draw,0.4454,0.304,0.2506,Home,0,1.1909,0.1306,0.7457,1 - 1,3.2051,0,0.4459,0.3034,0.2507,Home,0,1.1927,0.1308,0.7469,1 - 1,3.2053,0
39,2026-06-21,Group Stage,New Zealand,Egypt,1510,1730,1,3,1 - 3,Away,0.2554,0.2997,0.4449,Away,1,0.81,0.1867,0.4633,1 - 1,3.2243,0,0.256,0.2995,0.4445,Away,1,0.8109,0.1871,0.4639,1 - 1,3.2259,0
40,2026-06-21,Group Stage,Belgium,IR Iran,1950,1820,0,0,0 - 0,Draw,0.4253,0.3011,0.2736,Home,0,1.2004,0.1279,0.7443,1 - 1,2.23,0,0.4256,0.3007,0.2737,Home,0,1.2017,0.128,0.7451,1 - 1,2.2301,0
41,2026-06-22,Group Stage,France,Iraq,2100,1630,3,0,3 - 0,Home,0.502,0.2851,0.213,Home,1,0.6892,0.1467,0.3747,1 - 1,2.9691,0,0.5027,0.2846,0.2127,Home,1,0.6878,0.1463,0.3736,1 - 1,2.965,0
42,2026-06-22,Group Stage,Norway,Senegal,1775,1840,3,2,3 - 2,Home,0.3374,0.2979,0.3647,Away,0,1.0864,0.286,0.6607,1 - 1,3.9272,0,0.3373,0.2973,0.3654,Away,0,1.0867,0.2863,0.661,1 - 1,3.926,0
43,2026-06-22,Group Stage,Argentina,Austria,2150,1830,2,0,2 - 0,Home,0.4407,0.3074,0.2519,Home,1,0.8193,0.1881,0.4707,1 - 1,2.3925,0,0.4404,0.3071,0.2525,Home,1,0.82,0.1884,0.4712,1 - 1,2.3941,0
44,2026-06-22,Group Stage,Jordan,Algeria,1610,1760,1,2,1 - 2,Away,0.3106,0.304,0.3854,Away,1,0.9534,0.2371,0.5666,1 - 1,2.4959,0,0.3115,0.3037,0.3848,Away,1,0.9549,0.2377,0.5677,1 - 1,2.4989,0
45,2026-06-23,Group Stage,Portugal,Uzbekistan,2010,1650,5,0,5 - 0,Home,0.5332,0.2806,0.1861,Home,1,0.6288,0.1263,0.3313,1 - 0,4.9796,0,0.5329,0.2805,0.1867,Home,1,0.6295,0.1265,0.3317,1 - 0,4.9706,0
46,2026-06-23,Group Stage,Colombia,Congo DR,1990,1670,1,0,1 - 0,Home,0.43,0.2986,0.2714,Home,1,0.8439,0.1992,0.4877,1 - 1,2.1895,0,0.4308,0.2981,0.2711,Home,1,0.8422,0.1988,0.4864,1 - 1,2.19,0
47,2026-06-23,Group Stage,England,Ghana,2050,1690,0,0,0 - 0,Draw,0.49,0.2892,0.2208,Home,0,1.2405,0.1444,0.794,1 - 1,2.2538,0,0.4902,0.2889,0.2209,Home,0,1.2417,0.1446,0.7948,1 - 1,2.2532,0
48,2026-06-23,Group Stage,Panama,Croatia,1680,1940,0,1,0 - 1,Away,0.3091,0.3178,0.373,Away,1,0.9861,0.2443,0.5897,1 - 1,2.1538,0,0.3085,0.3174,0.3741,Away,1,0.9832,0.2435,0.5877,1 - 1,2.1528,0
49,2026-06-24,Group Stage,Morocco,Haiti,1920,1530,4,2,4 - 2,Home,0.4682,0.2893,0.2424,Home,1,0.7588,0.1708,0.4253,1 - 1,4.8373,0,0.4683,0.289,0.2427,Home,1,0.7587,0.1708,0.4252,1 - 1,4.8352,0
50,2026-06-24,Group Stage,Scotland,Brazil,1720,2030,0,3,0 - 3,Away,0.2598,0.3042,0.436,Away,1,0.8301,0.1928,0.4781,1 - 1,3.2388,0,0.2601,0.3036,0.4363,Away,1,0.8295,0.1927,0.4776,1 - 1,3.2358,0
51,2026-06-24,Group Stage,Bosnia and Herzegovina,Qatar,1645,1600,3,1,3 - 1,Home,0.3404,0.3101,0.3495,Away,0,1.0777,0.2786,0.6534,1 - 1,3.5482,0,0.3414,0.3097,0.3489,Away,0,1.0747,0.2778,0.6514,1 - 1,3.5436,0
52,2026-06-24,Group Stage,Canada,Switzerland,1795,1860,1,2,1 - 2,Away,0.3268,0.3053,0.3679,Away,1,1.0,0.2532,0.5996,1 - 1,2.5229,0,0.3272,0.3049,0.3679,Away,1,0.9999,0.2533,0.5995,1 - 1,2.5248,0
