match_idx,date,stage,favorite,underdog,favorite_elo,underdog_elo,static_fav_prob,mds_fav_prob,actual_scoreline,actual_outcome,static_log_loss,mds_log_loss,mds_log_loss_improvement
14,2026-06-15,Group Stage,Spain,Cabo Verde,2120,1640,0.546,0.546,0 - 0,Draw,1.2794,1.2804,-0.001
47,2026-06-23,Group Stage,England,Ghana,2050,1690,0.49,0.49,0 - 0,Draw,1.2405,1.2417,-0.0012
21,2026-06-17,Group Stage,Portugal,Congo DR,2010,1670,0.484,0.484,1 - 1,Draw,1.2408,1.242,-0.0012
75,2026-06-29,Round of 32,Germany,Paraguay,1970,1725,0.47,0.47,1 - 1,Draw,1.2141,1.215,-0.0009
8,2026-06-13,Group Stage,Türkiye,Australia,1780,1790,0.452,0.452,2 - 0,Home,1.3993,1.3981,0.0012
27,2026-06-18,Group Stage,Czechia,South Africa,1740,1620,0.446,0.446,1 - 1,Draw,1.2277,1.2292,-0.0015
38,2026-06-21,Group Stage,Uruguay,Cabo Verde,1960,1640,0.445,0.446,2 - 2,Draw,1.1909,1.1927,-0.0018
16,2026-06-15,Group Stage,IR Iran,New Zealand,1820,1510,0.438,0.438,2 - 2,Draw,1.2167,1.218,-0.0013
34,2026-06-20,Group Stage,Ecuador,Curaçao,1870,1520,0.436,0.437,0 - 0,Draw,1.1884,1.1898,-0.0014
58,2026-06-25,Group Stage,Germany,Ecuador,1970,1870,0.431,0.43,2 - 1,Home,1.3446,1.342,0.0026
40,2026-06-21,Group Stage,Belgium,IR Iran,1950,1820,0.425,0.426,0 - 0,Draw,1.2004,1.2017,-0.0013
53,2026-06-24,Group Stage,South Korea,South Africa,1800,1620,0.42,0.42,1 - 0,Home,1.264,1.2637,0.0003
5,2026-06-13,Group Stage,Switzerland,Qatar,1860,1600,0.416,0.416,1 - 1,Draw,1.1957,1.1971,-0.0014
32,2026-06-19,Group Stage,Türkiye,Paraguay,1780,1725,0.415,0.414,0 - 1,Away,1.2792,1.2748,0.0044
15,2026-06-15,Group Stage,Belgium,Egypt,1950,1730,0.41,0.41,1 - 1,Draw,1.1769,1.1785,-0.0016
11,2026-06-14,Group Stage,Netherlands,Japan,1980,1880,0.41,0.41,2 - 2,Draw,1.165,1.1664,-0.0014
76,2026-06-29,Round of 32,Netherlands,Morocco,1980,1920,0.409,0.408,1 - 1,Draw,1.1732,1.1745,-0.0013
13,2026-06-15,Group Stage,Uruguay,Saudi Arabia,1960,1660,0.407,0.407,1 - 1,Draw,1.1789,1.1808,-0.0019
6,2026-06-13,Group Stage,Brazil,Morocco,2030,1920,0.403,0.402,1 - 1,Draw,1.1739,1.1751,-0.0012
86,2026-07-03,Round of 32,Egypt,Australia,1730,1790,0.403,0.403,1 - 1,Draw,1.1726,1.174,-0.0014
