group,team,elo,avg_group_points,group_qual_pct,group_exit_pct,round_of_32_pct,round_of_16_pct
Group A,Mexico,1810,4.69,77.4,22.6,77.4,42.34
Group A,South Africa,1620,3.21,50.82,49.18,50.82,20.01
Group A,South Korea,1800,4.0,67.08,32.92,67.08,31.56
Group A,Czechia,1740,4.29,71.65,28.35,71.65,35.45
Group B,Canada,1795,4.28,70.82,29.18,70.82,35.29
Group B,Bosnia and Herzegovina,1645,3.65,60.29,39.71,60.29,25.79
Group B,Qatar,1600,3.7,61.07,38.93,61.07,27.28
Group B,Switzerland,1860,4.53,75.49,24.51,75.49,39.56
Group C,Brazil,2030,5.01,82.25,17.75,82.25,46.66
Group C,Morocco,1920,4.31,71.96,28.04,71.96,36.05
Group C,Haiti,1530,3.0,47.07,52.93,47.07,17.73
Group C,Scotland,1720,3.91,65.79,34.21,65.79,30.85
Group D,USA,1850,4.7,77.75,22.25,77.75,43.07
Group D,Paraguay,1725,3.69,61.33,38.67,61.33,27.28
Group D,Australia,1790,3.27,52.28,47.72,52.28,21.8
Group D,Türkiye,1780,4.53,75.51,24.49,75.51,40.02
Group E,Germany,1970,4.98,82.26,17.74,82.26,47.64
Group E,Curaçao,1520,2.92,45.54,54.46,45.54,16.95
Group E,Côte d'Ivoire,1750,4.34,73.3,26.7,73.3,37.92
Group E,Ecuador,1870,3.94,65.71,34.29,65.71,31.29
Group F,Netherlands,1980,4.75,77.83,22.17,77.83,45.32
Group F,Japan,1880,3.91,65.85,34.15,65.85,31.94
Group F,Sweden,1815,4.31,72.73,27.27,72.73,38.95
Group F,Tunisia,1710,3.2,50.68,49.32,50.68,21.02
Group G,Belgium,1950,4.97,81.08,18.92,81.08,44.86
Group G,Egypt,1730,4.15,69.63,30.37,69.63,33.02
Group G,IR Iran,1820,4.05,67.52,32.48,67.52,31.36
Group G,New Zealand,1510,3.05,48.13,51.87,48.13,16.79
Group H,Spain,2120,5.38,86.55,13.45,86.55,54.39
Group H,Cabo Verde,1640,3.1,49.48,50.52,49.48,19.28
Group H,Saudi Arabia,1660,3.5,57.81,42.19,57.81,25.1
Group H,Uruguay,1960,4.24,71.3,28.7,71.3,35.89
Group I,France,2100,4.96,80.88,19.12,80.88,49.23
Group I,Senegal,1840,4.1,68.28,31.72,68.28,36.0
Group I,Iraq,1630,3.2,51.66,48.34,51.66,22.19
Group I,Norway,1775,3.97,66.35,33.65,66.35,34.16
Group J,Argentina,2150,4.99,81.8,18.2,81.8,50.66
Group J,Algeria,1760,3.89,64.82,35.18,64.82,33.54
Group J,Austria,1830,3.83,63.29,36.71,63.29,30.85
Group J,Jordan,1610,3.48,56.79,43.21,56.79,25.9
Group K,Portugal,2010,5.12,83.58,16.42,83.58,50.53
Group K,Congo DR,1670,3.58,59.5,40.5,59.5,26.02
Group K,Uzbekistan,1650,3.01,47.6,52.4,47.6,18.45
Group K,Colombia,1990,4.52,75.79,24.21,75.79,40.39
Group L,England,2050,5.03,82.45,17.55,82.45,47.8
Group L,Croatia,1940,4.05,67.66,32.34,67.66,31.88
Group L,Ghana,1690,3.46,56.13,43.87,56.13,23.41
Group L,Panama,1680,3.61,59.46,40.54,59.46,26.53
