team,group,round_of_32_pct,round_of_16_pct,quarter_final_pct,semi_final_pct,final_pct,third_place_pct,champion_pct
Spain,Group H,86.55,54.39,34.28,20.71,12.92,4.78,7.7
France,Group I,80.88,49.23,30.1,17.35,9.94,4.38,5.86
Argentina,Group J,81.8,50.66,29.27,16.63,9.84,3.92,5.43
England,Group L,82.45,47.8,27.85,15.48,8.7,3.88,5.26
Portugal,Group K,83.58,50.53,28.43,16.06,9.09,4.21,5.17
Germany,Group E,82.26,47.64,27.32,15.83,9.11,3.68,5.0
Brazil,Group C,82.25,46.66,26.47,15.15,8.72,3.28,4.61
Netherlands,Group F,77.83,45.32,26.23,14.89,8.14,3.81,4.39
USA,Group D,77.75,43.07,23.52,12.34,6.43,3.19,3.21
Belgium,Group G,81.08,44.86,23.23,12.03,6.06,3.26,3.13
Mexico,Group A,77.4,42.34,23.1,11.87,6.1,2.73,3.03
Sweden,Group F,72.73,38.95,20.14,11.3,5.79,2.8,2.78
Colombia,Group K,75.79,40.39,20.54,10.52,5.26,2.73,2.64
Türkiye,Group D,75.51,40.02,20.86,10.83,5.23,2.85,2.53
Switzerland,Group B,75.49,39.56,20.44,10.32,5.19,2.5,2.38
Senegal,Group I,68.28,36.0,19.19,9.9,4.89,2.61,2.36
Côte d'Ivoire,Group E,73.3,37.92,19.55,10.01,5.39,2.27,2.32
Norway,Group I,66.35,34.16,17.58,8.57,4.27,1.9,2.28
Uruguay,Group H,71.3,35.89,19.3,9.61,4.43,2.87,2.03
Japan,Group F,65.85,31.94,15.36,7.84,3.88,1.88,1.82
Morocco,Group C,71.96,36.05,17.64,8.51,3.96,2.07,1.8
Czechia,Group A,71.65,35.45,17.61,8.51,4.05,2.05,1.73
Canada,Group B,70.82,35.29,17.23,8.53,4.2,2.2,1.62
Croatia,Group L,67.66,31.88,15.46,7.17,3.31,1.75,1.57
Ecuador,Group E,65.71,31.29,14.82,6.96,3.19,1.67,1.47
Algeria,Group J,64.82,33.54,15.68,7.21,3.02,2.18,1.43
Scotland,Group C,65.79,30.85,14.19,6.44,2.91,1.68,1.36
South Korea,Group A,67.08,31.56,14.35,6.55,2.95,1.63,1.34
Egypt,Group G,69.63,33.02,14.5,6.45,2.83,1.81,1.3
Austria,Group J,63.29,30.85,14.17,6.26,2.63,1.84,1.23
IR Iran,Group G,67.52,31.36,13.48,5.76,2.39,1.64,1.12
Panama,Group L,59.46,26.53,12.13,5.28,2.2,1.48,1.0
Qatar,Group B,61.07,27.28,12.24,5.09,2.04,1.21,0.89
Paraguay,Group D,61.33,27.28,11.9,4.96,1.99,1.31,0.86
Congo DR,Group K,59.5,26.02,10.82,4.59,1.91,1.09,0.83
Ghana,Group L,56.13,23.41,9.83,4.28,1.72,1.12,0.76
Jordan,Group J,56.79,25.9,11.14,4.89,2.06,1.12,0.75
Bosnia and Herzegovina,Group B,60.29,25.79,11.33,4.46,1.85,1.13,0.73
Saudi Arabia,Group H,57.81,25.1,11.15,4.43,1.72,1.01,0.71
Iraq,Group I,51.66,22.19,9.85,4.16,1.67,0.97,0.69
Tunisia,Group F,50.68,21.02,8.64,3.75,1.63,0.92,0.58
Cabo Verde,Group H,49.48,19.28,8.13,3.27,1.12,0.85,0.51
Australia,Group D,52.28,21.8,8.64,3.37,1.3,0.91,0.38
South Africa,Group A,50.82,20.01,7.56,2.86,0.89,0.71,0.34
New Zealand,Group G,48.13,16.79,5.75,2.04,0.62,0.45,0.31
Haiti,Group C,47.07,17.73,6.56,2.45,0.93,0.53,0.27
Uzbekistan,Group K,47.6,18.45,6.32,2.21,0.8,0.52,0.27
Curaçao,Group E,45.54,16.95,6.12,2.32,0.73,0.62,0.22
