team,formation,starting_xi_count,bench_count,avg_positional_fit,min_positional_fit,status,notes
Mexico,4-3-3,11,15,0.882,0.6,VALID,None
South Africa,4-3-3,11,15,0.882,0.6,VALID,None
South Korea,4-3-3,11,15,0.882,0.6,VALID,None
Czechia,4-3-3,11,15,0.882,0.6,VALID,None
Canada,4-3-3,11,15,0.882,0.6,VALID,None
Bosnia and Herzegovina,4-3-3,11,15,0.882,0.6,VALID,None
Qatar,4-3-3,11,15,0.882,0.6,VALID,None
Switzerland,4-3-3,11,15,0.882,0.6,VALID,None
Brazil,4-3-3,11,15,0.882,0.6,VALID,None
Morocco,4-3-3,11,15,0.882,0.6,VALID,None
Haiti,4-3-3,11,15,0.882,0.6,VALID,None
Scotland,4-3-3,11,15,0.882,0.6,VALID,None
USA,4-3-3,11,15,0.882,0.6,VALID,None
Paraguay,4-3-3,11,15,0.882,0.6,VALID,None
Australia,4-3-3,11,15,0.882,0.6,VALID,None
Türkiye,4-3-3,11,15,0.882,0.6,VALID,None
Germany,4-3-3,11,15,0.882,0.6,VALID,None
Curaçao,4-3-3,11,15,0.882,0.6,VALID,None
Côte d'Ivoire,4-3-3,11,15,0.882,0.6,VALID,None
Ecuador,4-3-3,11,15,0.882,0.6,VALID,None
Netherlands,4-3-3,11,15,0.882,0.6,VALID,None
Japan,4-3-3,11,15,0.882,0.6,VALID,None
Sweden,4-3-3,11,15,0.882,0.6,VALID,None
Tunisia,4-3-3,11,15,0.882,0.6,VALID,None
Belgium,4-3-3,11,15,0.882,0.6,VALID,None
Egypt,4-3-3,11,15,0.882,0.6,VALID,None
IR Iran,4-3-3,11,15,0.882,0.6,VALID,None
New Zealand,4-3-3,11,15,0.882,0.6,VALID,None
Spain,4-3-3,11,15,0.882,0.6,VALID,None
Cabo Verde,4-3-3,11,15,0.872,0.49,VALID,None
Saudi Arabia,4-3-3,11,15,0.882,0.6,VALID,None
Uruguay,4-3-3,11,15,0.882,0.6,VALID,None
France,4-3-3,11,15,0.882,0.6,VALID,None
Senegal,4-3-3,11,15,0.882,0.6,VALID,None
Iraq,4-3-3,11,15,0.882,0.6,VALID,None
Norway,4-3-3,11,15,0.882,0.6,VALID,None
Argentina,4-3-3,11,15,0.882,0.6,VALID,None
Algeria,4-3-3,11,15,0.882,0.6,VALID,None
Austria,4-3-3,11,15,0.872,0.49,VALID,None
Jordan,4-3-3,11,15,0.882,0.6,VALID,None
Portugal,4-3-3,11,15,0.882,0.6,VALID,None
Congo DR,4-3-3,11,15,0.882,0.6,VALID,None
Uzbekistan,4-3-3,11,15,0.882,0.6,VALID,None
Colombia,4-3-3,11,15,0.882,0.6,VALID,None
England,4-3-3,11,15,0.882,0.6,VALID,None
Croatia,4-3-3,11,15,0.882,0.6,VALID,None
Ghana,4-3-3,11,15,0.882,0.6,VALID,None
Panama,4-3-3,11,15,0.882,0.6,VALID,None
