matchup,sim_run,team_a_atk,team_a_def,team_b_atk,team_b_def,lambda_a (xG),lambda_b (xG)
Spain vs Uruguay,1,67.88,82.82,63.09,74.88,1.675,0.805
Spain vs Uruguay,2,65.47,79.94,62.55,75.24,1.713,0.874
Spain vs Uruguay,3,66.26,78.7,59.85,77.06,1.498,0.755
Spain vs Uruguay,4,68.76,81.11,59.25,75.62,1.669,0.804
Spain vs Uruguay,5,65.16,82.89,60.14,70.16,1.815,0.725
France vs Norway,1,68.68,80.58,66.95,71.31,1.925,0.997
France vs Norway,2,70.19,82.81,65.69,69.42,1.932,0.981
France vs Norway,3,68.32,79.84,60.34,72.3,1.874,0.799
France vs Norway,4,69.89,78.87,63.38,74.45,1.791,0.896
France vs Norway,5,71.37,81.77,65.29,69.25,2.102,0.935
Argentina vs Algeria,1,64.91,83.19,61.39,73.03,1.559,0.833
Argentina vs Algeria,2,66.78,79.5,61.67,73.5,1.804,0.881
Argentina vs Algeria,3,67.06,79.36,63.37,74.37,1.69,0.906
Argentina vs Algeria,4,68.76,81.42,59.65,73.92,1.788,0.847
Argentina vs Algeria,5,65.42,81.07,62.82,71.84,1.611,0.986
England vs Croatia,1,67.01,79.63,60.27,75.21,1.973,0.791
England vs Croatia,2,65.79,79.11,58.04,73.45,1.69,0.771
England vs Croatia,3,64.47,79.17,61.72,76.82,1.564,0.959
England vs Croatia,4,66.23,77.71,59.91,76.1,1.632,0.832
England vs Croatia,5,65.81,79.99,59.88,75.31,1.576,0.847
