team,players,duplicate_players,missing_ovr,gk_count,avg_ovr,top_ovr,issues
Mexico,26,0,0,3,82.54,86.0,None
South Africa,26,0,0,3,70.96,79.0,None
South Korea,26,0,0,3,74.38,85.0,None
Czechia,26,0,0,3,76.88,84.0,None
Canada,26,0,0,3,76.54,87.0,None
Bosnia and Herzegovina,26,0,0,3,74.85,84.0,None
Qatar,26,0,0,3,77.04,80.0,None
Switzerland,26,0,0,3,80.23,87.0,None
Brazil,26,0,0,3,85.58,89.0,None
Morocco,26,0,0,3,79.69,92.0,None
Haiti,26,0,0,3,67.77,82.0,None
Scotland,26,0,0,3,74.85,82.0,None
USA,26,0,0,3,79.88,88.0,None
Paraguay,26,0,0,3,77.0,80.0,None
Australia,26,0,0,3,71.77,81.0,None
Türkiye,26,0,0,3,80.27,90.0,None
Germany,26,0,0,3,85.04,91.0,None
Curaçao,26,0,0,3,68.96,77.0,None
Côte d'Ivoire,26,0,0,3,80.62,90.0,None
Ecuador,26,0,0,3,79.42,83.0,None
Netherlands,26,0,0,3,84.04,90.0,None
Japan,26,0,0,3,78.15,86.0,None
Sweden,26,0,0,3,78.46,91.0,None
Tunisia,26,0,0,3,71.77,83.0,None
Belgium,26,0,0,3,83.73,90.0,None
Egypt,26,0,0,4,78.62,86.0,None
IR Iran,26,0,0,3,73.58,85.0,None
New Zealand,26,0,0,3,69.23,79.0,None
Spain,26,0,0,3,89.38,94.0,None
Cabo Verde,26,0,0,3,75.38,80.0,None
Saudi Arabia,26,0,0,3,77.08,80.0,None
Uruguay,26,0,0,3,80.96,84.0,None
France,26,0,0,3,86.77,94.0,None
Senegal,26,0,0,3,80.08,88.0,None
Iraq,26,0,0,3,76.58,81.0,None
Norway,26,0,0,3,79.54,94.0,None
Argentina,26,0,0,3,84.04,92.0,None
Algeria,26,0,0,3,76.08,87.0,None
Austria,26,0,0,3,78.15,86.0,None
Jordan,26,0,0,3,76.0,80.0,None
Portugal,26,0,0,3,86.42,93.0,None
Congo DR,26,0,0,3,75.31,86.0,None
Uzbekistan,26,0,0,3,70.35,88.0,None
Colombia,26,0,0,3,82.58,89.0,None
England,26,0,0,3,86.15,93.0,None
Croatia,26,0,0,3,79.88,90.0,None
Ghana,26,0,0,3,75.54,90.0,None
Panama,26,0,0,3,78.46,82.0,None
