team,r32,r16,qf,sf,final,champion,monotonic_valid,status
Mexico,77.4,42.34,23.1,11.87,6.1,3.03,True,PASS
South Africa,50.82,20.01,7.56,2.86,0.89,0.34,True,PASS
South Korea,67.08,31.56,14.35,6.55,2.95,1.34,True,PASS
Czechia,71.65,35.45,17.61,8.51,4.05,1.73,True,PASS
Canada,70.82,35.29,17.23,8.53,4.2,1.62,True,PASS
Bosnia and Herzegovina,60.29,25.79,11.33,4.46,1.85,0.73,True,PASS
Qatar,61.07,27.28,12.24,5.09,2.04,0.89,True,PASS
Switzerland,75.49,39.56,20.44,10.32,5.19,2.38,True,PASS
Brazil,82.25,46.66,26.47,15.15,8.72,4.61,True,PASS
Morocco,71.96,36.05,17.64,8.51,3.96,1.8,True,PASS
Haiti,47.07,17.73,6.56,2.45,0.93,0.27,True,PASS
Scotland,65.79,30.85,14.19,6.44,2.91,1.36,True,PASS
USA,77.75,43.07,23.52,12.34,6.43,3.21,True,PASS
Paraguay,61.33,27.28,11.9,4.96,1.99,0.86,True,PASS
Australia,52.28,21.8,8.64,3.37,1.3,0.38,True,PASS
Türkiye,75.51,40.02,20.86,10.83,5.23,2.53,True,PASS
Germany,82.26,47.64,27.32,15.83,9.11,5.0,True,PASS
Curaçao,45.54,16.95,6.12,2.32,0.73,0.22,True,PASS
Côte d'Ivoire,73.3,37.92,19.55,10.01,5.39,2.32,True,PASS
Ecuador,65.71,31.29,14.82,6.96,3.19,1.47,True,PASS
Netherlands,77.83,45.32,26.23,14.89,8.14,4.39,True,PASS
Japan,65.85,31.94,15.36,7.84,3.88,1.82,True,PASS
Sweden,72.73,38.95,20.14,11.3,5.79,2.78,True,PASS
Tunisia,50.68,21.02,8.64,3.75,1.63,0.58,True,PASS
Belgium,81.08,44.86,23.23,12.03,6.06,3.13,True,PASS
Egypt,69.63,33.02,14.5,6.45,2.83,1.3,True,PASS
IR Iran,67.52,31.36,13.48,5.76,2.39,1.12,True,PASS
New Zealand,48.13,16.79,5.75,2.04,0.62,0.31,True,PASS
Spain,86.55,54.39,34.28,20.71,12.92,7.7,True,PASS
Cabo Verde,49.48,19.28,8.13,3.27,1.12,0.51,True,PASS
Saudi Arabia,57.81,25.1,11.15,4.43,1.72,0.71,True,PASS
Uruguay,71.3,35.89,19.3,9.61,4.43,2.03,True,PASS
France,80.88,49.23,30.1,17.35,9.94,5.86,True,PASS
Senegal,68.28,36.0,19.19,9.9,4.89,2.36,True,PASS
Iraq,51.66,22.19,9.85,4.16,1.67,0.69,True,PASS
Norway,66.35,34.16,17.58,8.57,4.27,2.28,True,PASS
Argentina,81.8,50.66,29.27,16.63,9.84,5.43,True,PASS
Algeria,64.82,33.54,15.68,7.21,3.02,1.43,True,PASS
Austria,63.29,30.85,14.17,6.26,2.63,1.23,True,PASS
Jordan,56.79,25.9,11.14,4.89,2.06,0.75,True,PASS
Portugal,83.58,50.53,28.43,16.06,9.09,5.17,True,PASS
Congo DR,59.5,26.02,10.82,4.59,1.91,0.83,True,PASS
Uzbekistan,47.6,18.45,6.32,2.21,0.8,0.27,True,PASS
Colombia,75.79,40.39,20.54,10.52,5.26,2.64,True,PASS
England,82.45,47.8,27.85,15.48,8.7,5.26,True,PASS
Croatia,67.66,31.88,15.46,7.17,3.31,1.57,True,PASS
Ghana,56.13,23.41,9.83,4.28,1.72,0.76,True,PASS
Panama,59.46,26.53,12.13,5.28,2.2,1.0,True,PASS
