team,elo,top_5_players,avg_xi_ovr,top_5_ovr,attack_rating,midfield_rating,defence_rating,gk_rating,chemistry
Argentina,2150,"Nahuel Molina (92), Marcos Nicolás Senesi (91), Julián Alvarez (91), Lautaro Javier Martinez (91), Enzo Jeremías Fernandez (91)",88.64,91.2,67.11,88.04,80.28,75.55,0.182
Spain,2120,"Lamine Yamal Yamal (94), Pedro Pedri (93), Daniel Olmo (92), Unai Simon (92), Alejandro Grimaldo (91)",90.55,92.4,67.33,90.63,80.84,89.6,0.26
France,2100,"Kylian Mbappe (94), Masour Ousmane Dembele (92), Michael Akpovie Olise (92), William Alain André Gabriel Saliba (91), Désiré Nonka-Maho Doue (91)",89.45,92.0,69.08,88.5,79.57,86.52,0.16
England,2050,"Declan Rice (93), Jude Victor William Bellingham (93), Bukayo Ayoyinka Saka (92), Harry Edward Kane (91), Morgan Elliot Rogers (90)",88.55,91.8,66.55,90.82,78.02,81.45,0.171
Brazil,2030,"Raphael Raphinha (89), Lucas Lucas Paqueta (89), GUIMARAESBruno Bruno (88), Ramsés Alisson (87), MARQUINHOSMarcos (87)",86.45,88.0,65.38,86.62,76.29,97.29,0.16
Portugal,2010,"Vitor Vitinha (93), Pedro Joao Neves (92), Rúben Ruben Dias (90), Alexandre Nuno (89), Diogo Diogo Dalot (88)",87.82,90.4,65.69,88.45,78.38,79.71,0.182
Colombia,1990,"Luis Fernando Diaz (89), Jefferson Andrés Lerma (86), Richard Rios (85), Jhon Adolfo Arias (85), Yerry Fernando Mina (85)",83.91,86.0,62.53,84.52,75.41,80.17,0.16
Netherlands,1980,"Ryan Jiro Gravenberch (90), Cody Mathès Gakpo (89), Tijjani Martinus Jan Reijnders (88), Donyell Malen (88), Bart Verbruggen (87)",86.55,88.4,65.48,86.67,76.77,84.69,0.182
Germany,1970,"Jamal Musiala (91), Florian Richard Wirtz (91), Aleksandar Pavlovic (90), Kai Lukas Havertz (89), Joshua Walter Kimmich (88)",87.27,89.8,65.49,88.86,78.07,81.21,0.215
Uruguay,1960,"Diego Nicolás De La Cruz (84), Federico Santiago Valverde (84), Darwin Gabriel Nunez (84), Mathías Olivera (84), José María Gimenez (83)",82.64,83.8,61.33,82.8,74.41,77.39,0.149
Belgium,1950,"Jeremy Baffour Doku (90), Axel Laurent Witsel (88), Thomas Andre Meunier (87), Arthur Nicolas Theate (86), Romelu Lukaku (86)",85.0,87.4,64.11,84.38,75.68,79.32,0.16
Croatia,1940,"Joško Gvardiol (90), Luka Vuskovic (88), Josip Stanisic (87), Petar Sucic (86), Martin Baturina (85)",82.73,87.2,60.56,82.97,76.29,69.32,0.149
Morocco,1920,"Achraf Hakimi (92), Ayyoub Bouaddi (87), Brahim Diaz (87), Ismael Saibari (87), Bilal El Khannouss (86)",82.09,87.8,60.38,84.83,74.49,66.42,0.149
Japan,1880,"Kaishu Sano (86), Takefusa Kubo (84), Ritsu Doan (84), Yuito Suzuki (84), Zion Suzuki (83)",81.36,84.2,58.74,84.12,71.76,81.12,0.16
Ecuador,1870,"Moisés Isaac Caicedo (83), Félix Eduardo Torres (82), Willian Joel Pacho (82), Pervis Josue Estupinan (82), Enner Remberto Valencia (82)",80.64,82.2,58.88,80.51,73.19,74.6,0.149
Switzerland,1860,"Johan Kula Manzambi (87), Gregor Kobel (86), Dan Ndoye (86), Manuel Obafemi Akanji (84), Denis Lemi Zakaria (84)",83.0,85.4,63.18,83.43,72.03,85.7,0.149
USA,1850,"Christian Mate Pulisic (88), Folarin Jolaoluwa Balogun (87), Christopher Jeffrey Richards (85), Tyler Shaan Adams (85), Antonee Robinson (85)",84.18,86.0,64.88,84.56,75.57,72.85,0.149
Senegal,1840,"Iliman Cheikh Baroy Ndiaye (88), Ismaila Sarr (88), Lamine Camara (87), Nicolas Jackson (87), Pape Alassane Gueye (87)",84.55,87.4,65.43,85.88,73.58,79.96,0.16
Austria,1830,"Konrad Laimer (86), Nicolas Seiwald (85), David Leopold Affengruber (83), Kevin Danso (83), Paul Wanner (83)",80.82,84.0,55.3,82.69,73.09,71.13,0.169
IR Iran,1820,"Ehsan Hajisafi (85), Ali Reza Beiranvand (83), Saeid Ezatolahi (83), Mohammadhossein Kanani (83), Milad Mohammadi (82)",81.45,83.2,59.77,81.04,72.67,79.56,0.193
Sweden,1815,"Alexander Isak (91), Viktor Einar Gyokeres (89), Anthony David Junior Elanga (86), Yasin Ayari (86), Lucas Erik Holger Bergvall (85)",83.73,87.4,66.42,81.58,73.77,75.06,0.149
Mexico,1810,"Jesús Daniel Gallardo (86), Jorge Eduardo Sanchez (85), Israel Reyes (85), Erik Antonio Lira (84), Raúl Alonso Jimenez (84)",83.73,84.8,62.24,83.0,75.94,87.67,0.16
South Korea,1800,"Minjae Kim (85), Kangin Lee (85), Heung Min Son (84), Hyeongyu Oh (82), Inbeom Hwang (80)",79.09,83.2,60.15,81.1,71.24,70.32,0.16
Canada,1795,"Jonathan Christian David (87), Alphonso Boyle Davies (87), Ismaël Kenneth Jordan Kone (85), Tajon Trevor Buchanan (82), Promise Oluwatobi Emmanuel David (82)",81.09,84.6,62.3,80.01,72.72,79.48,0.149
Australia,1790,"Alessandro Circati (81), Jordan Jacob Bos (81), Nestory Irankunda (79), Cristian Volpato (79), Aiden Connor Oneill (78)",76.0,79.6,57.58,73.57,70.24,59.82,0.16
Türkiye,1780,"Arda Guler (90), Kenan Yildiz (89), Ferdi Erenay Kadioglu (86), Can Yılmaz Uzun (86), Orkun Kokcu (85)",84.36,87.2,65.55,82.36,74.95,78.77,0.182
Norway,1775,"Erling Braut Haaland (94), Sander Gard Bolin Berge (86), Antonio Eromonsele Nordby Nusa (85), Oscar Bobb (85), Julian Ryerson (85)",82.73,87.0,64.47,83.1,72.6,68.19,0.171
Algeria,1760,"Rayan Ait-Nouri (87), Ibrahim Maza (87), Anis Hadj Moussa (84), Mohammed Elamine Amoura (84), Fares Chaibi (82)",80.91,84.8,61.48,82.43,72.91,72.52,0.149
