team,group,elo,base_attack,base_defence,group_qual_pct,round_of_32_pct,round_of_16_pct,quarter_final_pct,semi_final_pct,final_pct,champion_pct,third_place_pct,group_exit_pct,avg_group_points,avg_goals_scored,avg_goals_conceded,avg_goal_diff,expected_finish_position
Spain,Group H,2120,67.33,80.84,86.55,86.55,54.39,34.28,20.71,12.92,7.7,4.78,13.45,5.38,7.32,4.57,2.74,16.5
France,Group I,2100,69.08,79.57,80.88,80.88,49.23,30.1,17.35,9.94,5.86,4.38,19.12,4.96,6.8,4.88,1.92,18.3
Argentina,Group J,2150,67.11,80.28,81.8,81.8,50.66,29.27,16.63,9.84,5.43,3.92,18.2,4.99,6.68,4.78,1.9,18.1
England,Group L,2050,66.55,78.02,82.45,82.45,47.8,27.85,15.48,8.7,5.26,3.88,17.55,5.03,6.6,4.74,1.86,18.5
Portugal,Group K,2010,65.69,78.38,83.58,83.58,50.53,28.43,16.06,9.09,5.17,4.21,16.42,5.12,6.7,4.67,2.04,18.0
Germany,Group E,1970,65.49,78.07,82.26,82.26,47.64,27.32,15.83,9.11,5.0,3.68,17.74,4.98,6.52,4.73,1.79,18.6
Brazil,Group C,2030,65.38,76.29,82.25,82.25,46.66,26.47,15.15,8.72,4.61,3.28,17.75,5.01,6.57,4.84,1.72,18.8
Netherlands,Group F,1980,65.48,76.77,77.83,77.83,45.32,26.23,14.89,8.14,4.39,3.81,22.17,4.75,6.21,4.78,1.43,19.6
USA,Group D,1850,64.88,75.57,77.75,77.75,43.07,23.52,12.34,6.43,3.21,3.19,22.25,4.7,6.09,4.92,1.17,20.2
Belgium,Group G,1950,64.11,75.68,81.08,81.08,44.86,23.23,12.03,6.06,3.13,3.26,18.92,4.97,6.24,4.8,1.44,19.5
Mexico,Group A,1810,62.24,75.94,77.4,77.4,42.34,23.1,11.87,6.1,3.03,2.73,22.6,4.69,5.9,4.78,1.12,20.4
Sweden,Group F,1815,66.42,73.77,72.73,72.73,38.95,20.14,11.3,5.79,2.78,2.8,27.27,4.31,5.61,5.07,0.54,21.6
Colombia,Group K,1990,62.53,75.41,75.79,75.79,40.39,20.54,10.52,5.26,2.64,2.73,24.21,4.52,5.67,4.9,0.77,21.0
Türkiye,Group D,1780,65.55,74.95,75.51,75.51,40.02,20.86,10.83,5.23,2.53,2.85,24.49,4.53,5.65,4.84,0.81,21.1
Switzerland,Group B,1860,63.18,72.03,75.49,75.49,39.56,20.44,10.32,5.19,2.38,2.5,24.51,4.53,5.71,4.98,0.73,21.2
Senegal,Group I,1840,65.43,73.58,68.28,68.28,36.0,19.19,9.9,4.89,2.36,2.61,31.72,4.1,5.45,5.29,0.16,22.8
Côte d'Ivoire,Group E,1750,63.56,75.07,73.3,73.3,37.92,19.55,10.01,5.39,2.32,2.27,26.7,4.34,5.41,4.93,0.48,21.8
Norway,Group I,1775,64.47,72.6,66.35,66.35,34.16,17.58,8.57,4.27,2.28,1.9,33.65,3.97,5.23,5.31,-0.08,23.4
Uruguay,Group H,1960,61.33,74.41,71.3,71.3,35.89,19.3,9.61,4.43,2.03,2.87,28.7,4.24,5.23,4.92,0.31,22.3
Japan,Group F,1880,58.74,71.76,65.85,65.85,31.94,15.36,7.84,3.88,1.82,1.88,34.15,3.91,4.74,4.92,-0.18,23.9
Morocco,Group C,1920,60.38,74.49,71.96,71.96,36.05,17.64,8.51,3.96,1.8,2.07,28.04,4.31,5.3,4.95,0.36,22.3
Czechia,Group A,1740,61.79,72.0,71.65,71.65,35.45,17.61,8.51,4.05,1.73,2.05,28.35,4.29,5.27,5.02,0.26,22.5
