team,group,champion_pct,final_pct,semi_final_pct
Spain,Group H,7.7,12.92,20.71
France,Group I,5.86,9.94,17.35
Argentina,Group J,5.43,9.84,16.63
England,Group L,5.26,8.7,15.48
Portugal,Group K,5.17,9.09,16.06
Germany,Group E,5.0,9.11,15.83
Brazil,Group C,4.61,8.72,15.15
Netherlands,Group F,4.39,8.14,14.89
USA,Group D,3.21,6.43,12.34
Belgium,Group G,3.13,6.06,12.03
Mexico,Group A,3.03,6.1,11.87
Sweden,Group F,2.78,5.79,11.3
Colombia,Group K,2.64,5.26,10.52
Türkiye,Group D,2.53,5.23,10.83
Switzerland,Group B,2.38,5.19,10.32
Senegal,Group I,2.36,4.89,9.9
Côte d'Ivoire,Group E,2.32,5.39,10.01
Norway,Group I,2.28,4.27,8.57
Uruguay,Group H,2.03,4.43,9.61
Japan,Group F,1.82,3.88,7.84
Morocco,Group C,1.8,3.96,8.51
Czechia,Group A,1.73,4.05,8.51
Canada,Group B,1.62,4.2,8.53
Croatia,Group L,1.57,3.31,7.17
Ecuador,Group E,1.47,3.19,6.96
Algeria,Group J,1.43,3.02,7.21
Scotland,Group C,1.36,2.91,6.44
South Korea,Group A,1.34,2.95,6.55
Egypt,Group G,1.3,2.83,6.45
Austria,Group J,1.23,2.63,6.26
IR Iran,Group G,1.12,2.39,5.76
Panama,Group L,1.0,2.2,5.28
Qatar,Group B,0.89,2.04,5.09
Paraguay,Group D,0.86,1.99,4.96
Congo DR,Group K,0.83,1.91,4.59
Ghana,Group L,0.76,1.72,4.28
Jordan,Group J,0.75,2.06,4.89
Bosnia and Herzegovina,Group B,0.73,1.85,4.46
Saudi Arabia,Group H,0.71,1.72,4.43
Iraq,Group I,0.69,1.67,4.16
Tunisia,Group F,0.58,1.63,3.75
Cabo Verde,Group H,0.51,1.12,3.27
Australia,Group D,0.38,1.3,3.37
South Africa,Group A,0.34,0.89,2.86
New Zealand,Group G,0.31,0.62,2.04
Haiti,Group C,0.27,0.93,2.45
Uzbekistan,Group K,0.27,0.8,2.21
Curaçao,Group E,0.22,0.73,2.32
