group,team,advance_to_r32_prob,advance_to_r16_prob
Group A,Mexico,75.89,40.35
Group A,South Africa,53.91,22.36
Group A,South Korea,79.24,44.29
Group A,Czechia,69.65,35.37
Group B,Canada,72.5,48.37
Group B,Bosnia and Herzegovina,63.31,39.73
Group B,Qatar,64.98,40.73
Group B,Switzerland,76.92,54.14
Group C,Brazil,80.85,60.64
Group C,Morocco,73.21,51.58
Group C,Haiti,53.18,30.81
Group C,Scotland,68.25,45.63
Group D,USA,77.54,55.08
Group D,Paraguay,63.58,40.36
Group D,Australia,56.09,34.24
Group D,Türkiye,75.57,54.1
Group E,Germany,79.47,58.92
Group E,Curaçao,50.55,29.02
Group E,Côte d'Ivoire,73.43,52.03
Group E,Ecuador,66.97,44.99
Group F,Netherlands,77.42,59.59
Group F,Japan,65.65,45.77
Group F,Sweden,71.65,52.84
Group F,Tunisia,53.92,34.9
Group G,Belgium,79.36,56.89
Group G,Egypt,69.93,45.65
Group G,IR Iran,66.41,43.03
Group G,New Zealand,49.96,27.63
Group H,Spain,84.53,67.94
Group H,Cabo Verde,49.67,29.18
Group H,Saudi Arabia,60.26,38.86
Group H,Uruguay,68.07,48.86
Group I,France,77.96,23.83
Group I,Senegal,67.36,21.97
Group I,Iraq,52.27,16.63
Group I,Norway,63.37,20.9
Group J,Argentina,78.42,7.45
Group J,Algeria,61.94,7.07
Group J,Austria,62.19,7.56
Group J,Jordan,56.06,7.1
Group K,Portugal,79.05,6.9
Group K,Congo DR,57.41,6.61
Group K,Uzbekistan,47.09,5.77
Group K,Colombia,71.26,7.07
Group L,England,77.79,7.05
Group L,Croatia,64.4,7.02
Group L,Ghana,54.25,6.17
Group L,Panama,57.26,7.02
