team,r16_prob,qf_prob,sf_prob,final_prob,champion_prob
Spain,67.94,41.47,23.84,13.62,8.08
Netherlands,59.59,33.7,18.59,10.11,5.57
Brazil,60.64,33.78,18.46,10.07,5.32
Germany,58.92,33.08,18.0,9.72,5.21
Belgium,56.89,31.23,16.3,8.8,4.45
USA,55.08,29.29,14.92,8.0,4.0
Türkiye,54.1,28.41,14.89,8.03,3.9
South Korea,44.29,24.32,13.35,7.19,3.84
Sweden,52.84,27.51,14.05,7.29,3.72
Switzerland,54.14,27.87,14.32,7.3,3.71
Morocco,51.58,26.37,13.25,6.76,3.57
Côte d'Ivoire,52.03,25.99,13.35,6.67,3.34
Mexico,40.35,21.76,11.61,6.03,3.05
Japan,45.77,22.31,11.09,5.41,2.73
Ecuador,44.99,22.01,10.25,5.01,2.65
Canada,48.37,23.52,11.88,5.79,2.63
