team_a,team_b,lambda_a,lambda_b,prob_a_win,prob_draw,prob_b_win,most_likely_score,mode_prob
Mexico,South Africa,1.263,0.807,0.4497,0.3178,0.2325,0 - 0,0.1583
Mexico,South Korea,1.076,1.145,0.3273,0.3132,0.3595,0 - 0,0.1405
Mexico,Czechia,1.042,0.915,0.3627,0.3371,0.3002,0 - 0,0.1731
Mexico,Canada,1.057,0.917,0.3669,0.3352,0.2979,0 - 0,0.1707
Mexico,Bosnia and Herzegovina,1.129,0.828,0.4073,0.3336,0.2591,0 - 0,0.1732
Mexico,Qatar,1.119,0.84,0.4016,0.3339,0.2645,0 - 0,0.1728
Mexico,Switzerland,1.003,0.959,0.3425,0.3373,0.3203,0 - 0,0.1724
Mexico,Brazil,0.92,1.018,0.3061,0.3393,0.3545,0 - 0,0.1757
Mexico,Morocco,0.986,0.919,0.3452,0.343,0.3118,0 - 0,0.1804
Mexico,Haiti,1.3,0.803,0.461,0.3132,0.2258,0 - 0,0.1542
Mexico,Scotland,1.068,0.868,0.3805,0.3381,0.2814,0 - 0,0.1761
Mexico,USA,0.971,0.997,0.3252,0.3367,0.3381,0 - 0,0.1715
Mexico,Paraguay,1.112,0.843,0.399,0.3346,0.2664,0 - 0,0.1733
Mexico,Australia,1.171,0.792,0.4277,0.3305,0.2418,0 - 0,0.1724
Mexico,Türkiye,0.974,0.947,0.3361,0.3415,0.3225,0 - 0,0.1781
Mexico,Germany,0.888,1.025,0.295,0.3415,0.3634,0 - 0,0.1794
Mexico,Curaçao,1.228,0.772,0.4486,0.324,0.2274,0 - 0,0.1673
Mexico,Côte d'Ivoire,0.983,0.959,0.3363,0.3394,0.3243,0 - 0,0.1752
Mexico,Ecuador,1.012,0.879,0.3615,0.3439,0.2946,0 - 0,0.1826
Mexico,Netherlands,0.886,1.038,0.292,0.3402,0.3678,0 - 0,0.1778
Mexico,Japan,0.994,0.887,0.3543,0.3452,0.3004,0 - 0,0.1841
Mexico,Sweden,0.99,0.992,0.3318,0.3353,0.3329,0 - 0,0.1695
Mexico,Tunisia,1.14,0.82,0.4123,0.3327,0.255,0 - 0,0.1726
Mexico,Belgium,0.942,0.987,0.3185,0.3407,0.3408,0 - 0,0.177
Mexico,Egypt,1.047,0.88,0.3717,0.3395,0.2888,0 - 0,0.1772
Mexico,IR Iran,1.107,0.883,0.3887,0.3322,0.2792,0 - 0,0.1685
Mexico,New Zealand,1.28,0.758,0.4663,0.3176,0.2161,0 - 0,0.1622
Mexico,Spain,0.805,1.091,0.2586,0.3401,0.4013,0 - 0,0.1817
Mexico,Cabo Verde,1.187,0.776,0.436,0.3294,0.2346,0 - 0,0.1724
Mexico,Saudi Arabia,1.108,0.86,0.3941,0.3338,0.2721,0 - 0,0.1715
Mexico,Uruguay,1.007,0.926,0.35,0.34,0.31,0 - 0,0.1764
