team,group,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob,third_place_prob,avg_goals_scored,avg_goals_conceded
Spain,Group H,84.53,67.94,41.47,23.84,13.62,8.08,6.13,3.84,3.06
Netherlands,Group F,77.42,59.59,33.7,18.59,10.11,5.57,5.01,3.66,3.24
Brazil,Group C,80.85,60.64,33.78,18.46,10.07,5.32,4.52,3.71,3.19
Germany,Group E,79.47,58.92,33.08,18.0,9.72,5.21,4.4,3.69,3.21
Belgium,Group G,79.36,56.89,31.23,16.3,8.8,4.45,4.04,3.72,3.18
USA,Group D,77.54,55.08,29.29,14.92,8.0,4.0,3.61,3.64,3.26
Türkiye,Group D,75.57,54.1,28.41,14.89,8.03,3.9,3.38,3.59,3.31
South Korea,Group A,79.24,44.29,24.32,13.35,7.19,3.84,3.02,3.65,3.25
Sweden,Group F,71.65,52.84,27.51,14.05,7.29,3.72,3.69,3.53,3.37
Switzerland,Group B,76.92,54.14,27.87,14.32,7.3,3.71,3.63,3.6,3.3
Morocco,Group C,73.21,51.58,26.37,13.25,6.76,3.57,3.16,3.53,3.38
Côte d'Ivoire,Group E,73.43,52.03,25.99,13.35,6.67,3.34,3.4,3.55,3.35
Mexico,Group A,75.89,40.35,21.76,11.61,6.03,3.05,2.92,3.58,3.32
Japan,Group F,65.65,45.77,22.31,11.09,5.41,2.73,2.52,3.41,3.49
Ecuador,Group E,66.97,44.99,22.01,10.25,5.01,2.65,2.61,3.42,3.48
Canada,Group B,72.5,48.37,23.52,11.88,5.79,2.63,2.83,3.51,3.39
Uruguay,Group H,68.07,48.86,24.41,11.62,5.52,2.57,3.11,3.48,3.42
Egypt,Group G,69.93,45.65,21.76,10.49,5.02,2.4,2.41,3.49,3.41
France,Group I,77.96,23.83,13.72,7.7,4.47,2.35,1.84,3.7,3.2
Scotland,Group C,68.25,45.63,21.11,9.61,4.71,2.33,2.17,3.42,3.48
Czechia,Group A,69.65,35.37,17.59,8.74,4.23,2.0,2.3,3.44,3.46
IR Iran,Group G,66.41,43.03,19.87,8.63,3.48,1.76,2.22,3.44,3.46
Senegal,Group I,67.36,21.97,11.2,6.12,3.12,1.64,1.8,3.48,3.42
Paraguay,Group D,63.58,40.36,18.26,8.61,3.73,1.52,2.39,3.34,3.56
Saudi Arabia,Group H,60.26,38.86,17.49,8.06,3.48,1.5,2.09,3.33,3.57
Qatar,Group B,64.98,40.73,19.09,8.72,3.8,1.49,2.19,3.35,3.55
Bosnia and Herzegovina,Group B,63.31,39.73,17.4,7.83,3.3,1.43,2.12,3.33,3.57
Norway,Group I,63.37,20.9,10.49,5.41,2.51,1.24,1.43,3.4,3.5
Tunisia,Group F,53.92,34.9,14.72,6.35,2.63,1.17,1.55,3.2,3.7
Australia,Group D,56.09,34.24,14.89,6.29,2.61,1.01,1.43,3.23,3.67
England,Group L,77.79,7.05,4.02,2.41,1.54,0.88,0.56,3.73,3.17
Argentina,Group J,78.42,7.45,4.33,2.45,1.46,0.86,0.57,3.73,3.17
Cabo Verde,Group H,49.67,29.18,11.84,5.09,2.15,0.84,1.37,3.15,3.75
Haiti,Group C,53.18,30.81,12.47,5.0,2.04,0.83,1.17,3.15,3.75
Portugal,Group K,79.05,6.9,3.89,2.31,1.19,0.72,0.64,3.75,3.15
Iraq,Group I,52.27,16.63,7.34,3.51,1.52,0.69,1.0,3.22,3.68
Curaçao,Group E,50.55,29.02,11.55,4.67,1.75,0.65,1.23,3.13,3.77
New Zealand,Group G,49.96,27.63,10.85,4.14,1.76,0.6,0.91,3.15,3.75
South Africa,Group A,53.91,22.36,8.89,3.89,1.62,0.56,0.87,3.13,3.77
Austria,Group J,62.19,7.56,3.77,2.01,0.89,0.49,0.47,3.39,3.51
Croatia,Group L,64.4,7.02,3.73,1.77,0.88,0.46,0.44,3.46,3.44
Colombia,Group K,71.26,7.07,3.77,1.92,0.95,0.43,0.54,3.58,3.32
Algeria,Group J,61.94,7.07,3.56,1.73,0.77,0.39,0.57,3.4,3.5
Panama,Group L,57.26,7.02,3.37,1.59,0.69,0.38,0.39,3.33,3.57
Congo DR,Group K,57.41,6.61,3.19,1.46,0.63,0.31,0.47,3.32,3.58
Jordan,Group J,56.06,7.1,3.35,1.43,0.73,0.28,0.28,3.28,3.62
Ghana,Group L,54.25,6.17,3.08,1.26,0.59,0.28,0.33,3.28,3.62
Uzbekistan,Group K,47.09,5.77,2.38,1.03,0.43,0.17,0.27,3.15,3.75
