team,champion_prob,final_prob,semifinal_prob,quarterfinal_prob,rank
Spain,8.08,13.62,23.84,41.47,1
Netherlands,5.57,10.11,18.59,33.7,2
Brazil,5.32,10.07,18.46,33.78,3
Germany,5.21,9.72,18.0,33.08,4
Belgium,4.45,8.8,16.3,31.23,5
USA,4.0,8.0,14.92,29.29,6
Türkiye,3.9,8.03,14.89,28.41,7
South Korea,3.84,7.19,13.35,24.32,8
Sweden,3.72,7.29,14.05,27.51,9
Switzerland,3.71,7.3,14.32,27.87,10
Morocco,3.57,6.76,13.25,26.37,11
Côte d'Ivoire,3.34,6.67,13.35,25.99,12
Mexico,3.05,6.03,11.61,21.76,13
Japan,2.73,5.41,11.09,22.31,14
Ecuador,2.65,5.01,10.25,22.01,15
Canada,2.63,5.79,11.88,23.52,16
Uruguay,2.57,5.52,11.62,24.41,17
Egypt,2.4,5.02,10.49,21.76,18
France,2.35,4.47,7.7,13.72,19
Scotland,2.33,4.71,9.61,21.11,20
Czechia,2.0,4.23,8.74,17.59,21
IR Iran,1.76,3.48,8.63,19.87,22
Senegal,1.64,3.12,6.12,11.2,23
Paraguay,1.52,3.73,8.61,18.26,24
Saudi Arabia,1.5,3.48,8.06,17.49,25
Qatar,1.49,3.8,8.72,19.09,26
Bosnia and Herzegovina,1.43,3.3,7.83,17.4,27
Norway,1.24,2.51,5.41,10.49,28
Tunisia,1.17,2.63,6.35,14.72,29
Australia,1.01,2.61,6.29,14.89,30
England,0.88,1.54,2.41,4.02,31
Argentina,0.86,1.46,2.45,4.33,32
Cabo Verde,0.84,2.15,5.09,11.84,33
Haiti,0.83,2.04,5.0,12.47,34
Portugal,0.72,1.19,2.31,3.89,35
Iraq,0.69,1.52,3.51,7.34,36
Curaçao,0.65,1.75,4.67,11.55,37
New Zealand,0.6,1.76,4.14,10.85,38
South Africa,0.56,1.62,3.89,8.89,39
Austria,0.49,0.89,2.01,3.77,40
Croatia,0.46,0.88,1.77,3.73,41
Colombia,0.43,0.95,1.92,3.77,42
Algeria,0.39,0.77,1.73,3.56,43
Panama,0.38,0.69,1.59,3.37,44
Congo DR,0.31,0.63,1.46,3.19,45
Jordan,0.28,0.73,1.43,3.35,46
Ghana,0.28,0.59,1.26,3.08,47
Uzbekistan,0.17,0.43,1.03,2.38,48
